Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Messias,br BRA,DF,23.0,34.9,7,1,1,33,12,3,0,59,30,0,2,0,Matches
Matheus Ferraz,br BRA,DF,32.0,33.0,4,0,0,38,17,3,1,69,21,0,3,0,Matches
Juninho,br BRA,MF,30.0,30.6,4,0,0,49,30,1,32,65,41,0,0,0,Matches
João Ricardo Riedi,br BRA,GK,29.0,28.0,2,0,0,0,2,0,0,0,0,0,0,1,Matches
Carlinhos,br BRA,DF,31.0,25.0,9,0,0,52,29,4,62,51,34,0,1,0,Matches
Luan,br BRA,"FW,MF",29.0,20.8,6,2,0,54,61,5,43,28,25,0,0,0,Matches
Leandro Donizete,br BRA,MF,35.0,23.0,9,1,1,35,22,0,0,41,19,0,0,0,Matches
Giovanni Palmieri,br BRA,DF,28.0,19.7,3,0,0,18,16,4,26,35,22,0,0,0,Matches
Aderlan Silva,br BRA,DF,27.0,19.0,8,1,0,37,20,0,41,37,48,1,1,0,Matches
Norberto,br BRA,DF,27.0,18.0,6,0,0,32,20,2,69,32,35,1,0,0,Matches
Gérson Magrão,br BRA,MF,32.0,16.7,4,0,0,24,19,5,59,23,22,0,0,0,Matches
Rafael Moura,br BRA,FW,34.0,18.8,5,1,0,47,18,12,7,1,11,0,0,0,Matches
Wesley,br BRA,MF,30.0,10.2,5,2,1,19,16,1,21,10,10,0,0,0,Matches
Zé Ricardo,br BRA,MF,21.0,12.2,3,0,0,32,9,0,6,23,20,0,0,0,Matches
Serginho,cn CHN,"FW,MF",22.0,11.7,1,0,0,20,14,2,62,9,10,0,0,0,Matches
Ruy,br BRA,MF,29.0,12.3,0,0,0,4,27,1,52,2,12,0,0,0,Matches
Aylon,br BRA,"FW,MF",25.0,10.6,2,0,0,17,16,7,12,9,5,0,0,0,Matches
Marquinhos,br BRA,"DF,FW",28.0,9.2,1,0,0,6,17,2,69,9,2,1,0,0,Matches
Jori,br BRA,GK,21.0,9.0,0,0,0,1,1,0,0,0,0,0,1,0,Matches
Christian Savio,br BRA,MF,22.0,8.3,1,0,0,7,15,1,13,18,10,0,0,0,Matches
Matheusinho,br BRA,MF,19.0,10.0,0,0,0,9,18,0,17,6,7,0,0,0,Matches
David,br BRA,MF,35.0,5.2,0,0,0,6,0,0,3,12,7,0,0,0,Matches
Ademir Santos,br BRA,"FW,MF",22.0,7.7,3,0,0,17,32,2,22,4,13,0,0,0,Matches
Judivan,br BRA,"FW,MF",22.0,4.6,0,0,0,8,7,3,3,2,2,0,0,0,Matches
Rafael Lima,br BRA,DF,31.0,4.0,1,0,0,1,1,0,0,4,2,0,0,0,Matches
Paulão,br BRA,DF,31.0,3.7,2,0,0,6,2,2,1,9,3,0,0,0,Matches
Robinho,br BRA,MF,23.0,4.5,0,0,0,4,8,1,11,0,4,0,0,0,Matches
Wesley Pacheco,br BRA,FW,27.0,1.5,1,0,0,4,4,0,0,1,2,0,0,0,Matches
Fernando Leal,br BRA,GK,36.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ricardo Silva,br BRA,DF,25.0,1.0,1,0,0,1,2,0,0,1,2,0,0,0,Matches
Lincoln,br BRA,MF,19.0,0.9,0,0,0,0,5,0,0,1,0,0,0,0,Matches
Capixaba,br BRA,"FW,MF",21.0,0.6,0,0,0,2,2,0,1,0,1,0,0,0,Matches
Renan Oliveira,br BRA,"FW,MF",28.0,0.5,1,0,0,2,1,0,0,0,1,0,0,0,Matches
França,br BRA,FW,22.0,0.3,0,0,0,0,0,0,2,1,0,0,0,0,Matches
Squad Total,,,28.6,38.0,89,8,3,585,463,61,635,562,421,3,8,1,
Opponent Total,,,27.0,38.0,72,5,1,500,553,79,893,570,427,7,4,0,
