Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Messias,br BRA,DF,23.0,35,35,3145.0,34.9,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,0.03,0.0,0.03,0.03,0.03,Matches
Matheus Ferraz,br BRA,DF,32.0,33,33,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Juninho,br BRA,MF,30.0,34,30,2752.0,30.6,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches
João Ricardo Riedi,br BRA,GK,29.0,28,28,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Carlinhos,br BRA,DF,31.0,27,26,2248.0,25.0,2.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches
Luan,br BRA,"FW,MF",29.0,26,24,1876.0,20.8,1.0,3.0,4.0,1.0,0.0,1.0,6.0,2.0,0.05,0.14,0.19,0.05,0.19,Matches
Leandro Donizete,br BRA,MF,35.0,26,23,2071.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Giovanni Palmieri,br BRA,DF,28.0,24,20,1777.0,19.7,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,0.15,0.05,0.2,0.15,0.2,Matches
Aderlan Silva,br BRA,DF,27.0,23,20,1712.0,19.0,0.0,2.0,2.0,0.0,0.0,0.0,8.0,1.0,0.0,0.11,0.11,0.0,0.11,Matches
Norberto,br BRA,DF,27.0,20,20,1619.0,18.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches
Gérson Magrão,br BRA,MF,32.0,24,18,1503.0,16.7,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches
Rafael Moura,br BRA,FW,34.0,27,17,1691.0,18.8,7.0,3.0,10.0,5.0,2.0,2.0,5.0,1.0,0.37,0.16,0.53,0.27,0.43,Matches
Wesley,br BRA,MF,30.0,17,13,915.0,10.2,0.0,1.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,0.1,0.1,0.0,0.1,Matches
Zé Ricardo,br BRA,MF,21.0,18,12,1097.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Serginho,cn CHN,"FW,MF",22.0,12,12,1057.0,11.7,4.0,3.0,7.0,4.0,0.0,0.0,1.0,0.0,0.34,0.26,0.6,0.34,0.6,Matches
Ruy,br BRA,MF,29.0,21,11,1106.0,12.3,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.08,0.16,0.24,0.0,0.16,Matches
Aylon,br BRA,"FW,MF",25.0,14,11,955.0,10.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches
Marquinhos,br BRA,"DF,FW",28.0,17,9,824.0,9.2,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.11,0.11,0.22,0.11,0.22,Matches
Jori,br BRA,GK,21.0,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Christian Savio,br BRA,MF,22.0,10,9,748.0,8.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches
Matheusinho,br BRA,MF,19.0,17,8,904.0,10.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches
David,br BRA,MF,35.0,9,6,471.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ademir Santos,br BRA,"FW,MF",22.0,14,5,696.0,7.7,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.13,0.13,0.26,0.13,0.26,Matches
Judivan,br BRA,"FW,MF",22.0,9,5,414.0,4.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,0.0,0.22,Matches
Rafael Lima,br BRA,DF,31.0,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Paulão,br BRA,DF,31.0,5,4,334.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Robinho,br BRA,MF,23.0,12,3,409.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Wesley Pacheco,br BRA,FW,27.0,5,1,134.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Fernando Leal,br BRA,GK,36.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ricardo Silva,br BRA,DF,25.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lincoln,br BRA,MF,19.0,3,0,77.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Capixaba,br BRA,"FW,MF",21.0,3,0,50.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Renan Oliveira,br BRA,"FW,MF",28.0,2,0,48.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
França,br BRA,FW,22.0,2,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luis Carlos Pilar,br BRA,FW,20.0,0,0,,,,,,,,,,,,,,,,Matches
Felipinho,br BRA,DF,20.0,0,0,,,,,,,,,,,,,,,,Matches
Lima,br BRA,DF,32.0,0,0,,,,,,,,,,,,,,,,Matches
Lucas Luan,br BRA,DF,18.0,0,0,,,,,,,,,,,,,,,,Matches
Marcio,br BRA,MF,19.0,0,0,,,,,,,,,,,,,,,,Matches
Everton Morelli,br BRA,MF,20.0,0,0,,,,,,,,,,,,,,,,Matches
Glauco Passos,br BRA,GK,22.0,0,0,,,,,,,,,,,,,,,,Matches
Sabino,br BRA,MF,18.0,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,28.6,38,418,3420.0,38.0,30.0,21.0,51.0,27.0,3.0,4.0,89.0,8.0,0.79,0.55,1.34,0.71,1.26,
Opponent Total,,,27.0,38,418,3420.0,38.0,46.0,32.0,78.0,40.0,6.0,7.0,72.0,5.0,1.21,0.84,2.05,1.05,1.89,
