Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Matheus Cavichioli,br BRA,GK,34.0,35.0,3,1,3,0,0,2,4,50.0,2,0,0,0,2,5,16,4,Matches
Eduardo Gabriel,br BRA,DF,24.0,34.8,46,28,34,10,2,21,40,52.5,19,42,25,17,57,103,119,2,Matches
Felipe Azevedo,br BRA,"FW,MF",34.0,25.8,45,29,12,24,9,23,56,41.1,33,28,1,27,19,64,21,0,Matches
Juninho,br BRA,MF,33.0,30.6,64,37,27,25,12,24,52,46.2,28,42,10,32,35,99,29,1,Matches
Ademir Santos,br BRA,"FW,MF",25.0,28.5,27,14,11,11,5,10,43,23.3,33,28,0,28,11,38,9,0,Matches
Ricardo Silva,br BRA,DF,28.0,27.8,44,25,30,13,1,22,37,59.5,15,34,20,14,34,78,129,2,Matches
Patric Cabral Lalau,br BRA,DF,31.0,23.7,38,26,15,20,3,18,35,51.4,17,13,3,10,31,69,58,0,Matches
Ale,br BRA,MF,30.0,22.3,48,25,19,25,4,23,44,52.3,21,19,0,19,23,71,24,1,Matches
Marlon,br BRA,DF,26.0,20.3,47,29,25,16,6,21,38,55.3,17,25,5,20,43,90,40,1,Matches
Lucas Kal,br BRA,MF,24.0,17.9,31,18,15,14,2,15,44,34.1,29,18,4,14,24,55,35,0,Matches
Juninho,br BRA,MF,34.0,13.5,25,17,7,16,2,9,30,30.0,21,17,5,12,19,44,21,0,Matches
Fabrício,br BRA,"FW,MF",23.0,13.4,20,12,2,13,5,7,16,43.8,9,11,0,11,7,27,5,0,Matches
Mauro Zárate,ar ARG,"FW,MF",33.0,11.9,10,5,2,6,2,3,17,17.6,14,7,0,7,1,11,2,0,Matches
Anderson Jesus,br BRA,DF,25.0,13.9,22,17,17,4,1,10,18,55.6,8,19,11,8,21,43,71,1,Matches
Rodolfo,br BRA,"FW,MF",28.0,14.9,16,12,6,5,5,5,16,31.3,11,11,0,11,7,23,12,0,Matches
Ribamar,br BRA,"FW,MF",23.0,11.4,3,1,0,1,2,0,5,0.0,5,2,0,2,0,3,6,0,Matches
João Paulo,br BRA,DF,34.0,10.5,16,8,9,6,1,11,24,45.8,13,10,2,8,10,26,21,0,Matches
Zé Ricardo,br BRA,MF,24.0,8.3,22,14,5,13,4,8,19,42.1,11,12,7,5,14,36,8,0,Matches
Eduardo,br BRA,DF,34.0,8.2,16,8,7,7,2,9,16,56.3,7,12,1,11,15,31,18,0,Matches
Alan Ruschel,br BRA,DF,31.0,8.2,18,9,6,11,1,12,19,63.2,7,9,1,8,11,29,16,0,Matches
Diego,br BRA,DF,24.0,5.6,4,3,2,2,0,3,11,27.3,8,7,1,6,13,17,7,0,Matches
Ramon,br BRA,"MF,DF",23.0,5.4,5,3,1,4,0,2,7,28.6,5,4,0,4,11,16,5,0,Matches
Marcelo Toscano,br BRA,"MF,FW",35.0,4.3,10,6,1,6,3,9,12,75.0,3,1,0,1,5,15,4,1,Matches
Bruno Nazário,br BRA,"MF,FW",25.0,4.1,11,6,3,6,2,3,14,21.4,11,5,0,5,4,15,2,0,Matches
Jori,br BRA,GK,24.0,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
Chrigor Moraes,br BRA,"FW,MF",20.0,2.9,3,2,1,2,0,1,4,25.0,3,2,0,2,1,4,1,0,Matches
Zé Vitor,br BRA,DF,19.0,2.2,4,2,3,1,0,2,4,50.0,2,3,2,1,7,11,2,0,Matches
Geovane,br BRA,"FW,MF",22.0,2.8,2,1,2,0,0,1,8,12.5,7,4,1,3,1,3,0,0,Matches
Carlos Alberto,br BRA,"FW,MF",18.0,2.3,1,1,0,0,1,1,2,50.0,1,3,0,3,2,3,0,0,Matches
Gustavinho,br BRA,"FW,MF",19.0,1.3,3,0,0,3,0,1,3,33.3,2,3,0,3,1,4,0,0,Matches
Sabino,br BRA,MF,21.0,1.6,4,2,4,0,0,2,6,33.3,4,0,0,0,2,6,3,0,Matches
Yan Sasse,br BRA,MF,23.0,0.7,1,1,1,0,0,0,2,0.0,2,0,0,0,0,1,0,0,Matches
Isaque,br BRA,FW,23.0,0.4,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
Orlando Berrío,co COL,FW,29.0,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Kawê,br BRA,MF,18.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Léo Passos,br BRA,MF,21.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Squad Total,,,29.2,38.0,610,363,270,265,75,278,647,43.0,369,391,99,292,431,1041,687,13,
Opponent Total,,,26.7,38.0,667,377,355,252,60,297,716,41.5,419,479,166,313,407,1074,700,8,
