Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Matheus Cavichioli,br BRA,GK,34.0,35.0,1,0,0,0,3,0,0,2,1,0,0,0,50,16,1,94.1,Matches
Eduardo Gabriel,br BRA,DF,24.0,34.8,2,0,0,32,18,1,3,57,28,0,1,0,197,91,59,60.7,Matches
Felipe Azevedo,br BRA,"FW,MF",34.0,25.8,4,0,0,45,36,3,26,19,29,0,0,0,137,39,56,41.1,Matches
Juninho,br BRA,MF,33.0,30.6,2,0,0,43,32,0,46,35,37,1,0,0,200,27,32,45.8,Matches
Ademir Santos,br BRA,"FW,MF",25.0,28.5,2,0,0,28,94,8,130,11,14,3,0,0,133,18,68,20.9,Matches
Ricardo Silva,br BRA,DF,28.0,27.8,6,1,1,46,24,4,1,34,25,0,2,0,137,113,43,72.4,Matches
Patric Cabral Lalau,br BRA,DF,31.0,23.7,3,0,0,31,16,9,67,31,26,0,0,0,127,27,33,45.0,Matches
Ale,br BRA,MF,30.0,22.3,6,0,0,31,52,1,19,23,25,0,0,0,174,33,25,56.9,Matches
Marlon,br BRA,DF,26.0,20.3,3,0,0,29,38,0,48,43,29,0,1,0,143,37,24,60.7,Matches
Lucas Kal,br BRA,MF,24.0,17.9,3,0,0,22,6,0,7,24,18,0,0,0,109,18,15,54.5,Matches
Juninho,br BRA,MF,34.0,13.5,2,0,0,33,41,1,75,19,17,0,0,0,101,13,13,50.0,Matches
Fabrício,br BRA,"FW,MF",23.0,13.4,3,0,0,18,34,2,27,7,12,0,0,0,52,11,30,26.8,Matches
Mauro Zárate,ar ARG,"FW,MF",33.0,11.9,3,0,0,20,22,7,43,1,5,0,0,0,28,4,8,33.3,Matches
Anderson Jesus,br BRA,DF,25.0,13.9,1,0,0,16,13,0,2,21,17,0,0,0,48,32,37,46.4,Matches
Rodolfo,br BRA,"FW,MF",28.0,14.9,0,0,0,20,27,13,23,7,12,1,0,0,54,17,46,27.0,Matches
Ribamar,br BRA,"FW,MF",23.0,11.4,3,0,0,23,22,10,10,0,1,1,0,0,33,39,37,51.3,Matches
João Paulo,br BRA,DF,34.0,10.5,0,0,0,9,7,0,54,10,8,0,0,0,65,10,16,38.5,Matches
Zé Ricardo,br BRA,MF,24.0,8.3,3,0,0,14,3,0,1,14,14,0,0,0,53,6,12,33.3,Matches
Eduardo,br BRA,DF,34.0,8.2,2,0,0,11,7,0,47,15,8,0,0,0,52,18,15,54.5,Matches
Alan Ruschel,br BRA,DF,31.0,8.2,3,0,0,14,25,1,29,11,9,0,0,0,45,9,14,39.1,Matches
Diego,br BRA,DF,24.0,5.6,0,0,0,11,14,1,21,13,3,0,0,0,35,6,14,30.0,Matches
Ramon,br BRA,"MF,DF",23.0,5.4,2,0,0,6,11,0,4,11,3,0,0,0,37,3,5,37.5,Matches
Marcelo Toscano,br BRA,"MF,FW",35.0,4.3,1,0,0,7,2,1,17,5,6,0,0,0,22,11,9,55.0,Matches
Bruno Nazário,br BRA,"MF,FW",25.0,4.1,3,0,0,13,10,1,20,4,6,0,0,0,22,3,20,13.0,Matches
Jori,br BRA,GK,24.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,100.0,Matches
Chrigor Moraes,br BRA,"FW,MF",20.0,2.9,0,0,0,5,3,1,2,1,2,0,0,0,8,4,14,22.2,Matches
Zé Vitor,br BRA,DF,19.0,2.2,2,0,0,5,0,0,0,7,2,0,0,0,11,9,5,64.3,Matches
Geovane,br BRA,"FW,MF",22.0,2.8,1,0,0,4,2,0,17,1,1,0,0,0,14,1,3,25.0,Matches
Carlos Alberto,br BRA,"FW,MF",18.0,2.3,2,0,0,5,5,7,0,2,1,0,0,0,7,3,10,23.1,Matches
Gustavinho,br BRA,"FW,MF",19.0,1.3,0,0,0,2,2,0,0,1,0,0,0,0,6,0,3,0.0,Matches
Sabino,br BRA,MF,21.0,1.6,1,0,0,5,2,0,0,2,2,0,0,0,5,2,3,40.0,Matches
Yan Sasse,br BRA,MF,23.0,0.7,0,0,0,3,2,0,0,0,1,0,0,0,3,0,1,0.0,Matches
Isaque,br BRA,FW,23.0,0.4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,Matches
Orlando Berrío,co COL,FW,29.0,0.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,Matches
Kawê,br BRA,MF,18.0,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,100.0,Matches
Léo Passos,br BRA,MF,21.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,29.2,38.0,64,1,1,552,575,71,739,431,363,6,4,0,2109,623,672,48.1,
Opponent Total,,,26.7,38.0,78,4,1,609,521,49,679,407,377,3,9,0,2034,672,623,51.9,
