Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Matheus Cavichioli,br BRA,GK,34.0,35,35,3150.0,35.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01,Matches
Eduardo Gabriel,br BRA,DF,24.0,35,35,3135.0,34.8,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.9,1.9,0.8,2.8,26.0,93.0,5.0,0.03,0.03,0.06,0.03,0.06,0.06,0.02,0.08,0.06,0.08,Matches
Felipe Azevedo,br BRA,"FW,MF",34.0,37,31,2326.0,25.8,5.0,3.0,8.0,5.0,0.0,1.0,4.0,0.0,6.0,5.2,2.7,7.9,48.0,88.0,184.0,0.19,0.12,0.31,0.19,0.31,0.23,0.11,0.34,0.2,0.31,Matches
Juninho,br BRA,MF,33.0,37,29,2753.0,30.6,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,3.7,3.7,3.7,7.4,36.0,143.0,133.0,0.1,0.07,0.16,0.1,0.16,0.12,0.12,0.24,0.12,0.24,Matches
Ademir Santos,br BRA,"FW,MF",25.0,31,29,2567.0,28.5,13.0,3.0,16.0,8.0,5.0,6.0,2.0,0.0,14.6,9.8,5.1,14.9,145.0,101.0,229.0,0.46,0.11,0.56,0.28,0.39,0.51,0.18,0.69,0.34,0.52,Matches
Ricardo Silva,br BRA,DF,28.0,29,28,2506.0,27.8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.2,1.2,0.2,1.4,6.0,60.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches
Patric Cabral Lalau,br BRA,DF,31.0,24,24,2136.0,23.7,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.3,1.3,1.3,2.7,49.0,113.0,107.0,0.04,0.04,0.08,0.04,0.08,0.06,0.06,0.11,0.06,0.11,Matches
Ale,br BRA,MF,30.0,28,24,2003.0,22.3,3.0,1.0,4.0,3.0,0.0,0.0,6.0,0.0,2.5,2.5,2.8,5.3,41.0,121.0,74.0,0.13,0.04,0.18,0.13,0.18,0.11,0.13,0.24,0.11,0.24,Matches
Marlon,br BRA,DF,26.0,23,22,1823.0,20.3,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.2,1.2,1.4,2.6,74.0,92.0,69.0,0.05,0.1,0.15,0.05,0.15,0.06,0.07,0.13,0.06,0.13,Matches
Lucas Kal,br BRA,MF,24.0,20,19,1615.0,17.9,1.0,4.0,5.0,1.0,0.0,0.0,3.0,0.0,1.1,1.1,1.7,2.8,12.0,95.0,8.0,0.06,0.22,0.28,0.06,0.28,0.06,0.09,0.15,0.06,0.15,Matches
Juninho,br BRA,MF,34.0,25,14,1212.0,13.5,3.0,3.0,6.0,2.0,1.0,1.0,2.0,0.0,2.1,1.3,3.7,4.9,21.0,98.0,18.0,0.22,0.22,0.45,0.15,0.37,0.15,0.27,0.43,0.09,0.37,Matches
Fabrício,br BRA,"FW,MF",23.0,22,14,1207.0,13.4,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,3.5,3.5,2.5,6.0,40.0,48.0,115.0,0.22,0.15,0.37,0.22,0.37,0.25,0.19,0.44,0.25,0.44,Matches
Mauro Zárate,ar ARG,"FW,MF",33.0,16,14,1070.0,11.9,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.6,1.6,2.4,4.0,33.0,48.0,51.0,0.08,0.17,0.25,0.08,0.25,0.14,0.2,0.34,0.14,0.34,Matches
Anderson Jesus,br BRA,DF,25.0,22,13,1248.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.7,1.4,2.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.1,0.05,0.1,Matches
Rodolfo,br BRA,"FW,MF",28.0,31,12,1337.0,14.9,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,3.5,3.5,2.3,5.8,31.0,31.0,100.0,0.07,0.07,0.13,0.07,0.13,0.24,0.15,0.39,0.24,0.39,Matches
Ribamar,br BRA,"FW,MF",23.0,20,11,1022.0,11.4,2.0,0.0,2.0,2.0,0.0,1.0,3.0,0.0,6.2,5.4,0.6,5.9,22.0,17.0,60.0,0.18,0.0,0.18,0.18,0.18,0.54,0.05,0.59,0.47,0.52,Matches
João Paulo,br BRA,DF,34.0,17,9,944.0,10.5,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,1.8,2.2,20.0,48.0,60.0,0.1,0.1,0.19,0.1,0.19,0.03,0.17,0.21,0.03,0.21,Matches
Zé Ricardo,br BRA,MF,24.0,16,8,743.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.2,0.6,0.0,29.0,7.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07,Matches
Eduardo,br BRA,DF,34.0,10,8,739.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.7,0.9,25.0,37.0,49.0,0.0,0.0,0.0,0.0,0.0,0.02,0.09,0.1,0.02,0.1,Matches
Alan Ruschel,br BRA,DF,31.0,21,7,737.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.2,1.4,22.0,40.0,41.0,0.0,0.0,0.0,0.0,0.0,0.03,0.14,0.18,0.03,0.18,Matches
Diego,br BRA,DF,24.0,9,6,501.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,16.0,24.0,37.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,Matches
Ramon,br BRA,"MF,DF",23.0,10,5,490.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.4,0.5,10.0,49.0,8.0,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.09,0.01,0.09,Matches
Marcelo Toscano,br BRA,"MF,FW",35.0,20,4,389.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.4,1.1,8.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.16,0.1,0.26,0.16,0.26,Matches
Bruno Nazário,br BRA,"MF,FW",25.0,11,3,372.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,1.3,1.5,10.0,20.0,39.0,0.0,0.0,0.0,0.0,0.0,0.06,0.31,0.36,0.06,0.36,Matches
