Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Juninho,br BRA,MF,34.0,34.5,95,2.76,84,0,4,3,1,3,9,0.26,7,0,0,0,1,1,Matches
Eder,br BRA,DF,26.0,32.7,17,0.52,14,2,0,0,0,1,2,0.06,2,0,0,0,0,0,Matches
Felipe Azevedo,br BRA,"MF,FW",35.0,25.3,80,3.17,63,9,4,2,1,1,2,0.08,2,0,0,0,0,0,Matches
Marlon,br BRA,DF,27.0,24.3,61,2.51,52,6,0,0,3,0,5,0.21,4,0,0,0,1,0,Matches
Lucas Kal,br BRA,MF,25.0,24.0,34,1.42,28,2,0,4,0,0,2,0.08,1,0,0,1,0,0,Matches
Matheus Cavichioli,br BRA,GK,35.0,25.0,2,0.08,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Everaldo,br BRA,"MF,FW",27.0,21.0,93,4.42,71,6,5,6,5,0,6,0.29,3,0,0,3,0,0,Matches
Ale,br BRA,MF,31.0,21.4,55,2.56,43,1,3,2,4,2,7,0.33,5,0,0,1,0,1,Matches
Henrique Almeida,br BRA,FW,30.0,16.6,44,2.65,25,0,4,11,3,1,4,0.24,1,0,0,0,2,1,Matches
Patric Cabral Lalau,br BRA,DF,32.0,19.1,64,3.35,43,18,1,1,1,0,1,0.05,1,0,0,0,0,0,Matches
Raúl Cáceres,py PAR,DF,30.0,18.0,53,2.95,38,11,0,3,0,1,4,0.22,4,0,0,0,0,0,Matches
Germán Conti,ar ARG,DF,27.0,18.4,13,0.71,10,0,0,2,0,1,0,0.0,0,0,0,0,0,0,Matches
Matheusinho,br BRA,"MF,FW",23.0,15.3,72,4.71,55,2,5,2,7,1,1,0.07,1,0,0,0,0,0,Matches
Jailson,br BRA,GK,40.0,12.0,3,0.25,1,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Iago Maidana,br BRA,DF,25.0,11.5,5,0.44,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Aloísio dos Santos Gonçalves,cn CHN,"FW,MF",33.0,10.5,30,2.85,20,0,1,5,4,0,4,0.38,1,0,0,3,0,0,Matches
Danilo Avelar,br BRA,DF,32.0,9.6,18,1.88,13,2,0,0,1,2,2,0.21,2,0,0,0,0,0,Matches
Pedrinho,br BRA,"FW,MF",22.0,10.8,38,3.53,30,2,4,1,1,0,3,0.28,3,0,0,0,0,0,Matches
Luan Patrick,br BRA,DF,20.0,9.0,15,1.67,15,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ricardo Silva,br BRA,DF,29.0,8.3,4,0.48,3,0,0,1,0,0,1,0.12,1,0,0,0,0,0,Matches
Martín Benítez,ar ARG,MF,27.0,8.4,57,6.8,34,15,2,4,1,1,6,0.72,4,2,0,0,0,0,Matches
Gustavinho,br BRA,MF,20.0,4.3,9,2.07,6,2,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
João Paulo,br BRA,DF,35.0,3.9,8,2.07,5,2,0,1,0,0,1,0.26,1,0,0,0,0,0,Matches
Paulinho Bóia,br BRA,"FW,MF",23.0,3.2,13,4.08,6,3,2,0,2,0,2,0.63,0,1,0,0,1,0,Matches
Gonzalo Mastriani,uy URU,FW,28.0,5.2,11,2.12,6,0,2,2,1,0,3,0.58,1,0,0,1,1,0,Matches
Leandro Emmanuel Martínez,ar ARG,MF,27.0,2.9,16,5.54,7,5,0,3,0,1,0,0.0,0,0,0,0,0,0,Matches
Wellington Paulista,br BRA,FW,37.0,5.7,8,1.39,7,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Juan Pablo Ramírez,co COL,"MF,FW",24.0,4.5,19,4.26,11,0,4,2,1,1,2,0.45,1,0,1,0,0,0,Matches
Zé Ricardo,br BRA,MF,25.0,2.6,2,0.78,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Rodriguinho,br BRA,MF,18.0,2.1,7,3.33,1,6,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Arthur,br BRA,"MF,DF",18.0,2.0,6,3.03,4,1,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Airton Moraes,br BRA,GK,27.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Carlos Alberto,br BRA,"FW,MF",19.0,1.7,2,1.16,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Gustavo Marques,br BRA,DF,20.0,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Kawê,br BRA,"MF,FW",19.0,0.3,1,2.9,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Flávio,br BRA,MF,21.0,0.3,2,6.67,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Juninho,br BRA,MF,35.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,29.8,38.0,957,25.18,707,97,42,57,37,17,67,1.76,45,3,1,9,6,3,
Opponent Total,,,27.3,38.0,998,26.26,711,90,56,60,64,17,69,1.82,53,4,2,8,2,0,
