Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Juninho,br BRA,MF,35.0,32.5,699,973,71.8,10502,3675,381,470,81.1,237,332,71.4,44,82,53.7,2,3.5,5.0,-1.5,42,62,27,7,100,Matches
Leandro Emmanuel Martínez,ar ARG,MF,28.0,28.2,1175,1473,79.8,18310,5955,639,705,90.6,401,498,80.5,87,172,50.6,5,4.5,5.5,0.5,65,128,40,14,156,Matches
Felipe Azevedo,br BRA,"FW,MF",36.0,19.4,325,497,65.4,4892,1575,182,243,74.9,89,135,65.9,28,54,51.9,1,1.9,1.0,-0.9,29,34,16,3,52,Matches
Iago Maidana,br BRA,DF,26.0,24.0,578,775,74.6,11896,4924,176,213,82.6,311,375,82.9,85,159,53.5,0,0.1,0.1,-0.1,4,40,1,1,54,Matches
Danilo Avelar,br BRA,DF,33.0,22.0,613,889,69.0,11633,6518,228,272,83.8,307,407,75.4,68,166,41.0,1,0.7,0.7,0.3,12,59,11,7,81,Matches
Gonzalo Mastriani,uy URU,FW,29.0,19.9,198,317,62.5,2522,484,126,179,70.4,42,73,57.5,10,19,52.6,1,1.5,1.1,-0.5,14,15,8,0,23,Matches
Marlon,br BRA,DF,28.0,18.6,674,877,76.9,10873,4449,367,415,88.4,239,297,80.5,51,108,47.2,1,0.8,0.9,0.2,19,54,13,7,71,Matches
Ricardo Silva,br BRA,DF,30.0,17.9,489,632,77.4,9700,3970,160,189,84.7,257,301,85.4,64,114,56.1,0,0.1,0.2,-0.1,2,35,1,0,44,Matches
Eder,br BRA,DF,27.0,17.4,554,693,79.9,11569,5119,173,192,90.1,290,331,87.6,89,160,55.6,0,0.2,0.3,-0.2,3,49,5,1,54,Matches
Lucas Kal,br BRA,MF,26.0,13.7,499,606,82.3,8673,3219,225,252,89.3,208,240,86.7,50,79,63.3,1,1.0,0.9,0.0,11,76,10,2,86,Matches
Matheus Cavichioli,br BRA,GK,36.0,15.0,261,377,69.2,8773,6930,38,38,100.0,91,94,96.8,131,241,54.4,0,0.0,0.0,0.0,0,8,0,0,0,Matches
Rodriguinho,br BRA,"DF,MF",19.0,13.9,470,641,73.3,7594,2700,261,295,88.5,150,197,76.1,41,96,42.7,3,2.8,3.2,0.2,21,27,20,9,36,Matches
Everaldo,br BRA,"FW,MF",28.0,13.7,328,430,76.3,5115,1489,186,208,89.4,107,146,73.3,25,43,58.1,3,2.2,2.0,0.8,21,28,16,5,52,Matches
Ale,br BRA,MF,32.0,15.8,770,878,87.7,12931,4158,361,405,89.1,326,356,91.6,61,70,87.1,0,1.2,0.8,-1.2,16,88,8,3,110,Matches
Martín Benítez,ar ARG,"MF,FW",28.0,12.4,386,561,68.8,7015,2676,178,222,80.2,129,181,71.3,62,117,53.0,4,4.0,3.5,0.0,29,59,16,5,77,Matches
Breno,br BRA,MF,19.0,12.9,491,590,83.2,8052,2221,244,278,87.8,183,214,85.5,45,58,77.6,0,0.5,0.6,-0.5,8,59,8,2,80,Matches
Jori,br BRA,GK,26.0,11.0,198,272,72.8,5331,4039,43,43,100.0,83,83,100.0,69,143,48.3,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Mateus Pasinato,br BRA,GK,30.0,10.0,184,246,74.8,5679,4441,27,27,100.0,84,86,97.7,73,131,55.7,0,0.0,0.0,0.0,0,5,0,0,0,Matches
Marcinho,br BRA,DF,26.0,8.9,317,474,66.9,5899,2388,135,158,85.4,133,179,74.3,39,110,35.5,0,0.9,1.3,-0.9,8,32,16,8,40,Matches
Aloísio dos Santos Gonçalves,cn CHN,"FW,MF",34.0,8.0,99,161,61.5,1312,322,55,82,67.1,28,39,71.8,4,8,50.0,1,0.7,0.7,0.3,5,7,4,1,9,Matches
Daniel Borges,br BRA,DF,29.0,8.9,381,494,77.1,6686,2767,177,196,90.3,159,197,80.7,39,86,45.3,1,1.5,1.8,-0.5,9,35,15,10,45,Matches
Nicolas,br BRA,DF,25.0,8.0,188,286,65.7,3172,1776,101,121,83.5,64,93,68.8,17,45,37.8,1,0.2,0.2,0.8,7,13,3,1,17,Matches
Mateus Henrique,br BRA,DF,20.0,6.0,196,275,71.3,3324,1305,90,110,81.8,79,109,72.5,18,39,46.2,1,0.6,0.6,0.4,6,17,6,3,18,Matches
Júlio César,br BRA,DF,19.0,6.6,271,313,86.6,4814,2084,107,120,89.2,144,157,91.7,18,28,64.3,1,0.0,0.1,1.0,1,15,0,0,21,Matches
Wanderson,br BRA,DF,31.0,5.6,121,166,72.9,2660,1137,38,43,88.4,61,76,80.3,22,45,48.9,0,0.0,0.0,0.0,1,8,0,0,10,Matches
Rodrigo Varanda,br BRA,"FW,MF",20.0,5.7,136,173,78.6,1767,505,81,90,90.0,38,52,73.1,4,8,50.0,1,1.2,0.9,-0.2,9,16,6,2,20,Matches
Renato Marques,br BRA,"FW,MF",19.0,5.7,73,118,61.9,1060,257,42,57,73.7,26,39,66.7,2,8,25.0,1,0.6,0.5,0.4,5,5,3,0,9,Matches
Pedrinho,br BRA,"FW,MF",23.0,4.6,88,127,69.3,1465,453,44,53,83.0,33,44,75.0,8,16,50.0,0,0.4,0.5,-0.4,4,8,7,4,20,Matches
Esteban Burgos,ar ARG,DF,31.0,3.3,67,89,75.3,1505,686,12,16,75.0,40,48,83.3,13,23,56.5,0,0.0,0.0,0.0,0,8,0,0,7,Matches
Óscar Méndez,uy URU,MF,28.0,2.9,57,74,77.0,867,313,28,33,84.8,20,26,76.9,5,9,55.6,0,0.0,0.0,0.0,0,7,0,0,6,Matches
Matheusinho,br BRA,"MF,FW",24.0,2.5,73,103,70.9,1179,431,33,39,84.6,34,46,73.9,5,9,55.6,0,0.4,0.3,-0.4,7,10,3,1,14,Matches
Nino Paraíba,br BRA,DF,37.0,2.2,81,109,74.3,1535,675,38,45,84.4,27,37,73.0,12,20,60.0,0,0.5,0.5,-0.5,5,9,8,7,19,Matches
Washington Aguerre,uy URU,GK,29.0,2.0,31,41,75.6,816,564,7,7,100.0,12,12,100.0,11,21,52.4,0,0.0,0.0,0.0,0,0,0,0,0,Matches
