Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Juninho,br BRA,MF,35.0,36,2929.0,81.0,85.6,32.5,32,88.0,28,4,27.0,0,0.67,39.0,68.0,-29.0,-0.89,0.94,41.5,51.2,-9.7,-0.3,0.86,Matches
Leandro Emmanuel Martínez,ar ARG,MF,28.0,35,2541.0,73.0,74.3,28.2,29,83.0,18,6,20.0,0,0.57,32.0,63.0,-31.0,-1.1,-0.28,35.6,45.3,-9.8,-0.35,0.31,Matches
Felipe Azevedo,br BRA,"FW,MF",36.0,30,1748.0,58.0,51.1,19.4,25,65.0,2,5,26.0,3,0.67,19.0,37.0,-18.0,-0.93,0.2,23.1,28.3,-5.2,-0.26,0.34,Matches
Iago Maidana,br BRA,DF,26.0,30,2163.0,72.0,63.2,24.0,24,86.0,21,6,18.0,1,0.53,30.0,54.0,-24.0,-1.0,0.08,32.4,38.7,-6.4,-0.27,0.44,Matches
Danilo Avelar,br BRA,DF,33.0,26,1984.0,76.0,58.0,22.0,24,82.0,15,2,9.0,5,0.77,30.0,45.0,-15.0,-0.68,0.82,25.7,31.6,-5.9,-0.27,0.38,Matches
Gonzalo Mastriani,uy URU,FW,29.0,24,1793.0,75.0,52.4,19.9,22,78.0,9,2,41.0,9,0.54,21.0,36.0,-15.0,-0.75,0.57,23.9,27.1,-3.1,-0.16,0.57,Matches
Marlon,br BRA,DF,28.0,26,1674.0,64.0,48.9,18.6,18,81.0,11,8,26.0,6,0.54,19.0,40.0,-21.0,-1.13,-0.2,21.9,33.9,-12.0,-0.64,-0.43,Matches
Ricardo Silva,br BRA,DF,30.0,20,1610.0,81.0,47.1,17.9,18,87.0,17,2,22.0,3,0.9,20.0,35.0,-15.0,-0.84,0.35,24.4,26.9,-2.5,-0.14,0.54,Matches
Eder,br BRA,DF,27.0,24,1566.0,65.0,45.8,17.4,17,81.0,13,7,28.0,10,0.5,16.0,46.0,-30.0,-1.72,-1.29,20.7,36.4,-15.7,-0.9,-0.88,Matches
Lucas Kal,br BRA,MF,26.0,19,1235.0,65.0,36.1,13.7,16,75.0,7,3,11.0,10,0.74,14.0,29.0,-15.0,-1.09,-0.1,15.9,24.7,-8.8,-0.64,-0.34,Matches
Matheus Cavichioli,br BRA,GK,36.0,15,1348.0,90.0,39.4,15.0,15,90.0,14,0,,11,0.47,13.0,31.0,-18.0,-1.2,-0.29,20.0,22.5,-2.5,-0.17,0.42,Matches
