Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Wéverton,br BRA,GK,26.0,35,3150.0,90.0,92.1,35.0,35,90.0,35.0,0,,2,1.43,39.0,37.0,2.0,0.06,0.39,Matches
Cleberson,br BRA,DF,21.0,34,3060.0,90.0,89.5,34.0,34,90.0,34.0,0,,0,1.44,39.0,37.0,2.0,0.06,0.31,Matches
Deivid,br BRA,MF,25.0,33,2925.0,89.0,85.5,32.5,33,89.0,32.0,0,,0,1.33,36.0,38.0,-2.0,-0.06,-0.61,Matches
Marcos Guilherme,br BRA,"FW,MF",18.0,36,2725.0,76.0,79.7,30.3,33,81.0,20.0,3,15.0,1,1.39,31.0,33.0,-2.0,-0.07,-0.45,Matches
Marcelo Cirino,br BRA,"FW,MF",22.0,33,2759.0,84.0,80.7,30.7,32,85.0,21.0,1,31.0,0,1.36,30.0,33.0,-3.0,-0.1,-0.64,Matches
Natanael,br BRA,"DF,MF",23.0,31,2757.0,89.0,80.6,30.6,31,89.0,30.0,0,,3,1.39,36.0,35.0,1.0,0.03,0.03,Matches
Sueliton Pereira,br BRA,DF,27.0,30,2570.0,86.0,75.1,28.6,29,87.0,24.0,1,56.0,0,1.23,31.0,37.0,-6.0,-0.21,-0.95,Matches
Bady,br BRA,MF,24.0,26,1706.0,66.0,49.9,19.0,23,73.0,4.0,3,8.0,11,1.65,20.0,15.0,5.0,0.26,0.47,Matches
Paulinho Dias,br BRA,MF,25.0,23,1662.0,72.0,48.6,18.5,19,85.0,15.0,4,11.0,14,1.7,23.0,18.0,5.0,0.27,0.48,Matches
Cléo,br BRA,FW,28.0,20,1479.0,74.0,43.2,16.4,17,85.0,10.0,3,9.0,3,1.7,18.0,14.0,4.0,0.24,0.38,Matches
Gustavo,br BRA,DF,31.0,16,1343.0,84.0,39.3,14.9,16,84.0,14.0,0,,0,1.75,13.0,11.0,2.0,0.13,0.18,Matches
Douglas Coutinho,br BRA,"FW,MF",19.0,28,1350.0,48.0,39.5,15.0,13,80.0,6.0,15,21.0,3,1.52,23.0,19.0,4.0,0.27,0.4,Matches
Léo Pereira,br BRA,DF,18.0,14,1212.0,87.0,35.4,13.5,13,90.0,13.0,1,41.0,7,1.36,18.0,19.0,-1.0,-0.07,-0.16,Matches
Éderson,br BRA,FW,24.0,12,860.0,72.0,25.1,9.6,12,72.0,0.0,0,,0,1.58,14.0,11.0,3.0,0.31,0.38,Matches
Otávio,br BRA,MF,19.0,17,1045.0,61.0,30.6,11.6,11,88.0,9.0,6,13.0,14,1.53,18.0,17.0,1.0,0.09,0.09,Matches
Dellatorre,br BRA,FW,21.0,18,899.0,50.0,26.3,10.0,10,72.0,2.0,8,23.0,3,1.56,13.0,8.0,5.0,0.5,0.64,Matches
João Paulo,br BRA,MF,28.0,15,891.0,59.0,26.1,9.9,10,79.0,5.0,5,21.0,11,1.53,7.0,14.0,-7.0,-0.71,-0.99,Matches
Mario Sérgio,br BRA,DF,22.0,15,864.0,58.0,25.3,9.6,9,84.0,7.0,6,18.0,21,1.4,12.0,6.0,6.0,0.62,0.8,Matches
Draúsio,br BRA,"DF,MF",22.0,9,698.0,78.0,20.4,7.8,9,78.0,7.0,0,,13,0.89,9.0,11.0,-2.0,-0.26,-0.36,Matches
Willian Rocha,br BRA,DF,24.0,11,863.0,78.0,25.2,9.6,8,88.0,7.0,3,54.0,13,1.45,9.0,10.0,-1.0,-0.1,-0.17,Matches
Hernani,br BRA,MF,19.0,15,830.0,55.0,24.3,9.2,8,88.0,6.0,7,18.0,2,1.47,8.0,7.0,1.0,0.11,0.11,Matches
Lucas Olaza,uy URU,DF,19.0,6,378.0,63.0,11.1,4.2,4,84.0,3.0,2,22.0,21,1.5,4.0,4.0,0.0,0.0,-0.03,Matches
Nathan,br BRA,"FW,MF",17.0,11,352.0,32.0,10.3,3.9,3,70.0,0.0,8,18.0,15,1.45,8.0,5.0,3.0,0.77,0.83,Matches
Santos,br BRA,GK,23.0,3,270.0,90.0,7.9,3.0,3,90.0,3.0,0,,35,1.33,4.0,5.0,-1.0,-0.33,-0.39,Matches
Mosquito,br BRA,FW,18.0,11,320.0,29.0,9.4,3.6,1,100.0,1.0,10,22.0,11,1.45,4.0,6.0,-2.0,-0.56,-0.65,Matches
Ricardo Silva,br BRA,DF,21.0,1,90.0,90.0,2.6,1.0,1,90.0,1.0,0,,4,1.0,1.0,1.0,0.0,0.0,-0.03,Matches
Derley,br BRA,MF,27.0,1,86.0,86.0,2.5,1.0,1,86.0,0.0,0,,1,3.0,2.0,1.0,1.0,1.05,1.05,Matches
Sidcley,br BRA,"DF,MF",20.0,7,163.0,23.0,4.8,1.8,0,,0.0,7,22.0,3,0.86,0.0,2.0,-2.0,-1.1,-1.19,Matches
Felipe Silva,br BRA,MF,23.0,3,93.0,31.0,2.7,1.0,0,,0.0,3,30.0,4,0.67,3.0,1.0,2.0,1.94,1.96,Matches
Marco Damasceno,br BRA,MF,17.0,3,62.0,21.0,1.8,0.7,0,,0.0,3,20.0,3,0.0,0.0,2.0,-2.0,-2.9,-2.98,Matches
Bruno Mendes,br BRA,FW,19.0,3,36.0,12.0,1.1,0.4,0,,0.0,3,11.0,10,0.67,1.0,0.0,1.0,2.5,2.5,Matches
Bruno Furlan,br BRA,FW,21.0,1,21.0,21.0,0.6,0.2,0,,0.0,1,20.0,1,0.0,0.0,2.0,-2.0,-8.57,-8.65,Matches
Carlos Alberto,br BRA,MF,25.0,1,20.0,20.0,0.6,0.2,0,,0.0,1,19.0,4,0.0,0.0,0.0,0.0,0.0,-0.03,Matches
Matteus Oliveira Santos,br BRA,MF,24.0,1,18.0,18.0,0.5,0.2,0,,0.0,1,17.0,0,1.0,0.0,0.0,0.0,0.0,-0.03,Matches
Pedro Paulo Alves Vieira dos Reis,br BRA,FW,19.0,2,13.0,7.0,0.4,0.1,0,,0.0,2,6.0,3,2.0,0.0,0.0,0.0,0.0,-0.03,Matches
Zé Paulo,br BRA,MF,19.0,1,6.0,6.0,0.2,0.1,0,,0.0,1,5.0,1,3.0,0.0,0.0,0.0,0.0,-0.03,Matches
Lucão,br BRA,DF,21.0,0,,,,,0,,0.0,0,,3,,,,,,,Matches
Lucas Macanhan,br BRA,GK,19.0,0,,,,,0,,0.0,0,,3,,,,,,,Matches
Manoel,br BRA,DF,23.0,0,,,,,0,,0.0,0,,1,,,,,,,Matches
Rodolfo de Melo,br BRA,GK,22.0,0,,,,,0,,0.0,0,,4,,,,,,,Matches
Squad Total,,,23.6,38,3420.0,90.0,100.0,38.0,418,85.0,,108,20.0,248,1.42,43.0,42.0,1.0,0.03,,
Opponent Total,,,26.6,38,3420.0,90.0,100.0,38.0,418,85.0,,110,27.0,257,1.34,42.0,43.0,-1.0,-0.03,,
