Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Wéverton,br BRA,GK,26.0,35,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Cleberson,br BRA,DF,21.0,34,34,3060.0,34.0,5.0,0.0,5.0,5.0,0.0,0.0,11.0,0.0,0.15,0.0,0.15,0.15,0.15,Matches
Deivid,br BRA,MF,25.0,33,33,2925.0,32.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marcos Guilherme,br BRA,"FW,MF",18.0,36,33,2725.0,30.3,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,0.1,0.07,0.17,0.1,0.17,Matches
Marcelo Cirino,br BRA,"FW,MF",22.0,33,32,2759.0,30.7,5.0,5.0,10.0,5.0,0.0,1.0,1.0,0.0,0.16,0.16,0.33,0.16,0.33,Matches
Natanael,br BRA,"DF,MF",23.0,31,31,2757.0,30.6,0.0,6.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.2,0.2,0.0,0.2,Matches
Sueliton Pereira,br BRA,DF,27.0,30,29,2570.0,28.6,0.0,6.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.21,0.21,0.0,0.21,Matches
Bady,br BRA,MF,24.0,26,23,1706.0,19.0,3.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,0.16,0.16,0.32,0.16,0.32,Matches
Paulinho Dias,br BRA,MF,25.0,23,19,1662.0,18.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches
Cléo,br BRA,FW,28.0,20,17,1479.0,16.4,9.0,2.0,11.0,7.0,2.0,3.0,3.0,0.0,0.55,0.12,0.67,0.43,0.55,Matches
Gustavo,br BRA,DF,31.0,16,16,1343.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Douglas Coutinho,br BRA,"FW,MF",19.0,28,13,1350.0,15.0,7.0,1.0,8.0,7.0,0.0,0.0,4.0,0.0,0.47,0.07,0.53,0.47,0.53,Matches
Léo Pereira,br BRA,DF,18.0,14,13,1212.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Éderson,br BRA,FW,24.0,12,12,860.0,9.6,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.21,0.1,0.21,Matches
Otávio,br BRA,MF,19.0,17,11,1045.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Dellatorre,br BRA,FW,21.0,18,10,899.0,10.0,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,0.3,0.1,0.4,0.3,0.4,Matches
João Paulo,br BRA,MF,28.0,15,10,891.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mario Sérgio,br BRA,DF,22.0,15,9,864.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Draúsio,br BRA,"DF,MF",22.0,9,9,698.0,7.8,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.13,0.0,0.13,0.13,0.13,Matches
Willian Rocha,br BRA,DF,24.0,11,8,863.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Hernani,br BRA,MF,19.0,15,8,830.0,9.2,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches
Lucas Olaza,uy URU,DF,19.0,6,4,378.0,4.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.24,0.24,0.0,0.24,Matches
Nathan,br BRA,"FW,MF",17.0,11,3,352.0,3.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.26,0.26,0.0,0.26,Matches
Santos,br BRA,GK,23.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mosquito,br BRA,FW,18.0,11,1,320.0,3.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.28,0.0,0.28,0.28,0.28,Matches
Ricardo Silva,br BRA,DF,21.0,1,1,90.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,Matches
Derley,br BRA,MF,27.0,1,1,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sidcley,br BRA,"DF,MF",20.0,7,0,163.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Felipe Silva,br BRA,MF,23.0,3,0,93.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94,1.94,0.0,1.94,Matches
