Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Wéverton,br BRA,GK,27.0,36,36,3240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Eduardo,br BRA,DF,28.0,34,33,2820.0,31.3,0.0,4.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches
Otávio,br BRA,MF,20.0,32,32,2826.0,31.4,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches
Kadu,br BRA,"DF,MF",28.0,31,31,2672.0,29.7,1.0,1.0,2.0,1.0,0.0,0.0,9.0,0.0,0.03,0.03,0.07,0.03,0.07,Matches
Walter,br BRA,FW,25.0,32,27,2543.0,28.3,9.0,4.0,13.0,7.0,2.0,2.0,4.0,2.0,0.32,0.14,0.46,0.25,0.39,Matches
Nikão,br BRA,"FW,MF",22.0,31,27,2214.0,24.6,4.0,7.0,11.0,3.0,1.0,1.0,6.0,0.0,0.16,0.28,0.45,0.12,0.41,Matches
Hernani,br BRA,MF,20.0,30,25,2231.0,24.8,3.0,0.0,3.0,3.0,0.0,0.0,8.0,1.0,0.12,0.0,0.12,0.12,0.12,Matches
Marcos Guilherme,br BRA,"FW,MF",19.0,26,25,2091.0,23.2,4.0,4.0,8.0,4.0,0.0,0.0,4.0,2.0,0.17,0.17,0.34,0.17,0.34,Matches
Christian Vilches,cl CHI,DF,31.0,21,21,1890.0,21.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches
Sidcley,br BRA,"DF,MF",21.0,24,21,1833.0,20.4,2.0,2.0,4.0,2.0,0.0,0.0,5.0,0.0,0.1,0.1,0.2,0.1,0.2,Matches
