Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 16_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
Otávio,br BRA,MF,21.0,34.8,1,28,9,32.1,0.81,0.26,0.04,0.11,,0,0,Matches
Thiago Heleno,br BRA,DF,27.0,32.8,4,22,7,31.8,0.67,0.21,0.09,0.29,,2,2,Matches
Wéverton,br BRA,GK,28.0,30.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Pablo,br BRA,"FW,MF",23.0,29.2,9,62,23,37.1,2.13,0.79,0.15,0.39,,0,0,Matches
Leonardo Morais,br BRA,DF,24.0,28.2,1,8,2,25.0,0.28,0.07,0.13,0.5,,0,0,Matches
Hernani,br BRA,MF,21.0,27.3,6,57,24,42.1,2.09,0.88,0.07,0.17,,2,2,Matches
Paulo André,br BRA,DF,32.0,25.7,2,14,6,42.9,0.55,0.23,0.14,0.33,,0,0,Matches
Sidcley,br BRA,"DF,MF",22.0,22.0,0,6,2,33.3,0.27,0.09,0.0,0.0,,0,0,Matches
André Lima,br BRA,FW,30.0,20.2,5,34,16,47.1,1.68,0.79,0.15,0.31,,0,0,Matches
Lucas Fernandes,br BRA,"FW,MF",21.0,13.4,0,20,2,10.0,1.5,0.15,0.0,0.0,,0,0,Matches
Nikão,br BRA,"FW,MF",23.0,14.2,1,26,10,38.5,1.84,0.71,0.04,0.1,,0,0,Matches
Nicolas,br BRA,DF,18.0,13.4,0,6,1,16.7,0.45,0.07,0.0,0.0,,0,0,Matches
Walter,br BRA,FW,26.0,12.1,3,37,13,35.1,3.06,1.07,0.08,0.23,,0,0,Matches
Lucho González,ar ARG,MF,35.0,10.1,0,8,1,12.5,0.79,0.1,0.0,0.0,,0,0,Matches
Wanderson,br BRA,DF,24.0,11.8,0,3,1,33.3,0.25,0.08,0.0,0.0,,0,0,Matches
Vinícius,br BRA,"FW,MF",24.0,10.6,1,22,8,36.4,2.07,0.75,0.05,0.13,,0,0,Matches
Matheus Rossetto,br BRA,MF,19.0,9.5,2,6,3,50.0,0.63,0.32,0.33,0.67,,0,0,Matches
Marcos Guilherme,br BRA,"FW,MF",20.0,8.9,0,9,4,44.4,1.01,0.45,0.0,0.0,,0,0,Matches
Santos,br BRA,GK,25.0,8.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Deivid,br BRA,MF,27.0,7.7,1,3,1,33.3,0.39,0.13,0.33,1.0,,0,0,Matches
Ewandro,br BRA,"FW,MF",19.0,6.3,1,8,3,37.5,1.28,0.48,0.13,0.33,,0,0,Matches
Luan,br BRA,"FW,MF",27.0,3.1,0,2,0,0.0,0.65,0.0,0.0,,,0,0,Matches
Marcão,br BRA,DF,19.0,5.5,0,2,1,50.0,0.37,0.18,0.0,0.0,,0,0,Matches
Rafael Galhardo,br BRA,DF,24.0,4.5,0,4,1,25.0,0.89,0.22,0.0,0.0,,0,0,Matches
Eduardo,br BRA,DF,29.0,4.0,0,2,0,0.0,0.5,0.0,0.0,,,0,0,Matches
Yago César,br BRA,MF,18.0,3.5,0,4,1,25.0,1.13,0.28,0.0,0.0,,0,0,Matches
Cleberson,br BRA,DF,23.0,3.5,0,0,0,,0.0,0.0,,,,0,0,Matches
Giovanny,br BRA,MF,18.0,3.6,0,10,5,50.0,2.75,1.38,0.0,0.0,,0,0,Matches
Renan Lodi,br BRA,"DF,MF",17.0,2.6,0,0,0,,0.0,0.0,,,,0,0,Matches
Luciano Cabral,cl CHI,"FW,MF",20.0,2.8,0,5,1,20.0,1.79,0.36,0.0,0.0,,0,0,Matches
Juninho,br BRA,"FW,MF",19.0,2.3,0,2,2,100.0,0.88,0.88,0.0,0.0,,0,0,Matches
Anderson Lopes,br BRA,"FW,MF",22.0,1.5,0,0,0,,0.0,0.0,,,,0,0,Matches
Renan,br BRA,"GK,MF",20.0,1.5,0,0,0,,0.0,0.0,,,,0,0,Matches
Jadson,br BRA,MF,22.0,0.6,0,1,0,0.0,1.55,0.0,0.0,,,0,0,Matches
João Pedro Heinen,br BRA,MF,19.0,1.8,0,2,2,100.0,1.09,1.09,0.0,0.0,,0,0,Matches
Guilherme Schettine,br BRA,FW,20.0,0.6,0,0,0,,0.0,0.0,,,,0,0,Matches
Squad Total,,,24.8,38.0,37,413,149,36.1,10.87,3.92,0.08,0.22,,4,4,
Opponent Total,,,26.7,38.0,32,499,140,28.1,13.13,3.68,0.05,0.19,,5,6,
