Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Wéverton,br BRA,GK,29.0,34.0,1,0,0,0,6,0,1,3,1,0,0,0,Matches
Jonathan Moreira,br BRA,DF,30.0,27.0,4,0,0,22,31,1,70,31,21,0,1,0,Matches
Thiago Heleno,br BRA,DF,28.0,27.9,8,0,0,24,15,2,1,49,11,0,0,0,Matches
Sidcley,br BRA,"DF,MF",23.0,26.8,4,0,0,35,60,12,87,35,36,1,0,0,Matches
Lucho González,ar ARG,MF,36.0,18.9,10,1,1,35,14,3,8,28,27,0,0,0,Matches
Wanderson,br BRA,DF,25.0,24.9,2,0,0,24,6,2,0,46,15,0,1,1,Matches
Nikão,br BRA,"FW,MF",24.0,24.3,2,1,0,27,48,3,137,15,14,0,0,0,Matches
Paulo André,br BRA,DF,33.0,21.0,4,0,0,20,15,0,1,36,10,0,0,0,Matches
Esteban Pavez,cl CHI,MF,26.0,20.0,4,0,0,28,8,0,7,27,31,0,0,0,Matches
Matheus Rossetto,br BRA,MF,20.0,19.7,5,0,0,38,16,1,60,29,18,0,0,0,Matches
Fabrício,br BRA,"DF,MF",30.0,19.0,4,0,0,24,13,0,79,28,29,0,0,0,Matches
Guilherme,br BRA,"FW,MF",28.0,18.6,5,0,0,35,28,5,56,14,22,0,0,0,Matches
Pablo,br BRA,"FW,MF",24.0,15.2,4,0,0,39,22,8,23,8,15,0,0,0,Matches
Ribamar,br BRA,FW,19.0,14.7,2,0,0,19,27,17,10,1,1,1,0,0,Matches
Douglas Coutinho,br BRA,"FW,MF",22.0,16.6,0,0,0,23,16,4,28,20,12,0,0,0,Matches
Otávio,br BRA,MF,22.0,13.0,3,0,0,13,9,0,6,22,29,0,0,0,Matches
Lucas Fernandes,br BRA,"FW,MF",22.0,8.9,0,0,0,12,30,2,26,9,9,1,0,0,Matches
Eduardo Henrique,br BRA,MF,21.0,9.5,1,0,0,26,23,0,7,20,13,0,0,0,Matches
Éderson,br BRA,FW,27.0,9.0,1,0,0,13,7,8,15,2,4,0,0,0,Matches
Gustavo Cascardo,br BRA,DF,19.0,7.6,0,0,0,9,14,1,22,18,8,0,0,0,Matches
Grafite,br BRA,FW,37.0,5.5,1,0,0,13,7,5,4,2,5,0,0,0,Matches
Felipe Gedoz,br BRA,"FW,MF",23.0,6.9,1,0,0,12,22,2,49,3,4,2,0,0,Matches
Zé Ivaldo,br BRA,DF,19.0,5.1,2,0,0,10,1,0,10,7,8,0,1,0,Matches
Santos,br BRA,GK,26.0,4.0,2,0,0,0,2,0,0,0,0,0,0,0,Matches
Eduardo da Silva,hr CRO,FW,33.0,3.7,0,0,0,7,2,1,1,0,2,0,1,0,Matches
Nicolas,br BRA,DF,19.0,3.1,1,0,0,6,0,0,21,2,4,0,1,0,Matches
Deivid,br BRA,MF,28.0,3.3,2,0,0,4,8,0,1,9,4,0,0,0,Matches
Matheus Anjos,br BRA,MF,18.0,3.2,1,0,0,7,6,0,24,1,3,0,0,0,Matches
Carlos Alberto,br BRA,MF,32.0,1.4,0,0,0,3,5,0,2,1,0,0,0,0,Matches
Yago César,br BRA,MF,19.0,1.1,0,0,0,2,2,0,3,1,0,0,0,0,Matches
Cleberson,br BRA,DF,24.0,1.0,0,0,0,0,0,0,0,2,0,0,0,0,Matches
Marcão,br BRA,DF,20.0,0.8,2,1,1,3,0,0,0,1,2,0,0,0,Matches
Bruno Mota,br BRA,MF,21.0,0.6,0,0,0,1,1,0,0,1,1,0,0,0,Matches
Bruno Guimarães,br BRA,MF,19.0,0.8,2,0,0,6,2,0,1,1,2,0,0,0,Matches
João Pedro Heinen,br BRA,MF,20.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,26.7,38.0,78,3,2,540,466,77,760,472,361,5,5,1,
Opponent Total,,,26.8,38.0,78,4,3,504,512,48,935,602,456,4,8,2,
