Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2017-02-01,21:45,Libertadores,Second qualifying stage,Wed,Home,W,1,0,co Millonarios,55,,Wéverton,4-2-3-1,4-2-3-1,Germán Delfino,Match Report,Leg 1 of 2
2017-02-08,18:45,Libertadores,Second qualifying stage,Wed,Away,L,0 (4),1 (2),co Millonarios,36,,Wéverton,4-2-3-1,4-2-3-1,Julio Bascuñán,Match Report,Leg 2 of 2; Ath Paranaense won; Ath Paranaense won on penalty kicks following extra time
2017-02-15,21:45,Libertadores,Third qualifying stage,Wed,Home,D,3,3,py Capiatá,66,,Wéverton,4-2-3-1,4-4-2,Daniel Fedorczuk,Match Report,Leg 1 of 2
2017-02-22,21:45,Libertadores,Third qualifying stage,Wed,Away,W,1,0,py Capiatá,45,,Wéverton,4-2-3-1,4-4-2,Néstor Pitana,Match Report,Leg 2 of 2; Ath Paranaense won
2017-03-07,21:00,Libertadores,Group stage,Tue,Home,D,2,2,cl Univ Católica,48,,Wéverton,4-2-3-1,4-2-3-1,Ulises Mereles,Match Report,
2017-03-15,19:30,Libertadores,Group stage,Wed,Away,W,1,0,ar San Lorenzo,36,,Wéverton,4-2-3-1,4-1-4-1,Juan Bravo,Match Report,
2017-04-12,21:45,Libertadores,Group stage,Wed,Away,L,1,2,br Flamengo,55,,Wéverton,4-2-3-1,4-2-3-1,Wilson Lamouroux,Match Report,
2017-04-26,21:45,Libertadores,Group stage,Wed,Home,W,2,1,br Flamengo,44,,Wéverton,4-2-3-1,4-1-4-1,José Argote,Match Report,
2017-05-03,21:00,Libertadores,Group stage,Wed,Home,L,0,3,ar San Lorenzo,60,,Wéverton,4-2-3-1,4-1-4-1,Wilmar Roldán,Match Report,
2017-05-14,16:00,Série A,Matchweek 1,Sun,Away,L,2,6,Bahia,60,8127.0,Wéverton,3-4-1-2,4-2-3-1,Flavio Rodrigues De Souza,Match Report,
2017-05-17,20:45,Libertadores,Group stage,Wed,Away,W,3,2,cl Univ Católica,45,,Wéverton,4-2-3-1,4-2-3-1,Jonathan Fuentes,Match Report,
2017-05-21,16:00,Série A,Matchweek 2,Sun,Home,L,0,2,Grêmio,60,17244.0,Wéverton,4-2-3-1,4-2-3-1,Marcelo Aparecido Ribeiro De Souza,Match Report,
2017-05-28,16:00,Série A,Matchweek 3,Sun,Home,D,1,1,Flamengo,44,19923.0,Wéverton,4-2-3-1,4-2-3-1,Braulio da Silva Machado,Match Report,
2017-06-03,16:00,Série A,Matchweek 4,Sat,Away,L,0,1,Coritiba,51,15442.0,Wéverton,4-2-3-1,4-3-3,Raphael Claus,Match Report,
2017-06-06,20:00,Série A,Matchweek 5,Tue,Away,D,1,1,Fluminense,46,14843.0,Paulo André,4-1-4-1,4-2-3-1,Igor Junior Benevenuto,Match Report,
2017-06-11,19:00,Série A,Matchweek 6,Sun,Home,L,0,2,Santos,57,18112.0,Paulo André,4-1-4-1,4-2-3-1,Marcelo de Lima Henrique,Match Report,
2017-06-14,19:30,Série A,Matchweek 7,Wed,Away,W,1,0,Atlético Mineiro,31,10924.0,Thiago Heleno,4-1-4-1,4-2-3-1,Pericles Bassols Pegado Cortez,Match Report,
