Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Léo Pereira,br BRA,DF,23.0,28.7,40,1.39,39,0,0,1,0,0,1,0.03,1,0,0,0,0,0,Matches
Santos,br BRA,GK,28.0,28.0,10,0.36,7,3,0,0,0,0,2,0.07,1,1,0,0,0,0,Matches
Rony,br BRA,"FW,MF",23.0,27.1,108,3.98,63,9,18,8,7,3,13,0.48,8,1,3,1,0,0,Matches
Wellington Martins,br BRA,MF,28.0,26.8,70,2.61,64,2,1,1,1,1,3,0.11,3,0,0,0,0,0,Matches
Mádson,br BRA,DF,27.0,26.0,61,2.35,44,10,2,1,3,1,6,0.23,2,0,1,0,3,0,Matches
Bruno Guimarães,br BRA,MF,21.0,21.8,103,4.72,86,8,1,1,6,1,7,0.32,7,0,0,0,0,0,Matches
Márcio Azevedo,br BRA,DF,32.0,20.7,65,3.13,43,19,3,0,0,0,8,0.39,6,1,1,0,0,0,Matches
Nikão,br BRA,"FW,MF",26.0,18.9,97,5.13,65,8,10,10,2,2,4,0.21,0,1,0,2,1,0,Matches
Marcelo Cirino,br BRA,"FW,MF",27.0,20.9,48,2.3,36,0,1,6,5,0,3,0.14,2,0,0,1,0,0,Matches
Marco Ruben,ar ARG,FW,32.0,18.6,25,1.35,16,0,0,7,2,0,4,0.22,2,0,0,2,0,0,Matches
Thiago Heleno,br BRA,DF,30.0,15.8,21,1.33,18,0,0,2,1,0,0,0.0,0,0,0,0,0,0,Matches
Thonny Anderson,br BRA,"FW,MF",21.0,15.2,48,3.15,34,1,2,8,2,1,7,0.46,5,0,0,2,0,0,Matches
Léo Cittadini,br BRA,MF,24.0,14.7,44,3.0,31,0,5,3,4,1,2,0.14,1,0,0,1,0,0,Matches
Pedro Henrique,br BRA,DF,23.0,12.7,12,0.95,9,0,1,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Braian Romero,ar ARG,"FW,MF",27.0,10.2,21,2.06,17,0,1,2,0,1,2,0.2,2,0,0,0,0,0,Matches
Lucho González,ar ARG,MF,38.0,9.1,20,2.2,20,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Guilherme Camacho,br BRA,MF,28.0,7.7,18,2.33,13,4,0,0,0,1,2,0.26,1,1,0,0,0,0,Matches
Erick,br BRA,"MF,DF",21.0,8.5,15,1.76,10,1,3,0,0,1,1,0.12,0,0,1,0,0,0,Matches
Lucas Halter,br BRA,DF,18.0,7.5,7,0.94,6,0,0,0,1,0,1,0.13,0,0,0,0,1,0,Matches
Léo,br BRA,GK,28.0,7.0,1,0.14,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Adriano,br BRA,"DF,FW",34.0,6.7,20,2.97,16,3,1,0,0,0,3,0.44,2,1,0,0,0,0,Matches
Robson Bambu,br BRA,DF,21.0,6.7,8,1.2,7,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Vitinho,br BRA,"FW,MF",19.0,7.8,29,3.71,20,1,2,5,0,1,4,0.51,4,0,0,0,0,0,Matches
Bruno Nazário,br BRA,MF,23.0,7.4,29,3.94,20,0,1,5,2,1,1,0.14,1,0,0,0,0,0,Matches
Abner,br BRA,DF,18.0,6.1,13,2.14,9,3,0,0,0,1,2,0.33,0,2,0,0,0,0,Matches
Matheus Rossetto,br BRA,MF,22.0,6.1,23,3.77,16,7,0,0,0,0,1,0.16,1,0,0,0,0,0,Matches
Jonathan Moreira,br BRA,DF,32.0,5.5,19,3.44,15,4,0,0,0,0,1,0.18,1,0,0,0,0,0,Matches
Tomás Andrade,ar ARG,"MF,FW",22.0,5.4,21,3.93,15,3,1,1,1,0,2,0.37,2,0,0,0,0,0,Matches
Khellven,br BRA,DF,17.0,4.5,14,3.1,7,5,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Paulo André,br BRA,DF,35.0,3.9,3,0.76,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Caio Alan,br BRA,GK,22.0,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Renan Lodi,br BRA,DF,20.0,2.9,5,1.72,3,0,0,1,0,1,1,0.34,0,0,0,1,0,0,Matches
Abner,br BRA,DF,22.0,2.4,7,2.88,7,0,0,0,0,0,2,0.82,2,0,0,0,0,0,Matches
Everton Felipe,br BRA,"FW,MF",21.0,2.0,6,3.07,2,2,1,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Pedrinho,br BRA,"FW,MF",19.0,1.4,5,3.46,3,0,2,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jáderson,br BRA,FW,18.0,0.0,1,90.0,1,0,0,0,0,0,1,90.0,1,0,0,0,0,0,Matches
Squad Total,,,26.2,38.0,1037,27.29,766,93,56,67,38,17,84,2.21,55,8,6,10,5,0,
Opponent Total,,,27.2,38.0,797,20.97,532,92,49,48,58,18,53,1.39,37,2,1,6,5,2,
