Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2019-03-05,19:30,Libertadores,Group stage,Tue,Away,L,0,1,co Tolima,1.0,2.3,57,,Thiago Heleno,4-1-4-1,4-3-3,Piero Maza,Match Report,
2019-03-14,21:00,Libertadores,Group stage,Thu,Home,W,4,0,bo Wilstermann,2.8,1.1,69,,Thiago Heleno,4-2-3-1,4-4-1-1,Carlos Orbe,Match Report,
2019-04-02,21:30,Libertadores,Group stage,Tue,Home,W,3,0,ar Boca Juniors,3.3,0.7,46,,Lucho González,4-1-4-1,4-4-2,Roberto Tobar,Match Report,
2019-04-09,19:15,Libertadores,Group stage,Tue,Home,W,1,0,co Tolima,1.7,0.2,67,,Lucho González,4-1-4-1,4-3-2-1,Jesús Valenzuela,Match Report,
2019-04-24,18:15,Libertadores,Group stage,Wed,Away,L,2,3,bo Wilstermann,1.6,2.7,65,,Paulo André,4-1-4-1,4-2-3-1,Mario Díaz de Vivar,Match Report,
2019-04-28,16:00,Série A,Matchweek 1,Sun,Home,W,4,1,Vasco da Gama,3.7,1.3,57,12275.0,Thiago Heleno,4-2-3-1,3-5-2,Luiz Flávio de Oliveira,Match Report,
2019-05-01,21:30,Série A,Matchweek 2,Wed,Away,L,1,2,Fortaleza,0.3,1.3,63,20578.0,Thiago Heleno,4-2-3-1,4-2-2-2,Marcelo de Lima Henrique,Match Report,
2019-05-05,11:00,Série A,Matchweek 3,Sun,Away,D,1,1,Chapecoense,1.5,1.5,50,6433.0,Márcio Azevedo,5-3-2,4-4-1-1,Vinicius Gonçalves Dias Araujo,Match Report,
2019-05-09,21:30,Libertadores,Group stage,Thu,Away,L,1,2,ar Boca Juniors,0.4,2.0,47,,Lucho González,4-1-4-1,4-3-3,Carlos Orbe,Match Report,
2019-05-12,19:00,Série A,Matchweek 4,Sun,Home,W,1,0,Bahia,2.2,0.9,62,10510.0,Wellington Martins,4-1-4-1,4-2-3-1,Savio Pereira,Match Report,
