Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Santos,br BRA,GK,29.0,33.0,1,1,1,0,0,1,3,33.3,2,0,0,0,3,4,15,2,Matches
Abner,br BRA,DF,19.0,31.5,73,46,40,25,8,39,69,56.5,30,29,4,25,27,100,58,0,Matches
Pedro Henrique,br BRA,DF,24.0,29.4,43,23,29,14,0,12,24,50.0,12,40,30,10,37,80,134,0,Matches
Thiago Heleno,br BRA,DF,31.0,28.4,19,10,8,11,0,13,23,56.5,10,26,18,8,42,61,132,1,Matches
Léo Cittadini,br BRA,MF,25.0,26.6,59,41,19,31,9,9,36,25.0,27,34,5,29,22,81,14,0,Matches
Nikão,br BRA,"FW,MF",27.0,23.9,12,9,6,5,1,1,22,4.5,21,14,4,10,12,24,18,0,Matches
Renato Kayser,br BRA,FW,23.0,22.3,5,4,0,4,1,1,14,7.1,13,4,2,2,8,13,8,0,Matches
Christian,br BRA,MF,19.0,21.9,26,14,7,14,5,7,40,17.5,33,16,4,12,13,39,8,0,Matches
Richard,br BRA,MF,25.0,19.6,57,26,23,28,6,22,49,44.9,27,35,13,22,45,102,37,0,Matches
Carlos Eduardo,br BRA,"FW,MF",23.0,19.0,23,18,7,11,5,8,40,20.0,32,13,2,11,16,39,19,0,Matches
Jonathan Moreira,br BRA,DF,33.0,15.5,10,4,2,6,2,7,16,43.8,9,7,5,2,13,23,15,0,Matches
Erick,br BRA,"DF,MF",22.0,16.8,33,19,15,14,4,12,22,54.5,10,17,8,9,23,56,30,0,Matches
Wellington Martins,br BRA,MF,29.0,15.8,15,9,6,9,0,8,25,32.0,17,14,4,10,13,28,18,0,Matches
Khellven,br BRA,DF,18.0,10.3,25,19,14,11,0,15,26,57.7,11,11,2,9,16,41,23,0,Matches
Fernando Canesin,br BRA,"MF,FW",27.0,8.4,13,10,5,7,1,4,17,23.5,13,6,1,5,6,19,7,0,Matches
Vitinho,br BRA,"FW,MF",20.0,8.2,13,6,6,5,2,5,20,25.0,15,7,0,7,5,18,6,0,Matches
Fabinho,br BRA,"FW,MF",20.0,7.8,10,7,3,5,2,6,12,50.0,6,6,0,6,3,13,2,0,Matches
Zé Ivaldo,br BRA,DF,22.0,7.3,9,7,5,3,1,5,7,71.4,2,4,3,1,10,19,31,0,Matches
Lucas Halter,br BRA,DF,19.0,6.7,1,0,0,1,0,0,1,0.0,1,5,2,3,4,5,27,1,Matches
Guilherme Bissoli,br BRA,FW,22.0,6.0,5,1,0,4,1,2,7,28.6,5,6,0,6,1,6,4,1,Matches
Márcio Azevedo,br BRA,DF,33.0,4.2,1,0,0,0,1,0,1,0.0,1,5,1,4,8,9,3,0,Matches
Felipe Aguilar,co COL,DF,27.0,5.9,7,3,3,4,0,5,9,55.6,4,4,1,3,16,23,24,0,Matches
Geuvânio,br BRA,"FW,MF",27.0,5.2,5,5,1,3,1,3,6,50.0,3,7,0,7,4,9,4,0,Matches
Reinaldo,br BRA,"MF,FW",18.0,4.5,5,3,2,3,0,1,7,14.3,6,6,0,6,4,9,6,0,Matches
Jádson,br BRA,"MF,FW",36.0,4.3,1,0,0,0,1,1,3,33.3,2,2,0,2,1,2,0,0,Matches
Jandrei,br BRA,GK,26.0,4.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Matches
Lucho González,ar ARG,MF,39.0,3.9,6,3,2,4,0,3,9,33.3,6,5,1,4,2,8,2,0,Matches
Vinicius Mingotti,br BRA,FW,20.0,3.2,3,2,0,2,1,2,5,40.0,3,0,0,0,0,3,2,0,Matches
Jaime Alvarado,co COL,MF,20.0,4.3,7,6,4,3,0,3,13,23.1,10,7,1,6,4,11,7,0,Matches
Pedrinho,br BRA,"FW,MF",20.0,3.9,5,3,3,0,2,1,3,33.3,2,2,0,2,1,6,1,0,Matches
Marquinhos Gabriel,br BRA,"MF,FW",29.0,2.5,4,2,0,2,2,1,7,14.3,6,0,0,0,1,5,2,0,Matches
Jorginho,br BRA,"FW,MF",29.0,2.2,7,4,2,4,1,0,3,0.0,3,2,0,2,4,11,1,0,Matches
Leo Gomes,br BRA,DF,22.0,1.4,7,4,6,1,0,4,5,80.0,1,2,0,2,2,9,4,0,Matches
Ravanelli,br BRA,"MF,FW",22.0,3.1,6,3,4,0,2,3,6,50.0,3,2,1,1,0,6,4,0,Matches
Walter,br BRA,"FW,MF",30.0,2.9,0,0,0,0,0,0,5,0.0,5,0,0,0,0,0,0,0,Matches
João Victor,br BRA,DF,17.0,1.3,2,1,2,0,0,2,5,40.0,3,1,0,1,2,4,3,0,Matches
Bento,br BRA,GK,20.0,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Bruno Leite,br BRA,"FW,MF",19.0,0.5,2,1,1,1,0,2,3,66.7,1,2,0,2,1,3,0,0,Matches
Kawan,br BRA,MF,17.0,0.4,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,0,0,Matches
Luan Patrick,br BRA,MF,18.0,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
Jajá,br BRA,FW,18.0,0.2,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
Squad Total,,,25.4,38.0,521,314,227,235,59,208,565,36.8,357,341,112,229,372,893,671,5,
Opponent Total,,,26.4,38.0,539,331,268,205,66,232,560,41.4,328,370,102,268,440,979,614,11,
