Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Santos,br BRA,GK,29.0,33.0,1021,1328,76.9,28854,19043,158,160,98.8,532,539,98.7,326,620,52.6,0,0.0,0.1,0.0,0,23,0,0,0,Matches
Abner,br BRA,DF,19.0,31.5,1431,1806,79.2,24758,7794,683,752,90.8,623,733,85.0,111,233,47.6,3,3.9,2.8,-0.9,49,123,26,11,142,Matches
Pedro Henrique,br BRA,DF,24.0,29.4,1603,1822,88.0,35625,12103,400,438,91.3,881,945,93.2,316,403,78.4,0,0.2,0.3,-0.2,5,122,2,0,119,Matches
Thiago Heleno,br BRA,DF,31.0,28.4,1871,2112,88.6,43247,14374,414,446,92.8,1069,1133,94.4,384,505,76.0,1,0.1,0.5,0.9,3,140,2,0,142,Matches
Léo Cittadini,br BRA,MF,25.0,26.6,866,1005,86.2,13248,2839,471,511,92.2,310,347,89.3,53,83,63.9,0,1.2,1.1,-1.2,32,92,13,3,98,Matches
Nikão,br BRA,"FW,MF",27.0,23.9,827,1038,79.7,16093,3951,339,391,86.7,339,388,87.4,128,194,66.0,4,5.3,4.6,-1.3,50,77,41,10,141,Matches
Renato Kayser,br BRA,FW,23.0,22.3,242,343,70.6,3533,645,141,189,74.6,78,103,75.7,14,20,70.0,2,1.2,1.0,0.8,12,23,9,0,27,Matches
Christian,br BRA,MF,19.0,21.9,794,981,80.9,14107,3766,364,413,88.1,338,389,86.9,77,131,58.8,0,2.0,1.9,-2.0,23,93,18,1,132,Matches
Richard,br BRA,MF,25.0,19.6,1046,1194,87.6,19670,4789,403,441,91.4,495,522,94.8,126,173,72.8,1,0.8,0.5,0.2,9,85,4,1,85,Matches
Carlos Eduardo,br BRA,"FW,MF",23.0,19.0,263,390,67.4,4137,1295,152,193,78.8,83,108,76.9,22,42,52.4,4,3.6,2.4,0.4,15,20,16,10,38,Matches
Jonathan Moreira,br BRA,DF,33.0,15.5,900,1029,87.5,15869,5016,385,413,93.2,420,464,90.5,79,114,69.3,0,0.6,1.4,-0.6,12,83,13,4,117,Matches
Erick,br BRA,"DF,MF",22.0,16.8,616,727,84.7,10905,3504,284,318,89.3,267,298,89.6,61,88,69.3,1,0.9,0.8,0.1,17,67,11,5,76,Matches
Wellington Martins,br BRA,MF,29.0,15.8,747,859,87.0,15808,5195,245,277,88.4,348,375,92.8,144,178,80.9,0,0.5,1.0,-0.5,5,93,15,1,98,Matches
Khellven,br BRA,DF,18.0,10.3,484,620,78.1,8818,2799,229,263,87.1,192,227,84.6,60,109,55.0,2,1.7,1.5,0.3,12,31,8,6,39,Matches
Fernando Canesin,br BRA,"MF,FW",27.0,8.4,160,223,71.7,2618,805,78,96,81.3,69,89,77.5,9,16,56.3,3,0.5,0.5,2.5,8,12,8,4,28,Matches
Vitinho,br BRA,"FW,MF",20.0,8.2,196,258,76.0,3006,613,117,139,84.2,56,70,80.0,17,22,77.3,1,2.0,0.9,-1.0,9,9,3,0,19,Matches
Fabinho,br BRA,"FW,MF",20.0,7.8,215,275,78.2,3494,739,120,139,86.3,73,91,80.2,17,29,58.6,0,1.4,1.0,-1.4,12,16,6,2,23,Matches
Zé Ivaldo,br BRA,DF,22.0,7.3,301,366,82.2,6570,2174,71,78,91.0,185,206,89.8,45,73,61.6,0,0.2,0.1,-0.2,3,27,1,0,25,Matches
Lucas Halter,br BRA,DF,19.0,6.7,498,559,89.1,9850,2862,150,162,92.6,302,317,95.3,41,70,58.6,1,0.1,0.1,0.9,4,31,0,0,34,Matches
Guilherme Bissoli,br BRA,FW,22.0,6.0,77,109,70.6,1104,94,41,59,69.5,29,34,85.3,3,7,42.9,1,0.9,0.4,0.1,4,6,2,1,5,Matches
Márcio Azevedo,br BRA,DF,33.0,4.2,255,304,83.9,4403,1889,114,120,95.0,115,139,82.7,24,35,68.6,0,0.4,0.3,-0.4,4,40,5,1,42,Matches
Felipe Aguilar,co COL,DF,27.0,5.9,364,391,93.1,7437,1985,100,110,90.9,216,221,97.7,46,56,82.1,0,0.1,0.0,-0.1,1,8,0,0,12,Matches
Geuvânio,br BRA,"FW,MF",27.0,5.2,136,191,71.2,2015,508,86,105,81.9,37,52,71.2,10,18,55.6,1,1.7,0.9,-0.7,6,6,3,0,16,Matches
Reinaldo,br BRA,"MF,FW",18.0,4.5,78,114,68.4,1282,318,48,65,73.8,16,25,64.0,11,17,64.7,0,0.1,0.2,-0.1,3,6,5,3,8,Matches
Jádson,br BRA,"MF,FW",36.0,4.3,190,236,80.5,3110,1068,101,107,94.4,68,84,81.0,17,33,51.5,0,0.8,1.0,-0.8,6,28,7,1,44,Matches
Jandrei,br BRA,GK,26.0,4.0,121,153,79.1,3302,2409,25,25,100.0,55,56,98.2,41,71,57.7,0,0.0,0.0,0.0,0,2,0,0,0,Matches
Lucho González,ar ARG,MF,39.0,3.9,92,137,67.2,1445,418,45,58,77.6,42,57,73.7,4,12,33.3,0,0.1,0.3,-0.1,2,17,2,0,19,Matches
Vinicius Mingotti,br BRA,FW,20.0,3.2,40,54,74.1,451,70,31,35,88.6,7,10,70.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,4,Matches
Jaime Alvarado,co COL,MF,20.0,4.3,196,224,87.5,3764,1161,75,84,89.3,89,99,89.9,28,35,80.0,0,0.0,0.1,0.0,1,20,0,0,24,Matches
Pedrinho,br BRA,"FW,MF",20.0,3.9,77,99,77.8,1060,159,50,60,83.3,20,25,80.0,4,7,57.1,0,0.2,0.2,-0.2,4,8,2,0,5,Matches
Marquinhos Gabriel,br BRA,"MF,FW",29.0,2.5,91,117,77.8,1417,202,41,47,87.2,32,40,80.0,8,17,47.1,0,0.0,0.1,0.0,1,5,1,0,10,Matches
Jorginho,br BRA,"FW,MF",29.0,2.2,61,74,82.4,1099,294,34,38,89.5,17,20,85.0,9,12,75.0,0,0.0,0.1,0.0,1,9,0,0,7,Matches
Leo Gomes,br BRA,DF,22.0,1.4,47,61,77.0,885,373,16,19,84.2,27,34,79.4,4,7,57.1,1,0.4,0.1,0.6,1,1,1,0,1,Matches
Ravanelli,br BRA,"MF,FW",22.0,3.1,101,152,66.4,1978,740,43,57,75.4,40,55,72.7,18,34,52.9,1,0.7,0.6,0.3,9,10,4,0,20,Matches
Walter,br BRA,"FW,MF",30.0,2.9,69,95,72.6,1119,162,41,50,82.0,15,22,68.2,10,17,58.8,0,0.1,0.1,-0.1,1,8,1,0,9,Matches
João Victor,br BRA,DF,17.0,1.3,62,71,87.3,981,477,31,34,91.2,29,33,87.9,2,4,50.0,0,0.4,0.1,-0.4,2,4,1,0,8,Matches
Bento,br BRA,GK,20.0,1.0,29,40,72.5,827,448,1,1,100.0,16,16,100.0,12,23,52.2,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Bruno Leite,br BRA,"FW,MF",19.0,0.5,21,23,91.3,382,65,9,9,100.0,9,9,100.0,3,4,75.0,0,0.3,0.2,-0.3,1,3,1,0,2,Matches
Kawan,br BRA,MF,17.0,0.4,12,13,92.3,171,18,7,7,100.0,4,5,80.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Luan Patrick,br BRA,MF,18.0,0.2,12,14,85.7,242,99,4,4,100.0,7,8,87.5,1,1,100.0,0,0.0,0.0,0.0,1,2,0,0,3,Matches
Jajá,br BRA,FW,18.0,0.2,3,8,37.5,40,15,2,6,33.3,1,1,100.0,0,1,0.0,0,0.0,0.4,0.0,0,0,1,1,0,Matches
Squad Total,,,25.4,38.0,16215,19615,82.7,318724,107278,6149,6919,88.9,7551,8389,90.0,2286,3515,65.0,27,32.6,27.3,-5.6,328,1352,232,65,1622,
Opponent Total,,,26.4,38.0,13329,16766,79.5,254873,92895,5349,6068,88.2,5900,6851,86.1,1797,3024,59.4,24,33.2,29.2,-9.2,361,1060,254,83,1396,
