Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Santos,br BRA,GK,30.0,29,29,2610.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Thiago Heleno,br BRA,DF,32.0,28,28,2490.0,27.7,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,1.3,1.3,0.3,1.6,4.0,95.0,4.0,0.04,0.0,0.04,0.04,0.04,0.05,0.01,0.06,0.05,0.06,Matches
Pedro Henrique,br BRA,DF,25.0,28,27,2344.0,26.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.4,1.3,35.0,120.0,9.0,0.04,0.04,0.08,0.04,0.08,0.03,0.01,0.05,0.03,0.05,Matches
Marcinho,br BRA,"DF,MF",24.0,30,26,2237.0,24.9,2.0,5.0,7.0,2.0,0.0,0.0,2.0,1.0,1.1,1.1,3.8,4.9,48.0,76.0,120.0,0.08,0.2,0.28,0.08,0.28,0.04,0.15,0.2,0.04,0.2,Matches
Christian,br BRA,MF,20.0,32,25,2115.0,23.5,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,2.2,2.2,1.9,4.1,23.0,120.0,70.0,0.09,0.0,0.09,0.09,0.09,0.09,0.08,0.18,0.09,0.18,Matches
Abner,br BRA,"DF,MF",20.0,24,23,1948.0,21.6,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,2.8,3.8,42.0,87.0,146.0,0.0,0.14,0.14,0.0,0.14,0.04,0.13,0.17,0.04,0.17,Matches
Nikão,br BRA,"FW,MF",28.0,27,21,1997.0,22.2,3.0,5.0,8.0,2.0,1.0,1.0,6.0,0.0,3.8,3.0,3.7,6.7,46.0,97.0,191.0,0.14,0.23,0.36,0.09,0.32,0.17,0.17,0.34,0.14,0.3,Matches
Zé Ivaldo,br BRA,DF,23.0,30,21,1860.0,20.7,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.8,0.8,0.4,1.2,30.0,106.0,10.0,0.05,0.0,0.05,0.05,0.05,0.04,0.02,0.06,0.04,0.06,Matches
David Terans,uy URU,"MF,FW",26.0,29,21,1752.0,19.5,6.0,7.0,13.0,6.0,0.0,0.0,7.0,0.0,5.7,5.7,3.8,9.5,43.0,75.0,98.0,0.31,0.36,0.67,0.31,0.67,0.29,0.2,0.49,0.29,0.49,Matches
