Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Bento,br BRA,GK,22.0,33.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Pedro Henrique,br BRA,DF,26.0,25.6,0,15,3,20.0,0.59,0.12,0.0,0.0,17.6,0,0,0,1.2,1.2,0.08,-1.2,-1.2,Matches
David Terans,uy URU,MF,27.0,22.3,12,75,22,29.3,3.36,0.99,0.08,0.27,26.4,8,6,7,9.8,4.3,0.06,2.2,1.7,Matches
Abner,br BRA,DF,21.0,23.4,1,13,3,23.1,0.56,0.13,0.08,0.33,21.0,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
Khellven,br BRA,DF,20.0,23.4,1,13,3,23.1,0.56,0.13,0.0,0.0,26.5,1,1,1,1.3,0.5,0.04,-0.3,-0.5,Matches
Hugo Moura,br BRA,MF,24.0,19.4,1,16,6,37.5,0.82,0.31,0.06,0.17,25.5,0,0,0,0.5,0.5,0.03,0.5,0.5,Matches
Erick,br BRA,MF,24.0,20.5,3,20,8,40.0,0.97,0.39,0.15,0.38,16.2,0,0,0,2.7,2.7,0.13,0.3,0.3,Matches
Matheus Felipe,br BRA,DF,23.0,19.8,2,6,3,50.0,0.3,0.15,0.33,0.67,13.8,0,0,0,0.7,0.7,0.12,1.3,1.3,Matches
Tomás Cuello,ar ARG,FW,21.0,18.0,2,50,11,22.0,2.78,0.61,0.04,0.18,24.1,3,0,0,2.3,2.3,0.05,-0.3,-0.3,Matches
Nicolás Hernández,co COL,DF,24.0,18.0,0,2,0,0.0,0.11,0.0,0.0,,13.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Agustín Canobbio,uy URU,FW,23.0,15.6,2,24,7,29.2,1.53,0.45,0.08,0.29,20.9,0,0,0,2.0,2.0,0.08,0.0,0.0,Matches
Pablo,br BRA,FW,29.0,16.6,4,39,16,41.0,2.35,0.96,0.1,0.25,16.9,1,0,0,4.9,4.9,0.12,-0.9,-0.9,Matches
Vitinho,br BRA,FW,22.0,15.9,2,37,15,40.5,2.33,0.95,0.05,0.13,16.5,0,0,0,3.2,3.2,0.09,-1.2,-1.2,Matches
Luis Manuel Orejuela,co COL,DF,26.0,13.0,1,4,1,25.0,0.31,0.08,0.25,1.0,20.2,0,0,0,0.3,0.3,0.06,0.7,0.7,Matches
Vitor Roque,br BRA,FW,16.0,14.6,5,40,17,42.5,2.74,1.16,0.13,0.29,14.8,0,0,0,5.7,5.7,0.14,-0.7,-0.7,Matches
Pedro Henrique,br BRA,"DF,FW",19.0,15.4,0,9,1,11.1,0.58,0.06,0.0,0.0,26.1,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Thiago Heleno,br BRA,DF,33.0,12.7,0,6,0,0.0,0.47,0.0,0.0,,10.7,0,0,1,1.4,0.6,0.1,-1.4,-0.6,Matches
Vitor Bueno,br BRA,"MF,FW",27.0,12.5,4,26,6,23.1,2.08,0.48,0.08,0.33,24.8,5,2,2,3.7,2.2,0.08,0.3,-0.2,Matches
Fernandinho,br BRA,MF,36.0,10.8,1,9,3,33.3,0.84,0.28,0.11,0.33,24.4,0,0,0,0.3,0.3,0.04,0.7,0.7,Matches
Rômulo,br BRA,FW,19.0,13.3,1,22,7,31.8,1.66,0.53,0.05,0.14,16.7,1,0,0,1.8,1.8,0.08,-0.8,-0.8,Matches
Alex Santana,br BRA,MF,26.0,9.9,2,17,5,29.4,1.72,0.51,0.12,0.4,21.6,0,0,0,1.4,1.4,0.08,0.6,0.6,Matches
Matheus Fernandes,br BRA,MF,23.0,7.6,0,9,4,44.4,1.18,0.52,0.0,0.0,24.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Marcelo Cirino,br BRA,FW,30.0,5.2,0,6,1,16.7,1.14,0.19,0.0,0.0,17.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Anderson,br BRA,GK,23.0,5.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
