Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Bento,br BRA,GK,23.0,33.0,3,0,0,2,4,0,0,1,0,0,0,0,16,10,0,100.0,Matches
Thiago Heleno,br BRA,DF,34.0,30.9,9,0,0,38,18,2,0,41,26,0,1,0,136,83,53,61.0,Matches
Erick,br BRA,MF,25.0,27.8,7,0,0,49,24,1,4,42,27,0,1,0,144,64,39,62.1,Matches
Vitor Bueno,br BRA,"MF,FW",28.0,23.1,7,0,0,21,34,5,146,6,7,0,0,0,87,18,37,32.7,Matches
Fernandinho,br BRA,MF,37.0,21.5,11,1,1,31,33,1,13,16,15,0,1,0,147,29,31,48.3,Matches
Agustín Canobbio,uy URU,"FW,MF",24.0,23.5,10,0,0,42,50,13,69,8,39,1,1,0,143,19,31,38.0,Matches
Tomás Cuello,ar ARG,"MF,FW",22.0,22.8,5,0,0,37,49,4,123,37,25,0,0,0,121,25,27,48.1,Matches
Vitor Roque,br BRA,FW,17.0,19.0,6,0,0,35,55,8,6,2,10,1,0,0,57,24,38,38.7,Matches
Cacá,br BRA,DF,23.0,18.8,6,0,0,30,9,0,4,18,16,0,0,0,87,41,37,52.6,Matches
Lucas Esquivel,ar ARG,DF,21.0,18.3,3,0,0,23,26,0,86,21,27,0,1,0,112,11,26,29.7,Matches
Hugo Moura,br BRA,MF,25.0,14.7,6,0,0,28,15,0,7,19,19,0,0,0,78,15,8,65.2,Matches
Pablo,br BRA,FW,30.0,15.5,3,0,0,23,19,11,10,8,10,0,0,0,61,25,37,40.3,Matches
Christian,br BRA,"MF,FW",22.0,15.1,1,0,0,32,25,0,21,10,13,0,0,0,55,7,22,24.1,Matches
Mádson,br BRA,"DF,MF",31.0,14.8,4,0,0,17,20,3,19,11,4,0,0,0,43,39,28,58.2,Matches
Bruno Zapelli,ar ARG,"MF,FW",20.0,12.7,0,0,0,14,13,1,39,7,7,0,0,0,56,7,12,36.8,Matches
Khellven,br BRA,DF,21.0,11.1,1,0,0,9,9,3,40,16,11,0,0,0,44,9,14,39.1,Matches
Zé Ivaldo,br BRA,DF,25.0,11.3,2,1,0,20,10,0,3,16,13,0,1,0,74,32,18,64.0,Matches
Pedro Henrique,br BRA,DF,27.0,9.5,3,0,0,14,6,2,4,12,5,0,0,0,51,22,18,55.0,Matches
Alex Santana,br BRA,MF,27.0,11.1,6,1,0,20,25,3,3,11,11,0,0,0,60,13,14,48.1,Matches
Kaique Rocha,br BRA,DF,21.0,7.2,2,0,0,7,3,0,0,13,3,0,1,0,34,20,10,66.7,Matches
Matheus Felipe,br BRA,DF,24.0,5.9,1,0,0,5,2,0,0,6,3,0,0,0,20,13,9,59.1,Matches
Willian,br BRA,"FW,MF",36.0,6.4,0,0,0,12,5,2,2,1,7,0,0,0,20,5,13,27.8,Matches
Fernando,br BRA,DF,23.0,5.3,1,0,0,4,2,0,21,8,9,0,0,0,25,3,8,27.3,Matches
Arturo Vidal,cl CHI,MF,35.0,4.2,3,0,0,11,10,0,7,6,8,0,0,0,21,5,7,41.7,Matches
Rômulo,br BRA,"FW,MF",20.0,5.7,1,0,0,9,7,2,10,5,8,1,0,0,35,14,22,38.9,Matches
Leonardo Linck,br BRA,GK,21.0,5.0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0.0,Matches
David Terans,uy URU,"MF,FW",28.0,4.4,1,0,0,6,10,4,20,1,1,0,0,0,21,1,8,11.1,Matches
Vinicius Kaue,br BRA,"DF,MF",19.0,3.8,1,1,0,7,1,0,9,3,2,0,0,0,13,3,8,27.3,Matches
Pedro Henrique,br BRA,"DF,MF",20.0,4.0,1,0,0,4,5,0,6,9,4,0,0,0,29,2,4,33.3,Matches
Léo Cittadini,br BRA,"MF,FW",28.0,2.2,0,0,0,6,3,0,6,2,4,0,0,0,12,4,4,50.0,Matches
Thiago,br BRA,"FW,MF",22.0,2.5,1,0,0,2,3,0,2,1,3,0,0,0,12,1,2,33.3,Matches
Luciano Arriagada,cl CHI,"FW,MF",20.0,2.1,0,0,0,14,6,0,1,0,1,0,0,0,12,4,14,22.2,Matches
Bruno Peres,br BRA,"DF,MF",32.0,1.7,0,0,0,4,1,0,3,0,1,0,0,0,3,1,1,50.0,Matches
Marcelo Cirino,br BRA,"FW,MF",31.0,1.1,1,0,0,2,2,2,0,0,0,0,0,0,1,5,3,62.5,Matches
Lucas Belezi,br BRA,DF,19.0,0.5,1,0,0,1,1,0,1,0,1,0,0,0,1,2,0,100.0,Matches
