Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Lucas Esquivel,ar ARG,DF,22.0,30.2,1834,1542,287,43,0,25,135,225,19,7,10,0,1407,5,27,Matches
Erick,br BRA,"MF,DF",26.0,28.4,1131,1083,46,16,1,6,8,28,1,0,1,0,968,2,7,Matches
Kaique Rocha,br BRA,DF,22.0,27.6,1272,1214,58,45,0,3,5,3,0,0,0,0,1111,0,4,Matches
Thiago Heleno,br BRA,DF,35.0,25.3,1186,1105,79,50,0,12,0,4,0,0,0,0,1009,2,3,Matches
Tomás Cuello,ar ARG,"FW,MF",23.0,22.3,867,767,99,12,3,10,116,64,22,7,13,0,602,1,36,Matches
Leonardo Godoy,ar ARG,DF,28.0,18.2,727,582,142,8,0,3,50,134,0,0,0,0,509,3,13,Matches
Pablo,br BRA,"FW,MF",31.0,18.9,454,409,44,6,1,4,4,6,3,0,0,0,338,1,8,Matches
Nikão,br BRA,"FW,MF",31.0,18.0,764,689,75,14,0,21,82,16,45,23,17,0,603,0,14,Matches
Julimar,br BRA,"FW,MF",23.0,18.5,578,556,19,0,0,1,43,16,1,0,0,0,433,3,26,Matches
Mycael,br BRA,GK,19.0,17.4,405,234,170,39,0,0,0,0,0,0,0,0,264,1,1,Matches
Fernandinho,br BRA,MF,38.0,17.2,1004,904,94,56,6,11,48,6,31,12,11,1,799,6,11,Matches
Christian,br BRA,"MF,FW",23.0,16.7,507,494,12,2,3,4,28,3,6,0,6,0,403,1,16,Matches
Mateo Gamarra,py PAR,DF,23.0,16.5,826,786,38,27,0,5,3,6,0,0,0,0,665,2,4,Matches
Gabriel,br BRA,MF,31.0,15.9,858,843,14,12,0,8,6,2,0,0,0,0,766,1,11,Matches
Bruno Zapelli,ar ARG,"MF,FW",21.0,15.7,738,650,83,17,8,6,93,5,58,23,23,0,536,5,17,Matches
Leonardo Linck,br BRA,GK,22.0,13.6,358,247,107,29,1,2,0,0,0,0,0,0,262,4,1,Matches
Agustín Canobbio,uy URU,"FW,MF",25.0,13.5,430,402,27,7,1,2,36,15,5,0,1,1,329,1,18,Matches
Felipinho,br BRA,MF,22.0,10.3,238,231,5,2,0,0,8,1,1,0,0,0,195,2,3,Matches
Gonzalo Mastriani,uy URU,FW,30.0,10.0,188,168,19,0,2,0,3,0,0,0,0,0,127,1,6,Matches
João Machado Cruz,br BRA,"MF,FW",17.0,9.3,399,347,49,16,2,4,61,1,29,11,11,0,286,3,10,Matches
Mádson,br BRA,DF,32.0,10.8,444,352,91,5,0,0,25,84,2,0,2,0,327,1,10,Matches
Lucas Belezi,br BRA,DF,20.0,8.8,258,243,13,12,0,2,2,1,0,0,0,0,195,2,0,Matches
Lucas Di Yorio,ar ARG,FW,27.0,8.9,187,165,21,0,0,0,9,3,0,0,0,0,118,1,10,Matches
Fernando,br BRA,DF,24.0,8.0,420,346,73,9,0,3,31,60,4,0,3,0,328,1,14,Matches
Bento,br BRA,GK,24.0,7.0,171,112,58,10,0,0,0,1,0,0,0,0,121,1,1,Matches
Emersonn,br BRA,"FW,MF",19.0,4.3,85,81,4,1,1,1,5,0,0,0,0,0,43,0,5,Matches
Bruno Praxedes,br BRA,"MF,FW",21.0,2.6,100,92,8,1,0,0,7,3,4,3,0,0,70,0,3,Matches
José Vitor Silva Neves,br BRA,"MF,FW",23.0,2.0,103,103,0,0,0,1,3,0,0,0,0,0,79,0,0,Matches
Alex Santana,br BRA,"MF,FW",28.0,1.1,50,48,2,0,0,0,0,2,0,0,0,0,45,0,1,Matches
Marcos Victor,br BRA,DF,22.0,0.0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
Kayke Santos,br BRA,FW,15.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,26.2,38.0,16585,14798,1737,439,29,134,811,689,231,86,98,2,12940,50,280,
Opponent Total,,,27.5,38.0,18713,16841,1824,516,28,122,700,684,191,86,68,3,15142,48,356,
