Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Lucas Esquivel,ar ARG,DF,22.0,30.2,2134,108,611,1060,485,18,2134,50,28,56.0,18,36.0,1099,5463,3058,57,41,2,17,19,1239,87,Matches
Erick,br BRA,"MF,DF",26.0,28.4,1449,61,306,918,236,60,1449,33,19,57.6,10,30.3,777,3751,1810,17,24,4,26,13,934,43,Matches
Kaique Rocha,br BRA,DF,22.0,27.6,1553,236,734,765,70,30,1553,18,14,77.8,3,16.7,851,3958,2199,11,10,1,12,4,945,5,Matches
Thiago Heleno,br BRA,DF,35.0,25.3,1420,238,724,653,45,29,1420,1,0,0.0,1,100.0,771,3097,1321,0,1,0,5,0,926,4,Matches
Tomás Cuello,ar ARG,"FW,MF",23.0,22.3,1177,17,175,476,561,62,1177,126,64,50.8,55,43.7,706,5439,3102,102,70,21,47,41,775,188,Matches
Leonardo Godoy,ar ARG,DF,28.0,18.2,885,48,247,389,254,31,885,18,4,22.2,13,72.2,409,1473,792,16,14,5,14,7,494,87,Matches
Pablo,br BRA,"FW,MF",31.0,18.9,596,24,64,288,249,54,596,10,7,70.0,3,30.0,315,1129,469,12,10,5,30,17,404,66,Matches
Nikão,br BRA,"FW,MF",31.0,18.0,944,8,87,420,444,52,944,30,14,46.7,13,43.3,535,2696,1134,32,25,10,40,23,666,135,Matches
Julimar,br BRA,"FW,MF",23.0,18.5,848,28,96,308,466,107,848,62,31,50.0,29,46.8,483,3741,2020,83,48,27,34,23,574,173,Matches
Mycael,br BRA,GK,19.0,17.4,461,403,461,0,0,0,461,0,0,,0,,196,1103,543,0,0,0,1,0,139,0,Matches
Fernandinho,br BRA,MF,38.0,17.2,1133,31,140,755,254,17,1132,23,11,47.8,9,39.1,668,3472,1970,39,30,3,19,19,783,36,Matches
Christian,br BRA,"MF,FW",23.0,16.7,664,9,86,324,258,45,664,24,9,37.5,12,50.0,386,1727,688,15,13,3,30,9,454,102,Matches
Mateo Gamarra,py PAR,DF,23.0,16.5,1026,138,481,504,46,19,1026,4,2,50.0,2,50.0,559,2646,1495,4,2,1,5,5,608,2,Matches
Gabriel,br BRA,MF,31.0,15.9,1014,44,237,641,143,5,1014,5,1,20.0,4,80.0,533,2392,1174,17,10,0,10,1,636,5,Matches
Bruno Zapelli,ar ARG,"MF,FW",21.0,15.7,926,11,90,411,440,45,926,55,30,54.5,21,38.2,539,2717,1187,37,24,8,33,36,644,116,Matches
Leonardo Linck,br BRA,GK,22.0,13.6,387,330,383,4,0,0,387,0,0,,0,,207,1044,700,0,0,0,0,0,166,0,Matches
