Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Jean,br BRA,GK,24.0,36,3240.0,90.0,94.7,36.0,36,90.0,36.0,0,,0,1.36,39.0,41.0,-2.0,-0.06,1.44,43.0,49.6,-6.6,-0.18,1.59,Matches
Eder,br BRA,DF,24.0,32,2821.0,88.0,82.5,31.3,32,88.0,30.0,0,,1,1.25,31.0,40.0,-9.0,-0.29,-0.89,36.7,46.2,-9.4,-0.3,-0.19,Matches
Luis Eduardo Marques dos Santos,br BRA,DF,22.0,34,2780.0,82.0,81.3,30.9,32,86.0,23.0,2,21.0,1,1.32,34.0,35.0,-1.0,-0.03,0.53,36.9,44.2,-7.3,-0.24,0.17,Matches
Marlon Freitas,br BRA,MF,24.0,31,2621.0,85.0,76.6,29.1,30,86.0,23.0,1,45.0,0,1.32,28.0,34.0,-6.0,-0.21,-0.32,35.7,40.6,-4.9,-0.17,0.42,Matches
Chico,br BRA,"MF,FW",28.0,33,2195.0,67.0,64.2,24.4,27,76.0,5.0,6,22.0,2,1.27,21.0,32.0,-11.0,-0.45,-0.89,26.5,33.5,-6.9,-0.28,-0.05,Matches
Nicolas,br BRA,DF,22.0,30,2282.0,76.0,66.7,25.4,26,86.0,20.0,4,11.0,3,1.33,24.0,31.0,-7.0,-0.28,-0.43,28.1,35.5,-7.3,-0.29,-0.07,Matches
João Victor,br BRA,DF,21.0,27,2167.0,80.0,63.4,24.1,25,86.0,22.0,2,3.0,5,1.56,32.0,28.0,4.0,0.17,0.81,29.5,37.0,-7.6,-0.31,-0.13,Matches
Janderson,br BRA,FW,20.0,32,2054.0,64.0,60.1,22.8,24,77.0,5.0,8,26.0,0,1.38,23.0,24.0,-1.0,-0.04,0.22,27.2,29.8,-2.6,-0.11,0.39,Matches
Gustavo Ferrareis,br BRA,FW,24.0,26,1689.0,65.0,49.4,18.8,24,69.0,2.0,2,22.0,0,1.31,17.0,19.0,-2.0,-0.11,0.05,20.6,20.4,0.2,0.01,0.55,Matches
Zé Roberto,br BRA,FW,26.0,25,1739.0,70.0,50.8,19.3,22,76.0,3.0,3,26.0,0,1.48,17.0,18.0,-1.0,-0.05,0.16,20.3,22.9,-2.6,-0.13,0.27,Matches
Willian Maranhão,br BRA,MF,24.0,22,1439.0,65.0,42.1,16.0,18,76.0,8.0,4,20.0,12,1.36,16.0,15.0,1.0,0.06,0.34,15.4,23.1,-7.6,-0.48,-0.36,Matches
Gilvan,br BRA,DF,30.0,22,1297.0,59.0,37.9,14.4,14,85.0,11.0,8,14.0,13,1.32,15.0,18.0,-3.0,-0.21,-0.12,16.5,20.8,-4.4,-0.3,-0.06,Matches
Edson,br BRA,MF,28.0,14,1260.0,90.0,36.8,14.0,14,90.0,14.0,0,,0,1.29,15.0,17.0,-2.0,-0.14,-0.02,17.2,17.7,-0.5,-0.04,0.37,Matches
Matheus de Vargas,br BRA,"MF,FW",23.0,29,1391.0,48.0,40.7,15.5,13,76.0,3.0,16,25.0,4,1.28,15.0,20.0,-5.0,-0.32,-0.32,18.0,25.7,-7.6,-0.49,-0.38,Matches
Wellington Rato,br BRA,"FW,MF",27.0,19,1205.0,63.0,35.2,13.4,13,82.0,6.0,6,24.0,5,1.26,16.0,14.0,2.0,0.15,0.43,13.6,17.9,-4.2,-0.32,-0.07,Matches
Natanael,br BRA,DF,29.0,19,1089.0,57.0,31.8,12.1,12,82.0,8.0,7,15.0,5,1.37,14.0,13.0,1.0,0.08,0.31,14.3,20.4,-6.1,-0.5,-0.35,Matches
Lucas Oliveira,br BRA,"DF,MF",23.0,19,1024.0,54.0,29.9,11.4,10,86.0,8.0,9,18.0,17,1.26,11.0,14.0,-3.0,-0.26,-0.19,14.1,16.8,-2.7,-0.24,0.04,Matches
Hyuri,br BRA,FW,28.0,16,722.0,45.0,21.1,8.0,8,71.0,0.0,8,19.0,4,1.38,8.0,8.0,0.0,0.0,0.17,8.7,11.0,-2.3,-0.28,-0.02,Matches
Everton Felipe,br BRA,"FW,MF",22.0,14,643.0,46.0,18.8,7.1,6,77.0,2.0,8,23.0,5,1.27,10.0,7.0,3.0,0.42,0.68,7.5,7.2,0.3,0.04,0.38,Matches
Matheus Pereira,br BRA,MF,23.0,10,496.0,50.0,14.5,5.5,5,79.0,2.0,5,20.0,2,1.64,8.0,8.0,0.0,0.0,0.15,6.3,8.3,-2.0,-0.36,-0.11,Matches
Renato Kayser,br BRA,FW,23.0,5,434.0,87.0,12.7,4.8,5,87.0,2.0,0,,0,1.6,8.0,7.0,1.0,0.21,0.39,6.3,6.7,-0.4,-0.08,0.21,Matches
Jorginho,br BRA,MF,29.0,5,375.0,75.0,11.0,4.2,5,75.0,1.0,0,,0,0.8,4.0,5.0,-1.0,-0.24,-0.12,4.3,3.0,1.4,0.33,0.67,Matches
Danilo,br BRA,"FW,MF",20.0,13,484.0,37.0,14.2,5.4,4,75.0,1.0,9,21.0,0,1.38,7.0,7.0,0.0,0.0,0.15,6.9,9.7,-2.8,-0.53,-0.3,Matches
Matheus Cotulio Bossa,br BRA,"FW,MF",26.0,17,492.0,29.0,14.4,5.5,3,68.0,0.0,14,21.0,3,1.0,6.0,9.0,-3.0,-0.55,-0.49,7.2,9.5,-2.3,-0.42,-0.18,Matches
Arnaldo,br BRA,"DF,FW",27.0,17,445.0,26.0,13.0,4.9,3,85.0,1.0,14,14.0,8,1.24,8.0,4.0,4.0,0.81,1.08,8.1,8.5,-0.4,-0.08,0.22,Matches
Roberson,br BRA,FW,30.0,9,240.0,27.0,7.0,2.7,2,56.0,0.0,7,18.0,0,1.33,7.0,4.0,3.0,1.13,1.35,4.1,2.9,1.2,0.45,0.77,Matches
Maurício Kozlinski,br BRA,GK,28.0,2,180.0,90.0,5.3,2.0,2,90.0,2.0,0,,30,0.5,1.0,4.0,-3.0,-1.5,-1.44,1.3,4.8,-3.5,-1.77,-1.59,Matches
Gabriel Baralhas,br BRA,MF,21.0,4,157.0,39.0,4.6,1.7,2,75.0,1.0,2,4.0,10,1.5,3.0,4.0,-1.0,-0.57,-0.46,2.3,2.2,0.0,0.03,0.31,Matches
Moacir,br BRA,DF,33.0,4,117.0,29.0,3.4,1.3,1,64.0,0.0,3,18.0,2,1.0,0.0,3.0,-3.0,-2.31,-2.25,0.6,1.9,-1.3,-0.99,-0.75,Matches
Júnior Brandão,br BRA,FW,25.0,11,168.0,15.0,4.9,1.9,0,,0.0,11,15.0,3,1.0,0.0,3.0,-3.0,-1.61,-1.55,2.6,4.6,-2.0,-1.06,-0.83,Matches
Vitor Leque,br BRA,"FW,MF",19.0,8,107.0,13.0,3.1,1.2,0,,0.0,8,13.0,8,1.25,3.0,4.0,-1.0,-0.84,-0.73,2.6,6.3,-3.7,-3.12,-2.94,Matches
Matheus Frizzo,br BRA,"MF,DF",21.0,4,83.0,21.0,2.4,0.9,0,,0.0,4,21.0,12,0.5,1.0,2.0,-1.0,-1.08,-0.98,1.6,2.2,-0.5,-0.58,-0.32,Matches
Danilo,,FW,18.0,1,20.0,20.0,0.6,0.2,0,,0.0,1,20.0,0,3.0,0.0,0.0,0.0,0.0,0.13,0.6,0.1,0.4,1.96,2.24,Matches
Francisco Rithely,br BRA,MF,29.0,3,20.0,7.0,0.6,0.2,0,,0.0,3,7.0,6,1.0,0.0,1.0,-1.0,-4.5,-4.39,0.3,1.6,-1.3,-5.74,-5.5,Matches
Henry Vaca,bo BOL,MF,22.0,1,1.0,1.0,0.0,0.0,0,,0.0,1,1.0,2,1.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.27,Matches
Gabriel Bernard,br BRA,GK,19.0,0,,,,,0,,,0,,6,,,,,,,,,,,,Matches
Michel Custódio,br BRA,DF,19.0,0,,,,,0,,,0,,9,,,,,,,,,,,,Matches
Edson Junior,br BRA,MF,24.0,0,,,,,0,,,0,,3,,,,,,,,,,,,Matches
Leonardo,br BRA,GK,22.0,0,,,,,0,,,0,,2,,,,,,,,,,,,Matches
Luan Patric,br BRA,MF,19.0,0,,,,,0,,,0,,9,,,,,,,,,,,,Matches
Lucas Pereira,br BRA,GK,21.0,0,,,,,0,,,0,,1,,,,,,,,,,,,Matches
Squad Total,,,24.9,38,3420.0,90.0,100.0,38.0,418,82.0,239.0,176,19.0,193,1.32,40.0,45.0,-5.0,-0.13,,44.3,54.5,-10.2,-0.27,,
Opponent Total,,,26.5,38,3420.0,90.0,100.0,38.0,418,82.0,240.0,172,22.0,263,1.32,45.0,40.0,5.0,0.13,,54.5,44.3,10.2,0.27,,
