Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Fernando Miguel,br BRA,GK,35.0,36.4,1,0.03,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Eder,br BRA,DF,25.0,33.5,13,0.39,12,0,0,1,0,0,1,0.03,1,0,0,0,0,0,Matches
Willian Maranhão,br BRA,MF,25.0,30.7,36,1.17,23,1,3,1,2,6,1,0.03,1,0,0,0,0,0,Matches
Luis Eduardo Marques dos Santos,br BRA,DF,23.0,25.1,38,1.51,32,4,2,0,0,0,2,0.08,1,0,1,0,0,0,Matches
Zé Roberto,br BRA,FW,27.0,23.1,53,2.29,38,1,4,4,6,0,3,0.13,2,0,1,0,0,0,Matches
Janderson,br BRA,"FW,MF",21.0,25.6,87,3.39,49,13,9,5,11,0,8,0.31,3,0,2,2,1,0,Matches
Igor Cariús,br BRA,DF,27.0,22.1,31,1.4,23,4,2,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Marlon Freitas,br BRA,MF,25.0,24.7,70,2.83,63,0,2,1,3,1,7,0.28,6,0,1,0,0,0,Matches
João Paulo Alves,br BRA,"MF,FW",30.0,22.1,80,3.63,58,7,6,4,4,1,5,0.23,3,0,0,0,1,1,Matches
André Luis,br BRA,"FW,MF",23.0,19.8,52,2.63,34,1,6,6,5,0,6,0.3,4,0,0,1,1,0,Matches
Wanderson,br BRA,DF,29.0,19.2,9,0.47,9,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Gabriel Baralhas,br BRA,MF,22.0,19.1,35,1.83,30,1,1,1,2,0,2,0.1,1,0,0,0,1,0,Matches
Natanael,br BRA,"DF,FW",30.0,17.1,29,1.69,13,10,1,3,2,0,4,0.23,2,2,0,0,0,0,Matches
Ronald,br BRA,"FW,MF",19.0,14.7,32,2.18,23,0,4,1,3,1,1,0.07,1,0,0,0,0,0,Matches
Arnaldo,br BRA,DF,28.0,14.0,29,2.07,22,4,2,1,0,0,3,0.21,3,0,0,0,0,0,Matches
Lucas Oliveira,br BRA,DF,24.0,12.8,12,0.93,11,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Arthur,br BRA,"MF,FW",22.0,8.0,35,4.37,20,5,5,3,2,0,3,0.37,2,0,1,0,0,0,Matches
Arthur Henrique,br BRA,"DF,MF",26.0,7.4,16,2.17,10,4,1,1,0,0,3,0.41,2,0,1,0,0,0,Matches
Brian Montenegro,py PAR,"FW,MF",27.0,7.5,8,1.07,6,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Nathan Silva,br BRA,DF,23.0,6.0,2,0.33,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Pedrão,br BRA,DF,28.0,4.9,1,0.2,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Matheus Barbosa,br BRA,"MF,FW",26.0,4.3,12,2.81,10,0,0,2,0,0,1,0.23,1,0,0,0,0,0,Matches
Lucas Melão Lucão,br BRA,FW,20.0,6.8,9,1.31,6,0,0,1,2,0,1,0.15,1,0,0,0,0,0,Matches
Rickson,br BRA,"FW,MF",22.0,3.9,11,2.78,10,0,0,1,0,0,1,0.25,1,0,0,0,0,0,Matches
André Lima,br BRA,MF,20.0,1.5,1,0.65,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Maurício Kozlinski,br BRA,GK,29.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jefferson,br BRA,"DF,MF",24.0,1.0,4,4.09,2,0,1,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Jonas,br BRA,"FW,MF",21.0,3.4,5,1.46,3,0,2,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Luan Polli,br BRA,GK,27.0,0.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Pablo Dyego,br BRA,"MF,FW",26.0,0.4,1,2.31,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Werley,br BRA,"DF,FW",32.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,26.5,38.0,712,18.74,512,55,52,40,43,10,52,1.37,35,2,7,3,4,1,
Opponent Total,,,26.8,38.0,948,24.95,702,94,42,55,38,17,61,1.61,45,3,6,4,3,0,
