Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Fernando Miguel,br BRA,GK,35.0,36.4,1088,906,1078,11,0,0,1088,0,0,,0,,466,2907,2140,0,0,0,2,0,279,0,Matches
Eder,br BRA,DF,25.0,33.5,1862,340,1030,807,34,18,1862,7,6,85.7,1,14.3,1175,6060,3956,18,6,0,8,2,1320,2,Matches
Willian Maranhão,br BRA,MF,25.0,30.7,1645,109,456,1024,178,15,1645,21,18,85.7,3,14.3,934,5058,2490,36,17,3,20,22,1099,22,Matches
Luis Eduardo Marques dos Santos,br BRA,DF,23.0,25.1,1649,91,600,686,382,26,1649,46,24,52.2,22,47.8,909,4540,2432,46,28,6,32,13,953,129,Matches
Zé Roberto,br BRA,FW,27.0,23.1,851,30,76,402,381,83,850,65,38,58.5,27,41.5,487,2431,916,27,29,6,70,48,658,136,Matches
Janderson,br BRA,"FW,MF",21.0,25.6,1126,20,181,368,604,68,1126,136,54,39.7,82,60.3,738,5388,2742,91,45,29,89,34,758,227,Matches
Igor Cariús,br BRA,DF,27.0,22.1,1357,107,537,568,261,20,1357,13,8,61.5,5,38.5,638,3312,1653,27,18,3,26,10,675,51,Matches
Marlon Freitas,br BRA,MF,25.0,24.7,1678,36,342,1074,284,21,1676,10,7,70.0,3,30.0,999,5066,2671,37,28,1,23,8,1234,35,Matches
João Paulo Alves,br BRA,"MF,FW",30.0,22.1,1192,14,150,517,548,35,1191,64,43,67.2,21,32.8,711,3508,1530,34,48,6,55,35,866,133,Matches
André Luis,br BRA,"FW,MF",23.0,19.8,723,14,118,297,322,72,723,62,30,48.4,32,51.6,408,2232,1050,34,18,19,58,31,529,111,Matches
Wanderson,br BRA,DF,29.0,19.2,1102,229,644,441,23,10,1102,4,3,75.0,1,25.0,631,3719,2288,16,7,2,6,0,736,2,Matches
Gabriel Baralhas,br BRA,MF,22.0,19.1,1124,52,282,655,193,15,1124,15,5,33.3,10,66.7,580,2322,974,9,19,0,11,10,730,32,Matches
