Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2021-04-20,19:15,Sudamericana,Group stage,Tue,Home,D,0,0,ar Newell's OB,,,69,,Fernando Miguel,4-2-3-1,3-4-3,Gustavo Tejera,Match Report,
2021-04-29,20:30,Sudamericana,Group stage,Thu,Away,W,1,0,cl Palestino,,,44,,Fernando Miguel,4-2-3-1,4-2-3-1,Augusto Menéndez,Match Report,
2021-05-06,18:15,Sudamericana,Group stage,Thu,Away,W,2,1,py Libertad,,,48,,Fernando Miguel,4-2-3-1,4-4-2,Gery Vargas,Match Report,
2021-05-12,21:30,Sudamericana,Group stage,Wed,Home,D,0,0,cl Palestino,,,42,,Fernando Miguel,4-2-3-1,4-2-3-1,Carlos Orbe,Match Report,
2021-05-19,19:15,Sudamericana,Group stage,Wed,Home,D,0,0,py Libertad,,,58,,Fernando Miguel,4-2-3-1,4-4-2,Guillermo Guerrero,Match Report,
2021-05-25,19:15,Sudamericana,Group stage,Tue,Away,D,1,1,ar Newell's OB,,,37,,Fernando Miguel,4-2-3-1,4-4-2,Nicolás Gallo,Match Report,
2021-05-30,18:15,Série A,Matchweek 1,Sun,Away,W,1,0,Corinthians,0.4,1.6,40,,Fernando Miguel,4-2-3-1,4-2-3-1,Felipe Fernandes de Lima,Match Report,
2021-06-05,19:00,Série A,Matchweek 2,Sat,Home,W,2,0,São Paulo,1.2,0.9,39,,Fernando Miguel,4-2-3-1,3-5-2,Diego Pombo Lopez,Match Report,
2021-06-17,19:00,Série A,Matchweek 4,Thu,Home,D,0,0,Fortaleza,0.6,0.2,55,,Fernando Miguel,4-2-3-1,3-4-1-2,Douglas Schwengber da Silva,Match Report,
2021-06-20,18:15,Série A,Matchweek 5,Sun,Away,L,1,2,Ath Paranaense,1.1,1.4,50,,Fernando Miguel,4-2-3-1,3-4-3,Felipe Fernandes de Lima,Match Report,
2021-06-23,19:00,Série A,Matchweek 6,Wed,Home,W,1,0,Fluminense,1.5,0.4,49,,Fernando Miguel,4-2-3-1,4-2-3-1,Paulo Cesar Zanovelli da Silva,Match Report,
2021-06-28,20:00,Série A,Matchweek 7,Mon,Home,L,0,1,RB Bragantino,1.5,1.0,43,,Fernando Miguel,4-2-3-1,4-2-3-1,Ramon Abatti Abel,Match Report,
2021-07-01,19:00,Série A,Matchweek 8,Thu,Away,L,1,4,Atlético Mineiro,0.8,2.2,53,,Fernando Miguel,4-2-3-1,4-3-3,Flavio Rodrigues De Souza,Match Report,
2021-07-04,20:30,Série A,Matchweek 9,Sun,Away,W,1,0,Grêmio,1.0,1.6,38,,Fernando Miguel,4-2-3-1,4-2-3-1,Marielson Alves Silva,Match Report,
2021-07-07,19:15,Série A,Matchweek 10,Wed,Home,D,1,1,Sport Recife,0.5,1.3,56,,Fernando Miguel,4-3-3,4-2-3-1,Leo Simão Holanda,Match Report,
2021-07-11,11:00,Série A,Matchweek 11,Sun,Away,D,1,1,Juventude,0.7,1.6,49,,Fernando Miguel,4-2-3-1,4-1-2-1-2,Wagner do Nascimento Magalhaes,Match Report,
2021-07-18,16:00,Série A,Matchweek 12,Sun,Home,L,0,3,Palmeiras,0.8,1.6,58,,Fernando Miguel,4-2-3-1,4-2-3-1,Denis Ribeiro Serafim,Match Report,
2021-07-21,18:00,Série A,Matchweek 3,Wed,Away,L,1,2,Cuiabá,0.4,2.9,44,,Fernando Miguel,4-2-3-1,4-4-2,Dyorgines José Padovani Andrade,Match Report,
2021-07-25,18:15,Série A,Matchweek 13,Sun,Away,W,1,0,Santos,1.9,2.4,26,,Fernando Miguel,4-2-3-1,4-2-3-1,Leandro Pedro Vuaden,Match Report,
2021-08-01,20:30,Série A,Matchweek 14,Sun,Home,D,1,1,América (MG),0.8,1.8,52,,Eder,4-2-3-1,3-4-3,Douglas Marques das Flores,Match Report,
2021-08-08,18:15,Série A,Matchweek 15,Sun,Away,D,0,0,Ceará,0.4,1.2,59,,Fernando Miguel,4-2-3-1,4-2-3-1,Rafael Traci,Match Report,
2021-08-15,18:15,Série A,Matchweek 16,Sun,Away,W,2,1,Bahia,1.1,1.2,46,,Fernando Miguel,4-2-3-1,4-4-2,Ricardo Marques Ribeiro,Match Report,
2021-08-21,17:00,Série A,Matchweek 17,Sat,Home,D,1,1,Chapecoense,1.9,1.2,69,,Fernando Miguel,4-4-2,4-2-3-1,Adriano Barros Carneiro,Match Report,
2021-08-29,18:15,Série A,Matchweek 18,Sun,Home,D,0,0,Internacional,0.9,0.5,51,,Fernando Miguel,4-4-2,4-2-3-1,Marielson Alves Silva,Match Report,
2021-09-12,18:15,Série A,Matchweek 20,Sun,Home,D,1,1,Corinthians,0.9,0.6,51,,Fernando Miguel,4-4-2,4-5-1,Antonio Dib Moraes de Sousa,Match Report,
2021-09-19,16:00,Série A,Matchweek 21,Sun,Away,L,1,2,São Paulo,1.3,2.0,48,,Fernando Miguel,4-4-2,4-3-3,Caio Max Augusto Vieira,Match Report,
2021-09-26,20:30,Série A,Matchweek 22,Sun,Home,D,0,0,Cuiabá,1.5,0.5,56,,Fernando Miguel,4-2-3-1,4-4-2,Marielson Alves Silva,Match Report,
2021-10-02,17:00,Série A,Matchweek 23,Sat,Away,W,3,0,Fortaleza,0.5,1.0,33,,Fernando Miguel,4-2-3-1,3-4-1-2,Alisson Sidnei Furtado,Match Report,
2021-10-06,19:00,Série A,Matchweek 24,Wed,Home,L,0,2,Ath Paranaense,0.7,1.2,60,1500.0,Fernando Miguel,4-2-3-1,3-4-3,Wagner do Nascimento Magalhaes,Match Report,
