Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Wellington Rato,br BRA,"FW,MF",29.0,36,33,2782.0,30.9,8.0,3.0,11.0,8.0,0.0,0.0,3.0,0.0,7.4,7.4,3.9,11.3,68.0,142.0,185.0,0.26,0.1,0.36,0.26,0.36,0.24,0.13,0.37,0.24,0.37,Matches
Marlon Freitas,br BRA,MF,26.0,36,27,2475.0,27.5,4.0,3.0,7.0,3.0,1.0,2.0,2.0,0.0,3.3,1.8,2.8,4.5,55.0,274.0,72.0,0.15,0.11,0.25,0.11,0.22,0.12,0.1,0.22,0.06,0.17,Matches
Wanderson,br BRA,DF,30.0,28,27,2446.0,27.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.3,1.1,2.0,57.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches
Jefferson,br BRA,DF,25.0,33,27,2276.0,25.3,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.6,0.5,2.4,2.9,52.0,125.0,102.0,0.04,0.08,0.12,0.04,0.12,0.02,0.09,0.12,0.02,0.12,Matches
Gabriel Baralhas,br BRA,MF,23.0,30,26,2161.0,24.0,4.0,2.0,6.0,4.0,0.0,0.0,12.0,0.0,3.4,3.4,1.4,4.9,26.0,121.0,27.0,0.17,0.08,0.25,0.17,0.25,0.14,0.06,0.2,0.14,0.2,Matches
Diego Churín,ar ARG,FW,32.0,36,25,2387.0,26.5,7.0,1.0,8.0,6.0,1.0,1.0,6.0,0.0,6.3,5.5,1.2,6.7,12.0,44.0,109.0,0.26,0.04,0.3,0.23,0.26,0.24,0.04,0.28,0.21,0.25,Matches
Luiz Fernando,br BRA,"FW,MF",25.0,29,23,1742.0,19.4,2.0,4.0,6.0,2.0,0.0,0.0,7.0,2.0,4.2,4.2,2.0,6.2,60.0,45.0,137.0,0.1,0.21,0.31,0.1,0.31,0.22,0.1,0.32,0.22,0.32,Matches
Airton,br BRA,FW,22.0,33,22,1738.0,19.3,2.0,4.0,6.0,2.0,0.0,0.0,3.0,0.0,3.8,3.8,2.8,6.6,87.0,29.0,126.0,0.1,0.21,0.31,0.1,0.31,0.19,0.14,0.34,0.19,0.34,Matches
Luis Eduardo Marques dos Santos,br BRA,DF,24.0,22,20,1635.0,18.2,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,1.9,2.7,26.0,66.0,117.0,0.06,0.11,0.17,0.06,0.17,0.05,0.1,0.15,0.05,0.15,Matches
Jorginho,br BRA,MF,31.0,30,19,1639.0,18.2,3.0,0.0,3.0,3.0,0.0,0.0,8.0,0.0,4.0,4.0,3.5,7.6,49.0,141.0,93.0,0.16,0.0,0.16,0.16,0.16,0.22,0.19,0.42,0.22,0.42,Matches
Ronaldo,br BRA,GK,25.0,18,18,1620.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
