Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Adriano Martins,br BRA,DF,26.0,33.2,1419,1363,51,48,0,21,7,1,0,0,0,0,1190,5,10,Matches
Ronaldo,br BRA,GK,27.0,32.0,892,580,312,67,0,1,0,0,0,0,0,0,617,0,1,Matches
Guilherme Romão,br BRA,DF,26.0,30.7,1397,1099,292,12,0,0,66,280,0,0,0,0,1000,6,24,Matches
Gabriel Baralhas,br BRA,MF,25.0,27.2,1073,1027,39,28,2,26,12,10,0,0,0,0,884,7,23,Matches
Luiz Fernando,br BRA,"FW,MF",27.0,28.8,764,742,21,8,2,10,28,7,1,0,0,0,567,1,33,Matches
Rhaldney,br BRA,MF,25.0,24.0,1142,1100,41,27,2,13,9,11,1,0,0,0,1016,1,18,Matches
Shaylon,br BRA,"FW,MF",26.0,24.1,1134,967,157,66,4,5,132,9,65,32,28,0,853,10,20,Matches
Alix Vinicius,br BRA,DF,24.0,22.7,890,842,45,41,0,8,1,3,0,0,0,0,752,3,6,Matches
Alejo Cruz,uy URU,"FW,MF",23.0,24.0,1086,884,197,53,4,3,181,63,81,29,37,4,756,5,38,Matches
Maguinho,br BRA,DF,31.0,17.3,870,695,174,7,0,1,60,167,0,0,0,0,631,1,19,Matches
Bruno Tubarão,br BRA,DF,28.0,17.6,942,820,121,6,0,1,70,115,0,0,0,0,730,1,27,Matches
Budiga Roni,br BRA,"MF,DF",24.0,16.1,726,693,30,9,0,9,8,19,0,0,0,0,610,3,12,Matches
Emiliano Rodríguez,uy URU,FW,20.0,12.2,224,208,14,0,0,0,7,0,0,0,0,0,141,2,9,Matches
Lucas Kal,br BRA,"MF,DF",27.0,12.8,571,551,20,13,1,12,7,3,0,0,0,0,462,0,6,Matches
Derek,br BRA,FW,26.0,11.0,158,134,24,2,2,0,4,0,0,0,0,0,119,0,10,Matches
Luiz Felipe,br BRA,DF,30.0,12.1,451,424,27,25,0,1,1,1,0,0,0,0,373,0,6,Matches
Gonzalo Freitas,uy URU,MF,32.0,9.1,296,289,7,4,0,4,1,3,0,0,0,0,238,0,9,Matches
Janderson,br BRA,"FW,MF",24.0,10.7,362,315,47,14,0,4,79,13,20,4,14,0,244,0,14,Matches
Jan Carlos Hurtado,ve VEN,FW,23.0,9.6,160,137,23,0,1,0,1,0,0,0,0,0,126,0,5,Matches
Pedrão,br BRA,DF,31.0,6.5,324,315,9,8,0,3,0,0,0,0,0,0,277,0,0,Matches
Joel Campbell,cr CRC,"MF,FW",31.0,6.2,291,277,14,3,2,6,16,4,3,0,3,0,233,0,11,Matches
Pedro Rangel,br BRA,GK,23.0,6.0,195,140,54,11,0,0,0,0,0,0,0,0,141,1,0,Matches
Matías Lacava,ve VEN,"FW,MF",21.0,5.3,163,156,7,0,1,0,26,2,5,2,0,0,116,0,10,Matches
Vágner Love,br BRA,"FW,MF",39.0,2.0,36,34,2,0,0,0,2,1,0,0,0,0,28,0,3,Matches
Yony González,co COL,"FW,MF",29.0,3.0,80,76,4,0,0,1,14,1,0,0,0,0,53,0,3,Matches
Yeferson Rodallega,co COL,DF,23.0,1.2,54,42,12,1,0,0,4,11,0,0,0,0,38,0,0,Matches
Philipe Sampaio,br BRA,DF,29.0,1.0,77,77,0,0,0,1,1,0,0,0,0,0,70,0,0,Matches
Gabriel Barros,br BRA,"FW,MF",22.0,0.9,24,23,1,0,0,1,2,1,0,0,0,0,18,0,1,Matches
Luiz Gustavo,br BRA,"DF,MF",20.0,0.8,45,41,4,4,0,0,1,0,0,0,0,0,33,0,1,Matches
Dé Marcão,br BRA,DF,22.0,0.8,20,18,1,1,0,0,0,0,0,0,0,0,8,1,1,Matches
Max,br BRA,"FW,MF",21.0,2.9,93,91,2,0,0,0,11,0,0,0,0,0,71,0,5,Matches
Danielzinho,br BRA,"MF,FW",28.0,1.1,112,106,6,1,0,0,6,2,2,1,0,0,92,0,1,Matches
Jorginho,br BRA,"MF,FW",33.0,0.8,25,22,2,0,0,0,2,1,1,0,0,0,17,1,0,Matches
Rafael Haller,uy URU,DF,23.0,0.6,26,21,5,0,0,0,3,5,0,0,0,0,16,0,1,Matches
Mateo Zuleta,co COL,"FW,MF",21.0,0.5,32,32,0,0,0,0,3,0,0,0,0,0,25,0,0,Matches
Jean Carlos Alves Ferreira,br BRA,"FW,MF",18.0,0.4,19,16,3,0,0,0,1,3,0,0,0,0,15,0,0,Matches
Gustavo Campanharo,br BRA,MF,31.0,0.3,33,32,1,1,0,0,0,0,0,0,0,0,31,0,1,Matches
Eli,br BRA,FW,19.0,0.2,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches
Randerson,br BRA,MF,19.0,0.2,13,13,0,0,0,0,0,0,0,0,0,0,9,0,1,Matches
Pedro Paranhos,br BRA,"FW,MF",17.0,0.1,7,7,0,0,0,0,1,0,0,0,0,0,7,0,0,Matches
Squad Total,,,26.5,38.0,16234,14417,1769,460,21,131,767,736,179,68,82,4,12615,48,329,
Opponent Total,,,27.6,38.0,18146,16374,1734,488,44,146,690,665,202,71,76,3,14543,38,339,
