Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Adriano Martins,br BRA,DF,26.0,34,34,2990.0,33.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.4,1.4,0.1,1.5,24.0,106.0,9.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Ronaldo,br BRA,GK,27.0,32,32,2879.0,32.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01,Matches
Guilherme Romão,br BRA,DF,26.0,32,32,2766.0,30.7,1.0,3.0,4.0,1.0,0.0,0.0,5.0,0.0,1.9,1.9,2.8,4.7,68.0,127.0,127.0,0.03,0.1,0.13,0.03,0.13,0.06,0.09,0.15,0.06,0.15,Matches
Gabriel Baralhas,br BRA,MF,25.0,33,31,2452.0,27.2,1.0,3.0,4.0,1.0,0.0,0.0,9.0,0.0,2.4,2.4,2.4,4.8,22.0,121.0,59.0,0.04,0.11,0.15,0.04,0.15,0.09,0.09,0.17,0.09,0.17,Matches
Luiz Fernando,br BRA,"FW,MF",27.0,31,30,2591.0,28.8,8.0,0.0,8.0,8.0,0.0,0.0,10.0,1.0,5.7,5.7,1.3,7.0,79.0,78.0,230.0,0.28,0.0,0.28,0.28,0.28,0.2,0.05,0.24,0.2,0.24,Matches
Rhaldney,br BRA,MF,25.0,32,28,2157.0,24.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,1.1,1.1,1.0,2.1,40.0,132.0,74.0,0.0,0.04,0.04,0.0,0.04,0.05,0.04,0.09,0.05,0.09,Matches
Shaylon,br BRA,"FW,MF",26.0,35,25,2167.0,24.1,2.0,2.0,4.0,1.0,1.0,2.0,3.0,0.0,4.1,2.6,5.7,8.2,36.0,129.0,95.0,0.08,0.08,0.17,0.04,0.12,0.17,0.24,0.41,0.11,0.34,Matches
Alix Vinicius,br BRA,DF,24.0,25,24,2042.0,22.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.3,1.3,0.7,2.0,11.0,69.0,10.0,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.09,0.06,0.09,Matches
Alejo Cruz,uy URU,"FW,MF",23.0,36,22,2156.0,24.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,0.0,2.4,1.7,3.7,5.3,69.0,115.0,151.0,0.08,0.08,0.17,0.04,0.13,0.1,0.15,0.25,0.07,0.22,Matches
Maguinho,br BRA,DF,31.0,24,19,1559.0,17.3,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.7,0.7,1.2,1.8,29.0,52.0,80.0,0.0,0.06,0.06,0.0,0.06,0.04,0.07,0.11,0.04,0.11,Matches
Bruno Tubarão,br BRA,DF,28.0,23,17,1586.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.4,0.4,1.2,1.6,49.0,107.0,64.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09,Matches
Budiga Roni,br BRA,"MF,DF",24.0,22,16,1446.0,16.1,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.7,0.7,0.3,1.0,5.0,59.0,23.0,0.06,0.0,0.06,0.06,0.06,0.04,0.02,0.06,0.04,0.06,Matches
Emiliano Rodríguez,uy URU,FW,20.0,21,14,1096.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.8,2.8,0.5,3.4,10.0,13.0,64.0,0.0,0.0,0.0,0.0,0.0,0.23,0.04,0.27,0.23,0.27,Matches
Lucas Kal,br BRA,"MF,DF",27.0,17,13,1156.0,12.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.5,0.9,7.0,64.0,8.0,0.0,0.08,0.08,0.0,0.08,0.03,0.04,0.07,0.03,0.07,Matches
Derek,br BRA,FW,26.0,25,11,986.0,11.0,3.0,1.0,4.0,3.0,0.0,1.0,1.0,1.0,3.8,2.8,1.9,4.7,20.0,17.0,53.0,0.27,0.09,0.37,0.27,0.37,0.34,0.17,0.51,0.26,0.43,Matches
Luiz Felipe,br BRA,DF,30.0,16,10,1090.0,12.1,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.9,0.9,0.0,0.9,2.0,20.0,1.0,0.08,0.0,0.08,0.08,0.08,0.08,0.0,0.08,0.08,0.08,Matches
Gonzalo Freitas,uy URU,MF,32.0,15,10,820.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.5,0.5,0.2,0.7,2.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,Matches
Janderson,br BRA,"FW,MF",24.0,20,9,962.0,10.7,3.0,0.0,3.0,3.0,0.0,0.0,4.0,1.0,2.5,2.5,1.0,3.5,35.0,43.0,116.0,0.28,0.0,0.28,0.28,0.28,0.23,0.09,0.33,0.23,0.33,Matches
Jan Carlos Hurtado,ve VEN,FW,23.0,19,9,865.0,9.6,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,1.7,1.7,0.6,2.3,9.0,15.0,41.0,0.21,0.0,0.21,0.21,0.21,0.18,0.06,0.24,0.18,0.24,Matches
Pedrão,br BRA,DF,31.0,12,7,587.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.1,0.3,2.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches
Joel Campbell,cr CRC,"MF,FW",31.0,10,6,558.0,6.2,2.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,1.8,1.0,0.5,1.5,23.0,54.0,41.0,0.32,0.0,0.32,0.16,0.16,0.29,0.08,0.37,0.17,0.25,Matches
