Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Victor Leandro Bagy,br BRA,GK,32.0,38,3420.0,90.0,100.0,38.0,38,90.0,38.0,0,,0,1.82,65.0,47.0,18.0,0.47,,Matches
Rafael Carioca,br BRA,MF,25.0,36,3162.0,88.0,92.5,35.1,36,88.0,32.0,0,,0,1.89,61.0,43.0,18.0,0.51,0.51,Matches
Lucas Pratto,ar ARG,FW,26.0,36,3114.0,87.0,91.1,34.6,36,87.0,28.0,0,,0,1.86,61.0,41.0,20.0,0.58,1.17,Matches
Jemerson,br BRA,DF,22.0,35,3150.0,90.0,92.1,35.0,35,90.0,35.0,0,,0,1.86,61.0,41.0,20.0,0.57,1.24,Matches
Giovanni Augusto,br BRA,MF,25.0,35,2645.0,76.0,77.3,29.4,33,78.0,10.0,2,36.0,0,1.89,54.0,34.0,20.0,0.68,0.91,Matches
Leonardo Silva,br BRA,DF,35.0,32,2826.0,88.0,82.6,31.4,32,88.0,31.0,0,,0,1.84,52.0,32.0,20.0,0.64,0.94,Matches
Douglas Santos,br BRA,"DF,MF",20.0,31,2695.0,87.0,78.8,29.9,31,87.0,27.0,0,,0,1.9,52.0,35.0,17.0,0.57,0.44,Matches
Leandro Donizete,br BRA,MF,32.0,31,2416.0,78.0,70.6,26.8,27,85.0,20.0,4,30.0,3,1.97,41.0,30.0,11.0,0.41,-0.22,Matches
Luan,br BRA,"FW,MF",24.0,26,2017.0,78.0,59.0,22.4,24,82.0,13.0,2,30.0,0,1.62,39.0,26.0,13.0,0.58,0.26,Matches
Thiago Ribeiro,br BRA,FW,28.0,33,1945.0,59.0,56.9,21.6,24,73.0,5.0,9,23.0,3,1.94,43.0,22.0,21.0,0.97,1.15,Matches
Marcos Rocha,br BRA,DF,26.0,22,1892.0,86.0,55.3,21.0,22,86.0,19.0,0,,0,1.68,33.0,27.0,6.0,0.29,-0.42,Matches
Jesús Dátolo,ar ARG,MF,30.0,26,1880.0,72.0,55.0,20.9,22,82.0,13.0,4,21.0,1,1.58,32.0,28.0,4.0,0.19,-0.63,Matches
Patric Cabral Lalau,br BRA,"DF,MF",25.0,25,1675.0,67.0,49.0,18.6,18,86.0,13.0,7,17.0,3,1.84,34.0,28.0,6.0,0.32,-0.3,Matches
Carlos,br BRA,"FW,MF",19.0,21,773.0,37.0,22.6,8.6,8,59.0,1.0,13,23.0,7,1.71,17.0,13.0,4.0,0.47,-0.01,Matches
Edcarlos,br BRA,DF,29.0,8,679.0,85.0,19.9,7.5,7,90.0,7.0,1,48.0,25,1.63,13.0,14.0,-1.0,-0.13,-0.76,Matches
Maicosuel,br BRA,MF,28.0,12,628.0,52.0,18.4,7.0,6,84.0,3.0,6,21.0,1,2.17,13.0,7.0,6.0,0.86,0.47,Matches
Carlos César,br BRA,DF,27.0,7,390.0,56.0,11.4,4.3,4,85.0,3.0,3,17.0,29,2.29,7.0,3.0,4.0,0.92,0.51,Matches
