Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2015-02-18,21:00,Libertadores,Second stage,Wed,Away,L,0,2,cl Colo-Colo,,40000.0,,,,Mauro Vigliano,Match Report,
2015-02-25,19:45,Libertadores,Second stage,Wed,Home,L,0,1,mx Atlas,,19000.0,,4-2-3-1,4-4-1-1,Darío Ubríaco,Match Report,
2015-03-18,20:00,Libertadores,Second stage,Wed,Away,W,1,0,co Santa Fe,,,,,,Néstor Pitana,Match Report,
2015-04-09,21:45,Libertadores,Second stage,Thu,Home,W,2,0,co Santa Fe,,,,,,Andrés Cunha,Match Report,
2015-04-15,20:00,Libertadores,Second stage,Wed,Away,L,0,1,mx Atlas,,10000.0,,,,Patricio Loustau,Match Report,
2015-04-22,19:45,Libertadores,Second stage,Wed,Home,W,2,0,cl Colo-Colo,,21274.0,,4-2-3-1,3-5-1-1,Carlos Vera,Match Report,
2015-05-06,22:00,Libertadores,Round of 16,Wed,Home,D,2,2,br Internacional,,23000.0,,,,Wilmar Roldán,Match Report,Leg 1 of 2
2015-05-09,18:30,Série A,Matchweek 1,Sat,Away,D,2,2,Palmeiras,51.0,28781.0,,4-2-3-1,4-2-3-1,Felipe Gomes da Silva,Match Report,
2015-05-13,22:00,Libertadores,Round of 16,Wed,Away,L,1,3,br Internacional,,34000.0,,,,Julio Bascuñán,Match Report,Leg 2 of 2; Internacional won
2015-05-17,16:00,Série A,Matchweek 2,Sun,Home,W,4,1,Fluminense,53.0,11958.0,,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,
2015-05-24,16:00,Série A,Matchweek 3,Sun,Away,L,0,1,Ath Paranaense,64.0,13510.0,,4-2-3-1,4-2-3-1,Thiago Duarte Peixoto,Match Report,
2015-05-31,16:00,Série A,Matchweek 4,Sun,Home,W,3,0,Vasco da Gama,52.0,17958.0,,4-2-3-1,4-2-3-1,Alisson Sidnei Furtado,Match Report,
2015-06-03,22:00,Série A,Matchweek 5,Wed,Away,W,4,1,Avaí,55.0,7101.0,,4-2-3-1,4-4-1-1,Pablo Dos Santos Alves,Match Report,
2015-06-06,18:30,Série A,Matchweek 6,Sat,Home,L,1,3,Cruzeiro,64.0,20092.0,,4-2-3-1,4-2-3-1,Marcelo de Lima Henrique,Match Report,
2015-06-10,19:30,Série A,Matchweek 7,Wed,Home,D,2,2,Santos,61.0,10536.0,,4-2-3-1,4-2-3-1,Wilton Sampaio,Match Report,
2015-06-20,16:30,Série A,Matchweek 8,Sat,Away,W,2,0,Flamengo,46.0,42318.0,,4-1-4-1,4-2-3-1,Thiago Duarte Peixoto,Match Report,
2015-06-28,11:00,Série A,Matchweek 9,Sun,Home,W,1,0,Joinville,61.0,55987.0,,4-2-3-1,4-2-3-1,Emerson Luiz Sobral,Match Report,
2015-07-01,21:00,Série A,Matchweek 10,Wed,Home,W,2,0,Coritiba,59.0,13309.0,,4-2-3-1,4-2-2-2,Braulio da Silva Machado,Match Report,
2015-07-05,18:30,Série A,Matchweek 11,Sun,Away,W,3,1,Internacional,54.0,16812.0,,4-2-3-1,4-2-3-1,Raphael Claus,Match Report,
2015-07-08,22:00,Série A,Matchweek 12,Wed,Home,W,2,1,Sport Recife,53.0,50684.0,,4-2-3-1,4-2-3-1,Elmo Alves Resende Cunha,Match Report,
2015-07-11,21:00,Série A,Matchweek 13,Sat,Away,W,2,0,Ponte Preta,55.0,4733.0,,4-2-3-1,4-2-3-1,Rodolpho Toski Marques,Match Report,
2015-07-18,21:00,Série A,Matchweek 14,Sat,Away,L,0,1,Corinthians,55.0,36280.0,,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,
2015-07-25,21:00,Série A,Matchweek 15,Sat,Home,W,1,0,Figueirense,62.0,16056.0,,4-2-3-1,4-2-3-1,Luiz Flávio de Oliveira,Match Report,
2015-07-29,22:00,Série A,Matchweek 16,Wed,Home,W,3,1,São Paulo,49.0,47606.0,,4-3-2-1,3-4-1-2,Dewson Fernando Freitas da Silva,Match Report,
2015-08-09,16:00,Série A,Matchweek 17,Sun,Away,D,0,0,Goiás,62.0,7762.0,,4-2-3-1,4-2-2-2,Raphael Claus,Match Report,
2015-08-13,21:00,Série A,Matchweek 18,Thu,Home,L,0,2,Grêmio,59.0,49047.0,,4-2-3-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,
2015-08-16,18:30,Série A,Matchweek 19,Sun,Away,L,1,2,Chapecoense,62.0,8133.0,,4-2-3-1,4-3-2-1,Marcos Andre Gomes da Penha,Match Report,
