Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Victor Leandro Bagy,br BRA,GK,34.0,36.0,5,0,0,2,7,0,0,2,1,0,1,0,Matches
Fábio Santos,br BRA,DF,31.0,34.0,8,0,0,39,55,5,128,54,46,0,0,0,Matches
Elías,br BRA,MF,31.0,29.0,10,2,2,45,30,4,24,38,45,0,0,0,Matches
Fred,br BRA,FW,33.0,24.8,7,0,0,51,60,23,12,3,5,2,2,0,Matches
Gabriel,br BRA,DF,21.0,24.8,3,0,0,27,23,3,1,54,34,0,0,0,Matches
Robinho,br BRA,"FW,MF",33.0,22.7,9,0,0,31,34,25,51,7,20,0,0,0,Matches
Juan Cazares,ec ECU,MF,24.0,22.7,1,0,0,25,16,1,179,8,16,1,0,0,Matches
Marcos Rocha,br BRA,DF,28.0,21.0,6,0,0,39,32,1,70,59,57,0,2,0,Matches
Leonardo Silva,br BRA,DF,37.0,20.0,7,0,0,26,27,1,3,42,23,2,1,0,Matches
Adílson Warken,br BRA,MF,30.0,18.5,7,0,0,60,25,1,5,38,25,0,0,0,Matches
Valdívia,br BRA,MF,22.0,18.1,1,0,0,17,42,2,97,18,20,1,0,0,Matches
Rafael Carioca,br BRA,MF,27.0,16.7,6,0,0,17,29,0,13,20,24,0,0,0,Matches
Yago,br BRA,MF,21.0,15.8,4,0,0,26,9,0,19,20,37,0,0,0,Matches
Rómulo Otero,ve VEN,"FW,MF",24.0,15.7,8,0,0,34,56,2,107,15,27,0,0,0,Matches
Alex Silva,br BRA,DF,22.0,11.9,4,0,0,24,22,1,33,41,22,1,0,0,Matches
Felipe Santana,br BRA,DF,30.0,11.6,0,0,0,10,9,2,0,38,19,0,0,0,Matches
Rafael Moura,br BRA,FW,33.0,13.0,1,0,0,46,30,16,8,3,7,0,0,0,Matches
Gleison Bremer,br BRA,DF,19.0,11.2,4,0,0,34,9,0,2,31,12,1,1,0,Matches
Roger,br BRA,MF,31.0,7.5,2,0,0,17,14,1,0,13,13,0,0,0,Matches
Marlone,br BRA,MF,24.0,7.1,2,0,0,9,9,5,36,7,5,0,0,0,Matches
Luan,br BRA,"FW,MF",26.0,9.5,3,0,0,19,16,0,20,8,17,1,0,0,Matches
Matheus Mancini,br BRA,DF,22.0,5.5,3,0,0,11,3,0,0,11,3,0,1,0,Matches
Leonan,br BRA,DF,21.0,3.0,1,0,0,3,7,0,7,6,4,0,0,0,Matches
Gustavo Blanco,br BRA,MF,22.0,2.6,1,1,0,11,3,3,6,0,10,0,0,0,Matches
Frickson Erazo,ec ECU,DF,28.0,2.0,1,0,0,3,0,0,0,8,1,0,1,0,Matches
Pablo Diogo,br BRA,"DF,FW",24.0,1.4,0,0,0,3,0,1,0,1,2,0,0,0,Matches
Ralph,br BRA,DF,18.0,1.3,3,0,0,3,3,0,0,1,5,0,0,0,Matches
Danilo Barcelos,br BRA,"DF,MF",25.0,1.0,0,0,0,0,0,0,1,10,0,0,0,0,Matches
Carlos César,br BRA,DF,29.0,1.0,0,0,0,0,1,0,0,2,2,0,0,0,Matches
Jesiel,br BRA,DF,22.0,1.0,0,0,0,0,1,0,0,3,0,0,0,0,Matches
Giovanni Santos,br BRA,GK,29.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Cleiton Schwengber,br BRA,GK,19.0,1.0,1,0,0,0,2,0,0,0,0,0,0,0,Matches
Elder Santana,br BRA,FW,23.0,0.6,0,0,0,0,1,0,0,0,1,0,0,0,Matches
Rodrigão,br BRA,DF,21.0,0.6,0,0,0,1,0,0,0,0,0,0,0,0,Matches
Clayton,br BRA,"FW,MF",21.0,1.7,0,0,0,5,4,1,1,2,3,0,0,0,Matches
Maicosuel,br BRA,MF,30.0,1.3,0,0,0,1,5,0,3,1,1,0,0,0,Matches
Capixaba,br BRA,"FW,MF",20.0,0.3,0,0,0,1,1,0,0,0,0,0,0,0,Matches
Marquinhos,br BRA,MF,17.0,0.2,0,0,0,1,1,0,0,1,0,0,0,0,Matches
Thalis Cantanhede,br BRA,MF,20.0,0.1,0,0,0,1,1,0,2,0,0,0,0,0,Matches
Squad Total,,,28.6,38.0,108,3,2,642,587,98,828,565,507,9,9,0,
Opponent Total,,,26.6,38.0,101,4,3,630,598,81,812,634,474,8,11,0,
