Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 16_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
Victor Leandro Bagy,br BRA,GK,34.0,36.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Fábio Santos,br BRA,DF,31.0,34.0,5,20,8,40.0,0.59,0.24,0.0,0.0,,5,5,Matches
Elías,br BRA,MF,31.0,29.0,4,32,11,34.4,1.1,0.38,0.13,0.36,,0,0,Matches
Fred,br BRA,FW,33.0,24.8,12,57,25,43.9,2.3,1.01,0.21,0.48,,0,2,Matches
Gabriel,br BRA,DF,21.0,24.8,1,13,2,15.4,0.52,0.08,0.08,0.5,,0,0,Matches
Robinho,br BRA,"FW,MF",33.0,22.7,7,34,13,38.2,1.5,0.57,0.21,0.54,,0,0,Matches
Juan Cazares,ec ECU,MF,24.0,22.7,3,69,21,30.4,3.04,0.93,0.04,0.14,,0,1,Matches
Marcos Rocha,br BRA,DF,28.0,21.0,0,9,2,22.2,0.43,0.1,0.0,0.0,,0,0,Matches
Leonardo Silva,br BRA,DF,37.0,20.0,1,13,3,23.1,0.65,0.15,0.08,0.33,,0,0,Matches
Adílson Warken,br BRA,MF,30.0,18.5,0,6,0,0.0,0.32,0.0,0.0,,,0,0,Matches
Valdívia,br BRA,MF,22.0,18.1,2,49,20,40.8,2.7,1.1,0.04,0.1,,0,0,Matches
Rafael Carioca,br BRA,MF,27.0,16.7,0,6,1,16.7,0.36,0.06,0.0,0.0,,0,0,Matches
Yago,br BRA,MF,21.0,15.8,1,12,6,50.0,0.76,0.38,0.08,0.17,,0,0,Matches
Rómulo Otero,ve VEN,"FW,MF",24.0,15.7,8,71,23,32.4,4.51,1.46,0.11,0.35,,0,0,Matches
Alex Silva,br BRA,DF,22.0,11.9,0,4,1,25.0,0.34,0.08,0.0,0.0,,0,0,Matches
Felipe Santana,br BRA,DF,30.0,11.6,1,6,3,50.0,0.52,0.26,0.17,0.33,,0,0,Matches
Rafael Moura,br BRA,FW,33.0,13.0,4,45,16,35.6,3.46,1.23,0.09,0.25,,0,1,Matches
Gleison Bremer,br BRA,DF,19.0,11.2,0,6,2,33.3,0.53,0.18,0.0,0.0,,0,0,Matches
Roger,br BRA,MF,31.0,7.5,0,0,0,,0.0,0.0,,,,0,0,Matches
Marlone,br BRA,MF,24.0,7.1,2,16,4,25.0,2.25,0.56,0.13,0.5,,0,0,Matches
Luan,br BRA,"FW,MF",26.0,9.5,1,14,4,28.6,1.48,0.42,0.07,0.25,,0,0,Matches
Matheus Mancini,br BRA,DF,22.0,5.5,0,2,0,0.0,0.36,0.0,0.0,,,0,0,Matches
Leonan,br BRA,DF,21.0,3.0,0,1,0,0.0,0.33,0.0,0.0,,,0,0,Matches
Gustavo Blanco,br BRA,MF,22.0,2.6,0,1,1,100.0,0.38,0.38,0.0,0.0,,0,0,Matches
Frickson Erazo,ec ECU,DF,28.0,2.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Pablo Diogo,br BRA,"DF,FW",24.0,1.4,0,0,0,,0.0,0.0,,,,0,0,Matches
Ralph,br BRA,DF,18.0,1.3,0,1,0,0.0,0.8,0.0,0.0,,,0,0,Matches
Danilo Barcelos,br BRA,"DF,MF",25.0,1.0,0,1,1,100.0,1.0,1.0,0.0,0.0,,0,0,Matches
Carlos César,br BRA,DF,29.0,1.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Jesiel,br BRA,DF,22.0,1.0,0,3,1,33.3,3.0,1.0,0.0,0.0,,0,0,Matches
Giovanni Santos,br BRA,GK,29.0,1.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Cleiton Schwengber,br BRA,GK,19.0,1.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Elder Santana,br BRA,FW,23.0,0.6,0,1,0,0.0,1.55,0.0,0.0,,,0,0,Matches
Rodrigão,br BRA,DF,21.0,0.6,0,0,0,,0.0,0.0,,,,0,0,Matches
Clayton,br BRA,"FW,MF",21.0,1.7,0,2,0,0.0,1.19,0.0,0.0,,,0,0,Matches
Maicosuel,br BRA,MF,30.0,1.3,0,3,2,66.7,2.39,1.59,0.0,0.0,,0,0,Matches
Capixaba,br BRA,"FW,MF",20.0,0.3,0,1,0,0.0,3.75,0.0,0.0,,,0,0,Matches
Marquinhos,br BRA,MF,17.0,0.2,0,0,0,,0.0,0.0,,,,0,0,Matches
Thalis Cantanhede,br BRA,MF,20.0,0.1,0,0,0,,0.0,0.0,,,,0,0,Matches
Squad Total,,,28.6,38.0,52,498,170,34.1,13.11,4.47,0.09,0.28,,5,9,
Opponent Total,,,26.6,38.0,49,476,157,33.0,12.53,4.13,0.09,0.28,,5,9,
