Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Igor Rabello,br BRA,DF,23.0,32.5,1459,187,735,690,40,20,1459,8,7,87.5,1,12.5,773,3074,1750,10,4,1,3,2,873,9,Matches
Fábio Santos,br BRA,DF,33.0,29.8,1899,81,514,907,484,38,1896,18,9,50.0,9,50.0,917,3880,1998,28,37,1,23,10,1163,114,Matches
Réver,br BRA,"DF,MF",34.0,27.0,1486,235,730,678,85,34,1486,18,15,83.3,3,16.7,730,3302,1724,7,17,1,11,2,890,9,Matches
Cleiton Schwengber,br BRA,GK,21.0,25.0,734,574,719,15,0,0,734,1,1,100.0,0,0.0,354,2144,1722,0,0,0,0,0,173,0,Matches
Elías,br BRA,MF,33.0,22.4,1354,29,224,906,233,27,1354,13,5,38.5,8,61.5,794,2730,1255,12,15,4,26,15,1033,53,Matches
Luan,br BRA,"MF,FW",28.0,23.2,1599,45,206,867,556,68,1598,70,35,50.0,35,50.0,1044,5836,3351,91,91,10,35,39,1156,146,Matches
Patric Cabral Lalau,br BRA,DF,29.0,22.8,1537,87,377,652,523,61,1537,43,26,60.5,17,39.5,819,4106,2512,55,53,15,32,11,930,135,Matches
Juan Cazares,ec ECU,"MF,FW",26.0,19.4,1286,9,129,578,597,49,1285,54,32,59.3,22,40.7,850,4029,2139,64,48,15,36,28,953,136,Matches
Guga,br BRA,DF,20.0,17.2,1142,50,270,534,351,15,1142,17,8,47.1,9,52.9,564,2592,1533,32,32,2,20,8,613,96,Matches
Yimmi Chará,co COL,"FW,MF",27.0,15.0,856,8,104,418,345,69,856,45,27,60.0,18,40.0,584,3123,1607,49,32,19,21,19,706,130,Matches
Franco Di Santo,ar ARG,FW,29.0,16.1,424,23,42,178,213,59,422,14,8,57.1,6,42.9,216,1271,484,24,16,8,33,13,282,86,Matches
Ricardo Oliveira,br BRA,FW,38.0,12.9,325,12,30,139,160,54,324,10,6,60.0,4,40.0,184,829,329,13,8,6,24,9,238,63,Matches
José Welison,br BRA,MF,23.0,14.8,742,37,173,486,92,3,742,21,18,85.7,3,14.3,415,1923,923,7,14,1,22,6,443,8,Matches
