Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Igor Rabello,br BRA,DF,23.0,33,33,2922.0,32.5,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,0.6,1.7,10.0,60.0,9.0,0.0,0.03,0.03,0.0,0.03,0.03,0.02,0.05,0.03,0.05,Matches
Fábio Santos,br BRA,DF,33.0,30,29,2680.0,29.8,4.0,1.0,5.0,1.0,3.0,3.0,5.0,0.0,3.1,0.8,1.4,2.2,28.0,121.0,114.0,0.13,0.03,0.17,0.03,0.07,0.11,0.05,0.15,0.03,0.07,Matches
Réver,br BRA,"DF,MF",34.0,28,28,2429.0,27.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,2.0,2.0,1.2,3.1,7.0,71.0,9.0,0.04,0.04,0.07,0.04,0.07,0.07,0.04,0.12,0.07,0.12,Matches
Cleiton Schwengber,br BRA,GK,21.0,25,25,2250.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Elías,br BRA,MF,33.0,25,25,2015.0,22.4,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,1.3,1.3,1.6,2.9,12.0,122.0,53.0,0.04,0.04,0.09,0.04,0.09,0.06,0.07,0.13,0.06,0.13,Matches
Luan,br BRA,"MF,FW",28.0,28,24,2085.0,23.2,4.0,1.0,5.0,4.0,0.0,1.0,5.0,0.0,6.1,5.3,3.0,8.3,91.0,181.0,146.0,0.17,0.04,0.22,0.17,0.22,0.26,0.13,0.39,0.23,0.36,Matches
Patric Cabral Lalau,br BRA,DF,29.0,24,23,2048.0,22.8,1.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,1.4,1.4,3.5,4.9,55.0,99.0,135.0,0.04,0.09,0.13,0.04,0.13,0.06,0.15,0.22,0.06,0.22,Matches
Juan Cazares,ec ECU,"MF,FW",26.0,26,22,1750.0,19.4,6.0,1.0,7.0,5.0,1.0,1.0,3.0,1.0,4.9,4.1,7.3,11.4,64.0,145.0,136.0,0.31,0.05,0.36,0.26,0.31,0.25,0.38,0.63,0.21,0.59,Matches
Guga,br BRA,DF,20.0,18,18,1550.0,17.2,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.8,1.9,32.0,73.0,96.0,0.0,0.23,0.23,0.0,0.23,0.01,0.1,0.11,0.01,0.11,Matches
Yimmi Chará,co COL,"FW,MF",27.0,18,17,1352.0,15.0,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,4.3,4.3,2.9,7.2,49.0,69.0,130.0,0.2,0.07,0.27,0.2,0.27,0.28,0.19,0.48,0.28,0.48,Matches
Franco Di Santo,ar ARG,FW,29.0,21,16,1453.0,16.1,3.0,1.0,4.0,2.0,1.0,2.0,2.0,0.0,4.6,3.0,2.0,5.0,24.0,18.0,86.0,0.19,0.06,0.25,0.12,0.19,0.28,0.12,0.41,0.19,0.31,Matches
Ricardo Oliveira,br BRA,FW,38.0,21,15,1157.0,12.9,2.0,2.0,4.0,2.0,0.0,1.0,0.0,0.0,6.3,5.5,2.4,7.9,13.0,5.0,63.0,0.16,0.16,0.31,0.16,0.31,0.49,0.19,0.68,0.43,0.61,Matches
José Welison,br BRA,MF,23.0,18,14,1333.0,14.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,0.2,0.7,7.0,61.0,8.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.05,0.03,0.05,Matches
Leonardo Silva,br BRA,DF,39.0,18,14,1330.0,14.8,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.3,1.3,0.2,1.5,7.0,41.0,4.0,0.07,0.0,0.07,0.07,0.07,0.09,0.02,0.1,0.09,0.1,Matches
Rómulo Otero,ve VEN,"FW,MF",26.0,20,14,1272.0,14.1,3.0,1.0,4.0,3.0,0.0,0.0,6.0,0.0,5.3,5.3,3.2,8.5,57.0,46.0,93.0,0.21,0.07,0.28,0.21,0.28,0.38,0.23,0.6,0.38,0.6,Matches
Vinícius,br BRA,"MF,FW",27.0,24,13,1236.0,13.7,2.0,2.0,4.0,2.0,0.0,0.0,4.0,1.0,2.7,2.7,3.9,6.6,29.0,97.0,60.0,0.15,0.15,0.29,0.15,0.29,0.2,0.28,0.48,0.2,0.48,Matches
Nathan,br BRA,MF,22.0,20,12,1143.0,12.7,4.0,0.0,4.0,4.0,0.0,0.0,3.0,0.0,2.8,2.8,0.4,3.2,36.0,72.0,24.0,0.31,0.0,0.31,0.31,0.31,0.22,0.03,0.25,0.22,0.25,Matches
Victor Leandro Bagy,br BRA,GK,36.0,10,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jair,br BRA,MF,24.0,13,10,819.0,9.1,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.5,1.5,0.3,1.8,18.0,75.0,11.0,0.22,0.0,0.22,0.22,0.22,0.17,0.03,0.2,0.17,0.2,Matches
Geuvânio,br BRA,"FW,MF",26.0,25,9,1002.0,11.1,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,2.1,2.1,1.6,3.8,56.0,53.0,123.0,0.0,0.09,0.09,0.0,0.09,0.19,0.15,0.34,0.19,0.34,Matches
Ramón Martínez,py PAR,MF,23.0,10,8,654.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,9.0,23.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.02,Matches
Marquinhos,br BRA,"FW,MF",19.0,12,7,670.0,7.4,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.3,2.3,48.0,22.0,60.0,0.13,0.4,0.54,0.13,0.54,0.14,0.17,0.31,0.14,0.31,Matches
Iago Maidana,br BRA,DF,22.0,7,7,630.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.2,1.2,0.0,1.2,3.0,6.0,0.0,0.14,0.0,0.14,0.14,0.14,0.17,0.0,0.18,0.17,0.18,Matches
Alerrandro,br BRA,FW,19.0,10,6,559.0,6.2,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,3.3,3.3,0.6,3.9,3.0,9.0,43.0,0.32,0.16,0.48,0.32,0.48,0.53,0.1,0.63,0.53,0.63,Matches
Lucas Hernández,uy URU,DF,26.0,5,5,448.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.1,0.7,10.0,14.0,23.0,0.0,0.0,0.0,0.0,0.0,0.12,0.02,0.14,0.12,0.14,Matches
Adílson Warken,br BRA,MF,32.0,5,4,362.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.1,0.5,3.0,19.0,1.0,0.25,0.0,0.25,0.25,0.25,0.1,0.03,0.13,0.1,0.13,Matches
Bruninho,br BRA,"MF,FW",18.0,13,3,405.0,4.5,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.5,1.5,0.2,1.7,24.0,10.0,33.0,0.44,0.0,0.44,0.44,0.44,0.33,0.04,0.37,0.33,0.37,Matches
Wilson,br BRA,GK,35.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Maicon Marques,br BRA,"FW,MF",28.0,10,1,358.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,1.6,2.4,18.0,13.0,41.0,0.0,0.5,0.5,0.0,0.5,0.19,0.41,0.59,0.19,0.59,Matches
David Terans,uy URU,"MF,FW",24.0,4,1,144.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,4.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.13,0.05,0.18,0.13,0.18,Matches
Rafael Elias,br BRA,FW,19.0,5,1,129.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.17,0.17,Matches
Hulk,br BRA,DF,19.0,2,1,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches
Lucas Cândido,br BRA,MF,25.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Guilherme Carvalho,br BRA,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Clayton,br BRA,"FW,MF",23.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Fernando,br BRA,GK,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Léo Griggio,br BRA,DF,26.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Matheus Mancini,br BRA,DF,24.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Vitor Mendes,br BRA,DF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Michael,br BRA,GK,23.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Bruno Michel,br BRA,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Daniel Penha,br BRA,MF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Talison,br BRA,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,28.1,38,418,3420.0,38.0,44.0,26.0,70.0,39.0,5.0,8.0,72.0,5.0,59.5,53.3,41.2,94.5,720.0,1538.0,1525.0,1.16,0.68,1.84,1.03,1.71,1.57,1.08,2.65,1.4,2.49,
Opponent Total,,,27.2,38,418,3420.0,38.0,48.0,29.0,77.0,41.0,7.0,9.0,79.0,1.0,50.3,43.4,34.8,78.2,831.0,1612.0,1596.0,1.26,0.76,2.03,1.08,1.84,1.32,0.92,2.24,1.14,2.06,
