Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Éverson,br BRA,GK,30.0,37.0,909,1133,80.2,23194,16538,213,213,100.0,410,420,97.6,278,491,56.6,0,0.0,0.0,0.0,0,16,0,0,0,Matches
Hulk,br BRA,FW,34.0,32.5,638,864,73.8,8964,1996,376,478,78.7,174,221,78.7,41,65,63.1,7,7.2,4.2,-0.2,56,59,33,5,99,Matches
Allan,br BRA,MF,23.0,29.8,1788,2038,87.7,33625,10560,712,763,93.3,852,921,92.5,206,307,67.1,0,0.4,1.1,-0.4,11,226,14,1,201,Matches
Federico Zaracho,ar ARG,"MF,FW",22.0,26.8,893,1040,85.9,13776,3175,502,557,90.1,301,334,90.1,59,76,77.6,2,1.8,2.1,0.2,24,79,8,2,96,Matches
Nathan Silva,br BRA,DF,23.0,28.0,1530,1718,89.1,28941,10699,510,545,93.6,871,950,91.7,137,185,74.1,1,0.1,0.3,0.9,4,78,1,0,80,Matches
Guilherme Arana,br BRA,DF,23.0,25.4,1291,1570,82.2,20561,7391,681,755,90.2,497,583,85.2,86,156,55.1,5,3.6,4.2,1.4,35,124,45,16,168,Matches
Júnior Alonso,py PAR,DF,27.0,22.0,1275,1450,87.9,23696,8579,470,503,93.4,668,741,90.1,120,173,69.4,0,0.8,0.6,-0.8,9,93,0,0,102,Matches
Tchê Tchê,br BRA,MF,28.0,21.8,1081,1180,91.6,17523,4289,562,580,96.9,422,449,94.0,72,103,69.9,1,0.7,0.7,0.3,17,107,5,1,101,Matches
Ignacio Fernández,ar ARG,MF,31.0,20.1,999,1261,79.2,15893,5295,531,595,89.2,367,446,82.3,70,154,45.5,5,4.9,5.1,0.1,56,131,35,6,167,Matches
Guga,br BRA,DF,22.0,19.5,844,1095,77.1,14568,5727,411,460,89.3,339,423,80.1,77,150,51.3,0,0.9,1.1,-0.9,23,68,18,3,89,Matches
Jair,br BRA,MF,26.0,17.3,748,867,86.3,12294,3520,363,404,89.9,305,326,93.6,61,90,67.8,1,1.1,1.6,-0.1,15,99,15,2,114,Matches
Mariano,br BRA,DF,34.0,17.8,895,1128,79.3,16183,6382,392,433,90.5,388,475,81.7,97,153,63.4,2,2.9,2.8,-0.9,27,85,32,11,109,Matches
Keno,br BRA,"FW,MF",31.0,15.9,337,533,63.2,5288,2034,185,241,76.8,125,179,69.8,21,65,32.3,5,3.2,2.8,1.8,20,45,30,5,73,Matches
Réver,br BRA,DF,36.0,15.2,938,1034,90.7,18662,7772,325,344,94.5,468,491,95.3,134,183,73.2,0,0.2,0.2,-0.2,4,40,0,0,31,Matches
Jefferson Savarino,ve VEN,FW,24.0,11.4,319,436,73.2,4574,1354,190,222,85.6,89,126,70.6,22,48,45.8,2,2.8,2.4,-0.8,20,24,12,5,34,Matches
