Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Éverson,br BRA,GK,31.0,37.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Allan,br BRA,MF,24.0,30.4,0,34,12,35.3,1.12,0.4,0.0,0.0,28.6,0,0,0,0.9,0.9,0.03,-0.9,-0.9,Matches
Júnior Alonso,py PAR,DF,28.0,28.9,0,12,1,8.3,0.42,0.03,0.0,0.0,18.2,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
Jair,br BRA,MF,27.0,23.0,1,26,8,30.8,1.13,0.35,0.04,0.13,17.3,0,0,0,2.4,2.4,0.09,-1.4,-1.4,Matches
Ignacio Fernández,ar ARG,MF,32.0,24.7,4,42,19,45.2,1.7,0.77,0.07,0.16,19.3,5,1,2,6.8,5.2,0.12,-2.8,-2.2,Matches
Hulk,br BRA,FW,35.0,23.2,12,90,24,26.7,3.88,1.03,0.11,0.42,23.7,31,2,2,9.1,7.5,0.08,2.9,2.5,Matches
Federico Zaracho,ar ARG,"MF,FW",23.0,20.9,2,42,9,21.4,2.01,0.43,0.05,0.22,14.9,0,0,0,3.9,3.9,0.1,-1.9,-1.9,Matches
Keno,br BRA,"FW,MF",32.0,20.6,4,52,15,28.8,2.52,0.73,0.08,0.27,17.6,0,0,0,5.8,5.8,0.12,-1.8,-1.8,Matches
Mariano,br BRA,DF,35.0,19.2,0,5,0,0.0,0.26,0.0,0.0,,23.2,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Guilherme Arana,br BRA,DF,24.0,19.1,0,41,6,14.6,2.14,0.31,0.0,0.0,22.3,1,0,0,1.6,1.6,0.04,-1.6,-1.6,Matches
Guga,br BRA,DF,23.0,18.6,0,14,1,7.1,0.75,0.05,0.0,0.0,26.1,1,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
Nathan Silva,br BRA,DF,24.0,19.2,0,10,1,10.0,0.52,0.05,0.0,0.0,7.1,0,0,0,1.3,1.3,0.13,-1.3,-1.3,Matches
Eduardo Sasha,br BRA,"FW,MF",29.0,14.3,3,39,13,33.3,2.72,0.91,0.08,0.23,15.6,0,0,0,4.2,4.2,0.11,-1.2,-1.2,Matches
Ademir Santos,br BRA,"FW,MF",26.0,16.6,2,39,13,33.3,2.35,0.78,0.05,0.15,17.1,0,0,0,3.4,3.4,0.09,-1.4,-1.4,Matches
Eduardo Vargas,cl CHI,FW,32.0,12.7,5,35,13,37.1,2.76,1.03,0.09,0.23,19.8,0,2,2,5.2,3.6,0.1,-0.2,-0.6,Matches
Jemerson,br BRA,DF,29.0,11.1,0,3,2,66.7,0.27,0.18,0.0,0.0,7.0,0,0,0,0.5,0.5,0.17,-0.5,-0.5,Matches
Rubens,br BRA,"DF,MF",20.0,13.7,1,21,5,23.8,1.54,0.37,0.05,0.2,22.8,0,0,0,0.9,0.9,0.04,0.1,0.1,Matches
Otávio,br BRA,MF,27.0,12.9,0,4,1,25.0,0.31,0.08,0.0,0.0,29.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Dodô,br BRA,DF,29.0,10.1,1,10,2,20.0,0.99,0.2,0.1,0.5,20.1,0,0,0,0.6,0.6,0.06,0.4,0.4,Matches
Réver,br BRA,DF,37.0,10.5,1,3,1,33.3,0.29,0.1,0.33,1.0,13.2,0,0,0,0.1,0.1,0.04,0.9,0.9,Matches
Cristian Pavón,ar ARG,"FW,MF",26.0,7.7,1,20,5,25.0,2.6,0.65,0.05,0.2,19.7,0,0,0,1.3,1.1,0.06,-0.3,-0.1,Matches
Igor Rabello,br BRA,DF,26.0,6.7,1,5,2,40.0,0.75,0.3,0.2,0.5,8.8,0,0,0,0.4,0.4,0.08,0.6,0.6,Matches
Calebe,br BRA,"MF,FW",21.0,2.9,0,5,2,40.0,1.7,0.68,0.0,0.0,19.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
Sávio,br BRA,"FW,MF",17.0,2.4,1,6,2,33.3,2.55,0.85,0.17,0.5,19.1,0,0,0,0.6,0.6,0.1,0.4,0.4,Matches
Guilherme Carvalho,br BRA,"MF,DF",22.0,1.6,0,1,0,0.0,0.64,0.0,0.0,,32.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Pedrinho,br BRA,"MF,FW",23.0,2.5,0,6,2,33.3,2.37,0.79,0.0,0.0,28.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Fábio,br BRA,"FW,MF",24.0,1.5,0,3,1,33.3,1.97,0.66,0.0,0.0,12.8,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
Diego Godín,uy URU,DF,35.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rafael Pires,br BRA,GK,32.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jefferson Savarino,ve VEN,FW,25.0,1.0,2,4,3,75.0,4.0,3.0,0.5,0.67,10.6,0,0,0,1.1,1.1,0.28,0.9,0.9,Matches
Alan Kardec,br BRA,"FW,MF",33.0,2.9,2,13,4,30.8,4.55,1.4,0.15,0.5,7.7,0,0,0,3.1,3.1,0.23,-1.1,-1.1,Matches
Yan Phillipe,br BRA,FW,17.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,28.7,38.0,43,585,167,28.5,15.39,4.39,0.06,0.23,19.6,39,5,6,54.1,49.4,0.09,-11.1,-11.4,
Opponent Total,,,27.3,38.0,37,352,114,32.4,9.26,3.0,0.09,0.27,20.1,23,6,7,33.7,28.2,0.08,3.3,2.8,
