Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Renzo Saravia,ar ARG,DF,30.0,25.5,83,49,50,23,10,45,90,50.0,45,33,9,24,25,108,53,0,Matches
Rodrigo Battaglia,ar ARG,"DF,MF",32.0,25.4,38,20,23,14,1,22,35,62.9,13,30,16,14,15,53,106,2,Matches
Gustavo Scarpa,br BRA,"DF,MF",30.0,24.9,40,26,16,19,5,21,34,61.8,13,12,4,8,14,54,37,1,Matches
Éverson,br BRA,GK,33.0,24.9,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,9,1,Matches
Bruno Fuchs,br BRA,DF,24.0,22.6,42,26,25,12,5,29,38,76.3,9,34,18,16,29,71,92,0,Matches
Paulinho,br BRA,"FW,MF",23.0,22.1,25,15,6,13,6,6,16,37.5,10,14,3,11,6,31,15,0,Matches
Otávio,br BRA,MF,29.0,21.3,57,30,25,28,4,22,44,50.0,22,31,12,19,22,79,30,0,Matches
Hulk,br BRA,"FW,MF",37.0,21.0,10,5,1,5,4,4,11,36.4,7,8,2,6,1,11,14,0,Matches
Fausto Vera,ar ARG,MF,23.0,18.4,35,16,14,16,5,19,40,47.5,21,19,9,10,13,48,28,0,Matches
Alan Franco,ec ECU,MF,25.0,18.1,29,17,11,13,5,14,21,66.7,7,11,1,10,25,54,16,0,Matches
Igor Gomes,br BRA,MF,24.0,14.7,16,12,9,5,2,6,14,42.9,8,20,0,20,9,25,9,0,Matches
Rubens,br BRA,"DF,FW",22.0,13.3,59,41,36,17,6,23,39,59.0,16,15,2,13,22,81,54,0,Matches
Guilherme Arana,br BRA,DF,26.0,14.5,21,15,11,6,4,10,20,50.0,10,13,3,10,18,39,18,0,Matches
Matheus Mendes,br BRA,GK,24.0,12.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,10,0,Matches
Júnior Alonso,py PAR,DF,30.0,11.6,18,10,9,9,0,10,20,50.0,10,6,5,1,14,32,41,0,Matches
Cadu,br BRA,"FW,DF",19.0,11.2,29,19,10,13,6,10,17,58.8,7,8,1,7,9,38,9,0,Matches
Deyverson,br BRA,FW,32.0,11.1,5,1,1,2,2,1,3,33.3,2,7,2,5,0,5,15,0,Matches
Bernard,br BRA,"MF,FW",31.0,10.0,20,11,8,10,2,10,23,43.5,13,7,2,5,3,23,9,0,Matches
Federico Zaracho,ar ARG,MF,25.0,9.7,22,13,9,9,4,9,28,32.1,19,11,1,10,13,35,5,0,Matches
Igor Rabello,br BRA,DF,28.0,10.7,20,11,8,12,0,11,17,64.7,6,14,8,6,15,35,63,0,Matches
Lyanco,br BRA,DF,26.0,10.2,15,11,7,8,0,8,11,72.7,3,16,9,7,18,33,40,1,Matches
Eduardo Vargas,cl CHI,"MF,FW",34.0,9.5,12,9,4,8,0,4,7,57.1,3,10,1,9,3,15,5,0,Matches
Brahian Palacios,co COL,"DF,MF",21.0,8.9,13,9,6,4,3,6,16,37.5,10,12,0,12,6,19,10,0,Matches
Alisson,br BRA,"DF,FW",18.0,9.9,16,13,7,2,7,6,14,42.9,8,6,0,6,5,21,5,0,Matches
Mariano,br BRA,DF,37.0,7.1,14,9,9,3,2,8,17,47.1,9,3,1,2,5,19,22,0,Matches
Paulo Vitor,br BRA,MF,19.0,5.9,22,9,9,11,2,12,21,57.1,9,10,0,10,2,24,14,0,Matches
Rômulo,br BRA,DF,20.0,5.5,14,9,8,5,1,8,12,66.7,4,8,3,5,9,23,24,0,Matches
Mauricio Lemos,uy URU,DF,28.0,4.2,3,2,1,2,0,1,4,25.0,3,5,3,2,4,7,15,0,Matches
Alan Kardec,br BRA,FW,35.0,4.6,4,3,2,0,2,2,2,100.0,0,3,1,2,1,5,8,0,Matches
Jemerson,br BRA,DF,31.0,2.3,2,1,1,1,0,2,2,100.0,0,4,3,1,5,7,4,0,Matches
Pedrinho,br BRA,"MF,DF",25.0,2.3,6,5,3,3,0,3,3,100.0,0,2,0,2,1,7,1,0,Matches
Gabriel Delfim,br BRA,GK,21.0,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Caio Maia,br BRA,FW,18.0,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Robert Conceição,br BRA,"MF,DF",20.0,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Isaac,br BRA,FW,19.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Vitinho,br BRA,MF,19.0,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Squad Total,,,28.1,38.0,691,418,330,273,88,333,621,53.6,288,372,119,253,312,1003,781,5,
Opponent Total,,,28.0,38.0,631,393,270,261,100,294,572,51.4,278,386,136,250,336,967,791,10,
