Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Renzo Saravia,ar ARG,DF,30.0,25.5,53,2.08,48,3,0,0,2,0,0,0.0,0,0,0,0,0,0,Matches
Rodrigo Battaglia,ar ARG,"DF,MF",32.0,25.4,21,0.83,18,0,1,1,1,0,3,0.12,3,0,0,0,0,0,Matches
Gustavo Scarpa,br BRA,"DF,MF",30.0,24.9,105,4.21,65,20,1,11,6,2,9,0.36,5,2,0,2,0,0,Matches
Éverson,br BRA,GK,33.0,24.9,2,0.08,1,1,0,0,0,0,1,0.04,0,1,0,0,0,0,Matches
Bruno Fuchs,br BRA,DF,24.0,22.6,36,1.6,33,0,1,1,0,1,3,0.13,3,0,0,0,0,0,Matches
Paulinho,br BRA,"FW,MF",23.0,22.1,89,4.02,72,2,6,5,4,0,3,0.14,2,0,0,0,1,0,Matches
Otávio,br BRA,MF,29.0,21.3,32,1.5,26,1,1,2,1,1,2,0.09,1,1,0,0,0,0,Matches
Hulk,br BRA,"FW,MF",37.0,21.0,83,3.95,38,10,6,13,15,1,14,0.67,5,1,2,5,1,0,Matches
Fausto Vera,ar ARG,MF,23.0,18.4,32,1.74,23,0,3,6,0,0,1,0.05,1,0,0,0,0,0,Matches
Alan Franco,ec ECU,MF,25.0,18.1,36,1.99,32,1,0,2,0,1,1,0.06,1,0,0,0,0,0,Matches
Igor Gomes,br BRA,MF,24.0,14.7,49,3.34,42,3,1,0,3,0,5,0.34,4,0,0,0,1,0,Matches
Rubens,br BRA,"DF,FW",22.0,13.3,37,2.79,30,0,4,1,1,1,4,0.3,3,0,0,1,0,0,Matches
Guilherme Arana,br BRA,DF,26.0,14.5,48,3.32,40,2,0,3,1,2,3,0.21,2,0,0,1,0,0,Matches
Matheus Mendes,br BRA,GK,24.0,12.1,1,0.08,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Júnior Alonso,py PAR,DF,30.0,11.6,18,1.55,17,0,1,0,0,0,1,0.09,1,0,0,0,0,0,Matches
Cadu,br BRA,"FW,DF",19.0,11.2,17,1.52,9,1,1,2,4,0,1,0.09,1,0,0,0,0,0,Matches
Deyverson,br BRA,FW,32.0,11.1,14,1.26,11,0,0,0,3,0,3,0.27,2,0,0,0,1,0,Matches
Bernard,br BRA,"MF,FW",31.0,10.0,40,4.0,34,3,3,0,0,0,1,0.1,1,0,0,0,0,0,Matches
Federico Zaracho,ar ARG,MF,25.0,9.7,28,2.89,20,2,1,2,3,0,1,0.1,0,0,0,0,1,0,Matches
Igor Rabello,br BRA,DF,28.0,10.7,9,0.84,8,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Lyanco,br BRA,DF,26.0,10.2,5,0.49,4,0,0,0,0,1,1,0.1,1,0,0,0,0,0,Matches
Eduardo Vargas,cl CHI,"MF,FW",34.0,9.5,38,4.02,27,0,3,1,7,0,8,0.85,3,0,0,0,5,0,Matches
Brahian Palacios,co COL,"DF,MF",21.0,8.9,29,3.26,19,1,4,2,3,0,7,0.79,4,0,0,1,2,0,Matches
Alisson,br BRA,"DF,FW",18.0,9.9,40,4.04,21,5,4,2,7,1,1,0.1,0,0,1,0,0,0,Matches
Mariano,br BRA,DF,37.0,7.1,15,2.12,14,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Paulo Vitor,br BRA,MF,19.0,5.9,11,1.87,11,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Rômulo,br BRA,DF,20.0,5.5,9,1.64,7,0,0,1,0,1,1,0.18,1,0,0,0,0,0,Matches
Mauricio Lemos,uy URU,DF,28.0,4.2,1,0.24,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Alan Kardec,br BRA,FW,35.0,4.6,10,2.2,7,0,0,2,1,0,0,0.0,0,0,0,0,0,0,Matches
Jemerson,br BRA,DF,31.0,2.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Pedrinho,br BRA,"MF,DF",25.0,2.3,12,5.22,11,0,0,0,1,0,2,0.87,1,0,0,0,1,0,Matches
Gabriel Delfim,br BRA,GK,21.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Caio Maia,br BRA,FW,18.0,0.3,5,16.67,2,0,1,1,1,0,0,0.0,0,0,0,0,0,0,Matches
Robert Conceição,br BRA,"MF,DF",20.0,0.2,6,24.55,5,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Isaac,br BRA,FW,19.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Vitinho,br BRA,MF,19.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,28.1,38.0,931,24.5,697,56,43,59,64,12,76,2.0,45,5,3,10,13,0,
Opponent Total,,,28.0,38.0,829,21.82,569,79,53,45,64,19,94,2.47,61,6,8,9,8,2,
