Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Betão,br BRA,DF,33.0,36,36,3240.0,36.0,1.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches
Alemão,br BRA,DF,26.0,34,34,2994.0,33.3,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches
Judson,br BRA,MF,23.0,33,33,2654.0,29.5,0.0,1.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches
Leandro Silva,br BRA,DF,28.0,32,30,2677.0,29.7,1.0,2.0,3.0,1.0,0.0,0.0,4.0,1.0,0.03,0.07,0.1,0.03,0.1,Matches
Douglas Friedrich,br BRA,GK,28.0,28,28,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pedro Castro,br BRA,MF,23.0,32,27,2510.0,27.9,3.0,2.0,5.0,3.0,0.0,0.0,4.0,0.0,0.11,0.07,0.18,0.11,0.18,Matches
Cappa,br BRA,"DF,MF",24.0,29,27,2454.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Junior Dutra,br BRA,"FW,MF",28.0,30,27,2358.0,26.2,9.0,2.0,11.0,6.0,3.0,3.0,4.0,0.0,0.34,0.08,0.42,0.23,0.31,Matches
Rômulo,br BRA,"FW,MF",21.0,34,24,2083.0,23.1,3.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches
Wellington Simião,br BRA,MF,29.0,32,21,1970.0,21.9,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches
Juan,br BRA,"DF,MF",34.0,22,20,1573.0,17.5,1.0,2.0,3.0,1.0,0.0,0.0,6.0,1.0,0.06,0.11,0.17,0.06,0.17,Matches
Diederrick Joel,cm CMR,FW,23.0,21,19,1494.0,16.6,3.0,0.0,3.0,3.0,0.0,0.0,4.0,1.0,0.18,0.0,0.18,0.18,0.18,Matches
Marquinhos,br BRA,MF,35.0,23,18,1401.0,15.6,4.0,0.0,4.0,2.0,2.0,2.0,1.0,1.0,0.26,0.0,0.26,0.13,0.13,Matches
Luan Scapolan,br BRA,MF,28.0,13,13,1064.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
João Paulo,br BRA,DF,26.0,13,11,987.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches
Maurício Kozlinski,br BRA,GK,25.0,10,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luan Pereira,ae UAE,MF,16.0,19,9,945.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Maicon Sisenando,br BRA,DF,35.0,9,7,626.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches
Willians Santana,br BRA,"FW,MF",28.0,20,4,637.0,7.1,0.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.42,0.42,0.0,0.42,Matches
Airton,br BRA,DF,26.0,5,4,370.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Maurinho,br BRA,FW,27.0,12,3,487.0,5.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.18,0.18,0.0,0.18,Matches
Diego Tavares,br BRA,FW,25.0,13,3,465.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
