Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Vladimir,br BRA,GK,29.0,33.5,947,855,946,1,0,0,947,1,1,100.0,0,0.0,365,1956,1349,0,0,0,0,0,271,1,Matches
Betão,br BRA,DF,35.0,27.7,1546,216,844,698,18,8,1546,17,13,76.5,4,23.5,702,3729,2336,14,3,1,11,4,906,2,Matches
Igor,br BRA,DF,26.0,27.5,1674,94,508,776,413,26,1674,45,31,68.9,14,31.1,748,4917,2611,65,38,4,27,16,932,118,Matches
Pedro Castro,br BRA,MF,25.0,25.6,1477,62,327,1003,173,19,1476,18,12,66.7,6,33.3,801,3953,1863,11,22,0,27,23,886,16,Matches
Richard Franco,py PAR,MF,26.0,25.3,1276,49,260,756,292,54,1276,61,39,63.9,22,36.1,728,4489,2403,60,45,10,62,36,799,72,Matches
Lourenço,br BRA,"DF,FW",21.0,23.4,1326,64,284,592,473,23,1326,63,35,55.6,28,44.4,629,3741,1863,49,43,6,53,38,675,131,Matches
Caio Paulista,br BRA,"MF,FW",20.0,22.4,1061,33,155,442,485,40,1061,141,93,66.0,48,34.0,685,5146,2482,85,61,24,92,43,739,195,Matches
João Paulo Alves,br BRA,"MF,FW",28.0,23.2,1399,9,133,767,516,44,1396,82,61,74.4,21,25.6,821,4332,1722,46,29,8,50,48,1023,144,Matches
Ricardo Thalheimer,br BRA,DF,26.0,19.3,1114,177,593,491,36,15,1114,10,9,90.0,1,10.0,530,2894,1967,15,5,0,8,3,678,1,Matches
Marquinhos,br BRA,DF,36.0,18.0,739,106,436,295,15,13,739,9,9,100.0,0,0.0,323,1968,1129,6,1,0,9,1,389,2,Matches
Leonardo Morais,br BRA,DF,27.0,14.5,973,41,250,442,296,13,973,64,35,54.7,29,45.3,411,2532,1437,45,30,3,25,10,480,88,Matches
Matheus Barbosa,br BRA,MF,24.0,12.0,615,25,119,409,96,14,615,9,8,88.9,1,11.1,295,1324,627,9,10,1,11,10,405,22,Matches
Jonathan Júnior,br BRA,FW,19.0,13.0,468,8,33,210,235,39,468,37,17,45.9,20,54.1,281,1960,773,30,26,10,53,22,326,84,Matches
Eduardo Kunde,br BRA,DF,21.0,11.3,575,68,282,285,10,3,575,3,2,66.7,1,33.3,299,1530,1036,12,2,0,4,3,340,2,Matches
Luanderson,br BRA,"MF,DF",29.0,10.5,542,41,159,363,24,1,542,11,9,81.8,2,18.2,261,1229,764,3,3,0,6,4,322,2,Matches
Brenner Marlos,br BRA,FW,24.0,10.3,250,13,22,134,96,23,249,4,3,75.0,1,25.0,129,539,150,5,5,0,14,9,194,38,Matches
Vinícius Araújo,br BRA,"FW,MF",25.0,11.1,326,6,37,140,155,34,326,12,5,41.7,7,58.3,190,857,320,11,5,2,27,13,232,84,Matches
Iury,br BRA,DF,26.0,7.5,550,35,133,285,138,2,550,11,7,63.6,4,36.4,253,1767,961,25,22,2,16,10,294,41,Matches
Wesley Soares,br BRA,"MF,DF",20.0,5.7,284,6,63,163,59,1,284,3,0,0.0,3,100.0,154,677,306,6,3,0,10,6,192,13,Matches
Julinho,br BRA,"MF,DF",32.0,5.8,322,17,71,170,93,4,322,14,11,78.6,3,21.4,156,988,599,13,11,0,0,4,181,15,Matches
Gegê,br BRA,MF,25.0,5.7,327,5,34,157,140,5,327,8,3,37.5,5,62.5,159,928,371,12,11,1,14,9,212,27,Matches
Paulinho Oliveira,br BRA,DF,30.0,5.7,310,22,83,150,81,2,310,8,6,75.0,2,25.0,142,777,424,5,9,0,8,2,158,22,Matches
Getúlio,br BRA,"FW,MF",21.0,5.4,121,4,18,47,57,18,121,4,0,0.0,4,100.0,59,306,153,7,4,2,9,4,67,30,Matches
Gustavo Ferrareis,br BRA,"FW,MF",23.0,4.7,230,2,19,94,121,13,230,10,7,70.0,3,30.0,135,842,429,14,9,2,8,13,169,48,Matches
Luan Pereira,ae UAE,"MF,FW",18.0,6.7,342,6,39,200,111,8,342,14,11,78.6,3,21.4,213,1189,655,15,21,1,11,14,253,30,Matches
Douglas dos Santos,br BRA,"MF,FW",36.0,5.6,398,1,17,232,152,7,398,6,5,83.3,1,16.7,192,939,474,8,7,0,8,9,311,19,Matches
Jonny Mosquera,co COL,MF,27.0,5.1,343,15,75,239,33,1,343,3,2,66.7,1,33.3,174,705,336,1,2,0,6,3,239,1,Matches
Lucas Frigeri,br BRA,GK,29.0,4.0,120,104,120,0,0,0,120,0,0,,0,,51,327,260,0,0,0,0,0,33,0,Matches
Igor Goularte,br BRA,"FW,MF",22.0,3.0,122,2,13,54,63,5,122,10,6,60.0,4,40.0,95,875,405,14,11,4,14,5,93,28,Matches
Ramon Pereira,br BRA,DF,19.0,3.0,152,7,47,76,32,0,152,3,1,33.3,2,66.7,72,432,174,5,1,0,3,2,85,6,Matches
Bruno Sávio,br BRA,"FW,MF",24.0,2.4,112,5,17,35,61,11,112,8,5,62.5,3,37.5,73,479,263,12,6,7,3,5,81,22,Matches
Zé Marcos,br BRA,DF,20.0,2.3,131,12,60,70,1,1,131,0,0,,0,,70,402,181,0,0,0,0,0,86,0,Matches
Daniel Amorim,br BRA,FW,29.0,3.8,116,7,9,45,63,18,116,4,3,75.0,1,25.0,78,388,111,3,3,0,11,11,93,29,Matches
Feliciano Brizuela,py PAR,FW,22.0,1.9,67,3,8,27,33,6,67,3,1,33.3,2,66.7,36,200,55,1,1,0,5,3,44,21,Matches
Alex Silva,br BRA,DF,24.0,1.0,61,1,12,33,16,4,61,3,1,33.3,2,66.7,24,143,92,3,0,0,2,0,28,5,Matches
Marcinho,br BRA,MF,19.0,0.9,39,4,10,27,2,0,39,0,0,,0,,19,97,50,0,0,0,0,1,23,0,Matches
Matheus Matias,br BRA,FW,20.0,0.7,18,0,1,12,7,2,18,1,1,100.0,0,0.0,13,57,36,2,1,1,3,2,16,5,Matches
Gabriel Lima,br BRA,"MF,FW",22.0,2.2,89,0,17,36,38,5,89,9,3,33.3,6,66.7,53,321,114,2,3,0,4,6,63,11,Matches
Matheus Lucas,br BRA,"FW,MF",20.0,1.3,36,1,4,17,16,3,36,1,0,0.0,1,100.0,19,90,53,1,2,0,3,2,26,9,Matches
André Moritz,br BRA,MF,32.0,1.2,110,1,4,75,32,1,110,1,0,0.0,1,100.0,64,377,181,3,4,0,0,2,84,4,Matches
Jones Carioca,br BRA,"FW,MF",30.0,0.6,49,0,4,15,31,4,49,10,7,70.0,3,30.0,34,295,122,6,1,2,3,5,36,11,Matches
Glédson,br BRA,GK,35.0,0.5,11,11,11,0,0,0,11,0,0,,0,,6,21,9,0,0,0,0,0,7,0,Matches
Squad Total,,,26.7,38.0,20768,2138,6277,10063,4713,490,20763,721,462,64.1,259,35.9,10542,60718,31646,624,460,91,620,401,12471,1399,
Opponent Total,,,27.3,38.0,23394,1954,6301,11602,5737,794,23387,635,379,59.7,256,40.3,13240,74488,39875,733,540,143,604,363,15186,1731,
