Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Raniele,br BRA,"MF,DF",25.0,31.3,60,1.92,34,0,7,3,14,2,7,0.22,3,0,1,0,3,0,Matches
Kevin,br BRA,DF,24.0,29.2,75,2.57,49,23,0,1,1,1,4,0.14,4,0,0,0,0,0,Matches
Bruno Silva,br BRA,MF,35.0,28.9,45,1.56,38,0,2,2,1,2,2,0.07,1,0,0,1,0,0,Matches
Guilherme Bissoli,br BRA,FW,24.0,27.1,45,1.66,35,0,1,5,4,0,2,0.07,0,0,0,1,1,0,Matches
Bruno Cortez,br BRA,DF,34.0,27.0,37,1.37,27,3,2,1,4,0,2,0.07,2,0,0,0,0,0,Matches
Eduardo,br BRA,MF,25.0,20.8,43,2.07,34,0,4,2,3,0,4,0.19,3,0,0,1,0,0,Matches
William Pottker,br BRA,"FW,MF",28.0,21.9,79,3.62,58,2,8,3,7,1,8,0.37,2,0,1,1,4,0,Matches
Vladimir,br BRA,GK,32.0,22.5,3,0.13,1,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Bressan,br BRA,DF,29.0,20.6,9,0.44,9,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Muriqui,br BRA,"FW,MF",35.0,14.3,30,2.09,26,0,0,0,4,0,4,0.28,2,0,0,0,2,0,Matches
Arthur Chaves,br BRA,DF,21.0,16.5,4,0.24,2,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Rafael Vaz,br BRA,DF,33.0,15.5,13,0.84,12,0,0,1,0,0,1,0.06,1,0,0,0,0,0,Matches
Natanael,br BRA,"DF,FW",31.0,13.4,22,1.64,13,6,2,0,0,1,4,0.3,3,1,0,0,0,0,Matches
Nonoca,br BRA,MF,23.0,11.5,28,2.43,21,0,3,1,3,0,1,0.09,1,0,0,0,0,0,Matches
Douglas Friedrich,br BRA,GK,33.0,10.4,1,0.1,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Renato,br BRA,"DF,MF",32.0,11.3,28,2.48,13,11,1,1,2,0,0,0.0,0,0,0,0,0,0,Matches
Morato,br BRA,"FW,MF",29.0,7.3,23,3.15,16,1,3,1,2,0,5,0.68,2,0,1,1,1,0,Matches
Jean Cléber,br BRA,MF,31.0,9.6,32,3.33,26,0,2,0,2,2,1,0.1,1,0,0,0,0,0,Matches
Jean Pyerre,br BRA,MF,23.0,8.4,43,5.12,38,2,0,3,0,0,5,0.6,4,0,0,1,0,0,Matches
Thales Oleques,br BRA,DF,27.0,6.2,12,1.94,10,2,0,0,0,0,1,0.16,0,1,0,0,0,0,Matches
Marcinho,br BRA,"FW,MF",26.0,5.8,25,4.32,19,3,1,0,1,1,0,0.0,0,0,0,0,0,0,Matches
Rodrigo Freitas,br BRA,DF,23.0,5.3,4,0.76,4,0,0,0,0,0,1,0.19,1,0,0,0,0,0,Matches
Glédson,br BRA,GK,38.0,5.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mateus Sarará,br BRA,MF,19.0,4.8,5,1.05,4,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Pablo Dyego,br BRA,FW,27.0,5.4,11,2.05,6,0,1,2,2,0,2,0.37,0,0,0,1,1,0,Matches
Paolo Guerrero,pe PER,FW,38.0,4.8,10,2.09,7,0,2,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Vitinho,br BRA,"FW,MF",21.0,4.0,11,2.73,6,0,2,0,3,0,0,0.0,0,0,0,0,0,0,Matches
Matheus Galdezani,br BRA,MF,29.0,3.2,8,2.47,7,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jonathan Copete,co COL,FW,34.0,3.1,7,2.26,5,0,1,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Felipe Silva Lipe,br BRA,DF,19.0,3.0,4,1.33,3,0,0,1,0,0,1,0.33,0,0,0,1,0,0,Matches
Wellington,br BRA,DF,26.0,3.0,2,0.67,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Rômulo,br BRA,"FW,MF",26.0,4.7,15,3.19,10,0,1,2,2,0,0,0.0,0,0,0,0,0,0,Matches
Vinícius Leite,br BRA,MF,28.0,1.5,4,2.59,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Dentinho,br BRA,"FW,MF",24.0,3.2,13,4.12,9,0,2,0,2,0,0,0.0,0,0,0,0,0,0,Matches
Raphael Rodrigues,br BRA,DF,23.0,1.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Diego Matos,br BRA,DF,25.0,1.2,1,0.86,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lucas Silva,br BRA,"FW,MF",24.0,1.2,3,2.45,1,0,0,1,1,0,0,0.0,0,0,0,0,0,0,Matches
Nathan,br BRA,"FW,MF",22.0,1.1,2,1.86,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Felipe Rocha,br BRA,FW,19.0,0.5,1,2.14,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Gaspar,br BRA,FW,19.0,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Andrey,br BRA,MF,19.0,0.3,1,3.1,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Gustavo Santos,br BRA,FW,19.0,0.2,1,4.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Matheus Ribeiro,br BRA,DF,28.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Vinícius Jaú,br BRA,MF,23.0,0.1,1,10.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Gabriel Kazu,br BRA,MF,22.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
