Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Raniele,br BRA,"MF,DF",25.0,31.3,9,0,0,38,87,0,13,39,33,3,0,0,139,71,56,55.9,Matches
Kevin,br BRA,DF,24.0,29.2,3,0,0,34,20,3,184,37,40,0,0,0,185,32,25,56.1,Matches
Bruno Silva,br BRA,MF,35.0,28.9,14,1,1,74,37,1,14,30,52,0,0,0,184,48,41,53.9,Matches
Guilherme Bissoli,br BRA,FW,24.0,27.1,6,0,0,52,28,12,15,13,14,1,0,0,59,37,73,33.6,Matches
Bruno Cortez,br BRA,DF,34.0,27.0,7,0,0,21,25,1,28,12,25,0,0,0,163,22,25,46.8,Matches
Eduardo,br BRA,MF,25.0,20.8,6,0,0,47,36,1,26,12,19,0,0,0,113,16,14,53.3,Matches
William Pottker,br BRA,"FW,MF",28.0,21.9,6,0,0,23,50,12,55,17,11,4,1,0,117,26,49,34.7,Matches
Vladimir,br BRA,GK,32.0,22.5,3,0,0,1,3,0,0,0,0,0,1,0,24,5,1,83.3,Matches
Bressan,br BRA,DF,29.0,20.6,5,0,0,25,9,0,0,22,7,0,1,0,92,31,37,45.6,Matches
Muriqui,br BRA,"FW,MF",35.0,14.3,2,0,0,15,30,6,12,10,6,1,0,0,44,12,21,36.4,Matches
Arthur Chaves,br BRA,DF,21.0,16.5,5,0,0,16,10,1,0,13,15,0,3,0,71,27,21,56.3,Matches
Rafael Vaz,br BRA,DF,33.0,15.5,2,0,0,8,6,0,8,12,9,0,1,0,65,32,18,64.0,Matches
Natanael,br BRA,"DF,FW",31.0,13.4,0,0,0,16,13,2,106,12,19,0,0,0,70,8,8,50.0,Matches
Nonoca,br BRA,MF,23.0,11.5,5,0,0,24,26,0,1,8,14,0,1,0,94,12,10,54.5,Matches
Douglas Friedrich,br BRA,GK,33.0,10.4,1,1,0,1,2,0,0,0,0,0,0,0,8,6,0,100.0,Matches
Renato,br BRA,"DF,MF",32.0,11.3,2,0,0,11,25,5,63,8,9,0,0,0,53,19,27,41.3,Matches
Morato,br BRA,"FW,MF",29.0,7.3,0,1,0,17,19,3,5,2,9,0,0,0,27,2,14,12.5,Matches
Jean Cléber,br BRA,MF,31.0,9.6,2,0,0,16,14,0,6,13,11,0,0,0,56,9,14,39.1,Matches
Jean Pyerre,br BRA,MF,23.0,8.4,2,0,0,4,13,1,26,7,4,0,0,0,51,7,7,50.0,Matches
Thales Oleques,br BRA,DF,27.0,6.2,1,0,0,1,0,0,21,4,6,0,0,0,25,6,8,42.9,Matches
Marcinho,br BRA,"FW,MF",26.0,5.8,1,0,0,13,11,1,14,1,9,0,1,0,18,3,9,25.0,Matches
Rodrigo Freitas,br BRA,DF,23.0,5.3,2,0,0,3,5,0,2,10,2,0,0,0,24,9,6,60.0,Matches
Glédson,br BRA,GK,38.0,5.0,2,0,0,0,3,0,0,0,0,0,0,0,4,0,1,0.0,Matches
Mateus Sarará,br BRA,MF,19.0,4.8,3,0,0,7,10,0,1,4,3,0,0,0,24,9,5,64.3,Matches
Pablo Dyego,br BRA,FW,27.0,5.4,1,0,0,8,13,0,7,6,7,0,0,0,20,3,14,17.6,Matches
Paolo Guerrero,pe PER,FW,38.0,4.8,2,0,0,11,8,2,2,1,0,0,0,0,18,19,22,46.3,Matches
Vitinho,br BRA,"FW,MF",21.0,4.0,2,0,0,7,19,1,1,1,1,0,0,0,10,6,7,46.2,Matches
Matheus Galdezani,br BRA,MF,29.0,3.2,3,0,0,10,4,0,4,6,8,0,0,0,16,1,5,16.7,Matches
Jonathan Copete,co COL,FW,34.0,3.1,1,0,0,7,4,2,6,3,2,0,0,0,17,8,8,50.0,Matches
Felipe Silva Lipe,br BRA,DF,19.0,3.0,0,0,0,0,0,0,0,9,5,0,0,0,8,2,3,40.0,Matches
Wellington,br BRA,DF,26.0,3.0,0,0,0,4,1,0,0,5,2,0,1,1,9,3,4,42.9,Matches
Rômulo,br BRA,"FW,MF",26.0,4.7,0,0,0,6,10,0,7,5,4,0,0,0,18,6,6,50.0,Matches
Vinícius Leite,br BRA,MF,28.0,1.5,0,0,0,1,2,0,5,6,2,0,0,0,10,0,6,0.0,Matches
Dentinho,br BRA,"FW,MF",24.0,3.2,4,0,0,6,11,0,7,3,3,1,0,0,16,2,6,25.0,Matches
Raphael Rodrigues,br BRA,DF,23.0,1.4,0,0,0,0,1,0,0,0,0,0,0,0,4,3,4,42.9,Matches
Diego Matos,br BRA,DF,25.0,1.2,2,1,1,2,0,0,2,2,3,0,0,0,7,2,1,66.7,Matches
Lucas Silva,br BRA,"FW,MF",24.0,1.2,0,0,0,1,5,0,3,2,0,0,0,0,7,0,0,,Matches
Nathan,br BRA,"FW,MF",22.0,1.1,0,0,0,1,0,0,0,0,3,0,0,0,6,5,6,45.5,Matches
Felipe Rocha,br BRA,FW,19.0,0.5,0,0,0,0,2,0,0,0,0,0,0,0,5,0,2,0.0,Matches
Gaspar,br BRA,FW,19.0,0.4,0,0,0,0,1,1,1,1,2,0,0,0,2,0,0,,Matches
Andrey,br BRA,MF,19.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Gustavo Santos,br BRA,FW,19.0,0.2,0,0,0,1,1,0,1,0,0,0,0,0,5,0,3,0.0,Matches
Matheus Ribeiro,br BRA,DF,28.0,0.2,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0.0,Matches
Vinícius Jaú,br BRA,MF,23.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
Gabriel Kazu,br BRA,MF,22.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Matches
Squad Total,,,28.7,38.0,104,4,2,533,564,55,646,337,360,10,10,1,1891,510,588,46.4,
Opponent Total,,,27.6,38.0,86,6,2,594,496,39,804,387,373,5,14,0,1947,588,510,53.6,
