Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Raniele,br BRA,"MF,DF",25.0,33,33,2817.0,31.3,2.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0,1.4,1.4,0.9,2.2,49.0,110.0,37.0,0.06,0.0,0.06,0.06,0.06,0.04,0.03,0.07,0.04,0.07,Matches
Kevin,br BRA,DF,24.0,32,32,2630.0,29.2,2.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,1.5,0.8,1.9,2.7,36.0,138.0,95.0,0.07,0.03,0.1,0.03,0.07,0.05,0.07,0.12,0.03,0.09,Matches
Bruno Silva,br BRA,MF,35.0,31,31,2603.0,28.9,0.0,1.0,1.0,0.0,0.0,0.0,14.0,1.0,1.6,1.6,0.9,2.5,22.0,117.0,61.0,0.0,0.03,0.03,0.0,0.03,0.06,0.03,0.09,0.06,0.09,Matches
Guilherme Bissoli,br BRA,FW,24.0,32,29,2443.0,27.1,14.0,0.0,14.0,5.0,9.0,9.0,6.0,0.0,11.6,4.5,1.0,5.5,17.0,39.0,145.0,0.52,0.0,0.52,0.18,0.18,0.43,0.04,0.47,0.17,0.2,Matches
Bruno Cortez,br BRA,DF,34.0,27,27,2430.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.4,0.4,0.9,1.3,68.0,115.0,78.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches
Eduardo,br BRA,MF,25.0,31,24,1871.0,20.8,1.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,2.3,2.3,2.1,4.3,40.0,124.0,75.0,0.05,0.1,0.14,0.05,0.14,0.11,0.1,0.21,0.11,0.21,Matches
William Pottker,br BRA,"FW,MF",28.0,27,23,1967.0,21.9,3.0,1.0,4.0,2.0,1.0,2.0,6.0,0.0,4.3,3.3,4.0,7.3,76.0,63.0,191.0,0.14,0.05,0.18,0.09,0.14,0.2,0.18,0.38,0.15,0.33,Matches
Vladimir,br BRA,GK,32.0,23,22,2025.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bressan,br BRA,DF,29.0,21,21,1851.0,20.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.6,0.6,0.1,0.6,10.0,46.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Muriqui,br BRA,"FW,MF",35.0,26,18,1289.0,14.3,4.0,0.0,4.0,2.0,2.0,2.0,2.0,0.0,4.8,3.2,0.7,3.9,23.0,53.0,101.0,0.28,0.0,0.28,0.14,0.14,0.33,0.05,0.38,0.22,0.27,Matches
Arthur Chaves,br BRA,DF,21.0,17,17,1485.0,16.5,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,0.1,1.1,6.0,20.0,0.0,0.06,0.0,0.06,0.06,0.06,0.06,0.01,0.07,0.06,0.07,Matches
Rafael Vaz,br BRA,DF,33.0,18,16,1398.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.3,0.9,6.0,56.0,3.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,Matches
Natanael,br BRA,"DF,FW",31.0,16,14,1207.0,13.4,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.8,2.7,27.0,26.0,74.0,0.07,0.22,0.3,0.07,0.3,0.07,0.13,0.2,0.07,0.2,Matches
Nonoca,br BRA,MF,23.0,21,12,1036.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.4,1.3,18.0,41.0,6.0,0.0,0.0,0.0,0.0,0.0,0.08,0.03,0.12,0.08,0.12,Matches
Douglas Friedrich,br BRA,GK,33.0,11,11,939.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Renato,br BRA,"DF,MF",32.0,16,10,1014.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.1,1.1,1.7,2.9,22.0,29.0,61.0,0.0,0.0,0.0,0.0,0.0,0.1,0.15,0.25,0.1,0.25,Matches
Morato,br BRA,"FW,MF",29.0,14,9,656.0,7.3,2.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,3.0,9.0,29.0,60.0,0.27,0.14,0.41,0.27,0.41,0.27,0.14,0.41,0.27,0.41,Matches
Jean Cléber,br BRA,MF,31.0,26,7,868.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,1.2,1.6,13.0,52.0,26.0,0.0,0.0,0.0,0.0,0.0,0.04,0.13,0.17,0.04,0.17,Matches
Jean Pyerre,br BRA,MF,23.0,23,6,757.0,8.4,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,0.3,1.1,13.0,86.0,34.0,0.12,0.0,0.12,0.12,0.12,0.1,0.03,0.13,0.1,0.13,Matches
Thales Oleques,br BRA,DF,27.0,9,6,558.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.4,9.0,19.0,18.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.07,0.01,0.07,Matches
Marcinho,br BRA,"FW,MF",26.0,15,5,521.0,5.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,1.4,2.5,16.0,25.0,53.0,0.17,0.0,0.17,0.17,0.17,0.18,0.25,0.43,0.18,0.43,Matches
Rodrigo Freitas,br BRA,DF,23.0,10,5,473.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.2,0.3,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches
Glédson,br BRA,GK,38.0,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mateus Sarará,br BRA,MF,19.0,8,5,429.0,4.8,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.1,0.1,0.0,0.1,4.0,29.0,1.0,0.21,0.0,0.21,0.21,0.21,0.01,0.0,0.02,0.01,0.02,Matches
Pablo Dyego,br BRA,FW,27.0,10,4,484.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.3,0.9,15.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,0.1,0.06,0.16,0.1,0.16,Matches
Paolo Guerrero,pe PER,FW,38.0,10,4,431.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.6,1.6,0.8,2.4,6.0,8.0,26.0,0.0,0.0,0.0,0.0,0.0,0.33,0.16,0.5,0.33,0.5,Matches
Vitinho,br BRA,"FW,MF",21.0,8,3,362.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.2,0.7,15.0,8.0,28.0,0.0,0.0,0.0,0.0,0.0,0.11,0.05,0.17,0.11,0.17,Matches
Matheus Galdezani,br BRA,MF,29.0,6,3,292.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.3,0.5,9.0,14.0,18.0,0.0,0.0,0.0,0.0,0.0,0.04,0.1,0.14,0.04,0.14,Matches
Jonathan Copete,co COL,FW,34.0,7,3,279.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.3,1.1,4.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.27,0.09,0.36,0.27,0.36,Matches
Felipe Silva Lipe,br BRA,DF,19.0,3,3,270.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.2,0.9,1.0,4.0,0.0,0.33,0.0,0.33,0.33,0.33,0.24,0.06,0.3,0.24,0.3,Matches
Wellington,br BRA,DF,26.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.3,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.09,0.08,0.09,Matches
Rômulo,br BRA,"FW,MF",26.0,13,2,423.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,1.2,6.0,18.0,28.0,0.0,0.0,0.0,0.0,0.0,0.22,0.04,0.26,0.22,0.26,Matches
Vinícius Leite,br BRA,MF,28.0,4,2,139.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,2.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.11,0.06,0.17,0.11,0.17,Matches
Dentinho,br BRA,"FW,MF",24.0,10,1,284.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.5,0.7,6.0,13.0,31.0,0.0,0.0,0.0,0.0,0.0,0.07,0.14,0.21,0.07,0.21,Matches
Raphael Rodrigues,br BRA,DF,23.0,3,1,126.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Diego Matos,br BRA,DF,25.0,3,1,105.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lucas Silva,br BRA,"FW,MF",24.0,6,0,110.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.07,0.06,0.07,Matches
Nathan,br BRA,"FW,MF",22.0,7,0,95.0,1.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,1.0,2.0,8.0,0.0,0.95,0.95,0.0,0.95,0.39,0.0,0.39,0.39,0.39,Matches
