Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2014-04-20,16:00,Série A,Matchweek 1,Sun,Home,L,1,2,Cruzeiro,,9348.0,,4-2-3-1,4-2-3-1,Luiz Flávio de Oliveira,Match Report,
2014-04-27,18:30,Série A,Matchweek 2,Sun,Away,W,2,0,Figueirense,,777.0,,4-2-3-1,4-3-2-1,Sandro Ricci,Match Report,
2014-05-04,16:00,Série A,Matchweek 3,Sun,Home,W,1,0,Botafogo (RJ),,16040.0,,4-2-3-1,4-2-2-2,Raphael Claus,Match Report,
2014-05-11,18:30,Série A,Matchweek 4,Sun,Home,D,1,1,Vitória,,21352.0,,4-3-2-1,4-3-3,Wilton Sampaio,Match Report,
2014-05-21,19:30,Série A,Matchweek 6,Wed,Away,D,1,1,Flamengo,,10924.0,,4-3-2-1,4-2-3-1,Gilberto Rodrigues Castro Junior,Match Report,
2014-05-24,18:30,Série A,Matchweek 7,Sat,Home,L,0,1,Fluminense,,1345.0,,4-3-2-1,4-2-3-1,Ricardo Marques Ribeiro,Match Report,
2014-05-29,21:00,Série A,Matchweek 8,Thu,Home,L,0,2,Santos,,16089.0,,4-2-3-1,4-2-3-1,Wagner Reway,Match Report,
2014-06-01,16:00,Série A,Matchweek 9,Sun,Away,L,1,2,Chapecoense,,7817.0,,4-3-2-1,4-2-2-2,Igor Junior Benevenuto,Match Report,
2014-06-04,21:00,Série A,Matchweek 5,Wed,Away,L,0,1,Sport Recife,,14177.0,,4-2-3-1,4-2-3-1,Marcelo Aparecido Ribeiro De Souza,Match Report,
2014-07-16,22:00,Série A,Matchweek 10,Wed,Home,L,0,2,São Paulo,,17482.0,,4-3-3,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,
2014-07-19,18:30,Série A,Matchweek 11,Sat,Away,D,1,1,Atlético Mineiro,,7558.0,,4-3-2-1,4-2-3-1,Vinicius Furlan,Match Report,
