Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Jean,br BRA,GK,21.0,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Eduardo,br BRA,DF,30.0,35,35,3089.0,34.3,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Tiago Pagnussat,br BRA,DF,26.0,35,35,3072.0,34.1,2.0,0.0,2.0,2.0,0.0,0.0,8.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches
Zé Rafael,br BRA,MF,23.0,36,35,2845.0,31.6,3.0,5.0,8.0,3.0,0.0,0.0,7.0,1.0,0.09,0.16,0.25,0.09,0.25,Matches
Renê Júnior,br BRA,MF,27.0,30,30,2640.0,29.3,4.0,0.0,4.0,4.0,0.0,0.0,9.0,1.0,0.14,0.0,0.14,0.14,0.14,Matches
Stiven Mendoza,co COL,"FW,MF",24.0,31,27,2408.0,26.8,8.0,3.0,11.0,6.0,2.0,2.0,4.0,0.0,0.3,0.11,0.41,0.22,0.34,Matches
Lucas Fonseca,br BRA,DF,31.0,26,26,2196.0,24.4,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.04,0.04,0.0,0.04,Matches
Edigar Junio,br BRA,FW,25.0,26,21,1911.0,21.2,12.0,1.0,13.0,9.0,3.0,4.0,2.0,0.0,0.57,0.05,0.61,0.42,0.47,Matches
Edson,br BRA,"DF,MF",25.0,21,19,1643.0,18.3,1.0,2.0,3.0,1.0,0.0,0.0,4.0,1.0,0.05,0.11,0.16,0.05,0.16,Matches
Agustín Allione,ar ARG,MF,22.0,26,19,1558.0,17.3,0.0,8.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,0.46,0.46,0.0,0.46,Matches
Matheus Reis,br BRA,"DF,MF",21.0,19,18,1619.0,18.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches
Juninho,br BRA,MF,30.0,28,17,1794.0,19.9,2.0,3.0,5.0,1.0,1.0,1.0,2.0,0.0,0.1,0.15,0.25,0.05,0.2,Matches
Vinícius,br BRA,"FW,MF",25.0,27,17,1308.0,14.5,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,0.21,0.07,0.28,0.21,0.28,Matches
Juninho Capixaba,br BRA,"DF,MF",19.0,17,16,1468.0,16.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Régis,br BRA,MF,24.0,29,15,1203.0,13.4,4.0,5.0,9.0,4.0,0.0,0.0,3.0,0.0,0.3,0.37,0.67,0.3,0.67,Matches
Rodrigão,br BRA,FW,23.0,14,12,1060.0,11.8,5.0,2.0,7.0,4.0,1.0,1.0,0.0,0.0,0.42,0.17,0.59,0.34,0.51,Matches
Matheus Sales,br BRA,MF,21.0,14,8,803.0,8.9,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.11,0.11,0.0,0.11,Matches
Thiago Martins,br BRA,DF,21.0,11,7,749.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Eder,br BRA,DF,21.0,9,5,547.0,6.1,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.16,0.0,0.16,0.16,0.16,Matches
Rodrigo Becão,br BRA,DF,21.0,8,4,484.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pablo Armero,co COL,"DF,MF",30.0,5,4,330.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
João Paulo,br BRA,FW,20.0,8,3,273.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.66,0.0,0.66,0.66,0.66,Matches
Gustavo,br BRA,FW,22.0,5,1,150.0,1.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.0,0.6,0.6,0.6,Matches
Hernane,br BRA,FW,30.0,5,1,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Feijão,br BRA,MF,22.0,4,1,96.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Diego Rosa,br BRA,MF,27.0,2,1,81.0,0.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,1.11,0.0,1.11,Matches
Everson,br BRA,DF,19.0,1,1,79.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Maikon Leite,br BRA,"FW,MF",28.0,3,1,77.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Régis,br BRA,DF,27.0,2,1,73.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gustavo Ferrareis,br BRA,"DF,FW",21.0,11,0,289.0,3.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.31,0.0,0.31,0.31,0.31,Matches
Júnior Brumado,br BRA,FW,17.0,3,0,64.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Douglas Santos DG,br BRA,FW,18.0,1,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Yuri,br BRA,MF,22.0,1,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Anderson,br BRA,GK,33.0,0,0,,,,,,,,,,,,,,,,Matches
Marco Antônio,br BRA,MF,19.0,0,0,,,,,,,,,,,,,,,,Matches
Matheus Peixoto,br BRA,FW,21.0,0,0,,,,,,,,,,,,,,,,Matches
Rafael Santos,br BRA,GK,27.0,0,0,,,,,,,,,,,,,,,,Matches
Wellington Silva,br BRA,DF,28.0,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,25.2,38,418,3420.0,38.0,49.0,34.0,83.0,42.0,7.0,8.0,93.0,6.0,1.29,0.89,2.18,1.11,2.0,
