Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Gregore,br BRA,MF,24.0,35,3109.0,89.0,90.9,34.5,35,89.0,32.0,0,,0,1.26,37.0,38.0,-1.0,-0.03,0.26,Matches
Lucas Fonseca,br BRA,DF,32.0,33,2925.0,89.0,85.5,32.5,33,89.0,32.0,0,,0,1.42,35.0,32.0,3.0,0.09,1.0,Matches
Zé Rafael,br BRA,MF,24.0,33,2814.0,85.0,82.3,31.3,33,85.0,21.0,0,,0,1.42,30.0,32.0,-2.0,-0.06,-0.06,Matches
Léo Pelé,br BRA,DF,21.0,32,2859.0,89.0,83.6,31.8,32,89.0,31.0,0,,1,1.19,30.0,37.0,-7.0,-0.22,-1.02,Matches
Elton,br BRA,MF,27.0,28,2334.0,83.0,68.2,25.9,27,86.0,23.0,1,13.0,4,1.21,25.0,28.0,-3.0,-0.12,-0.2,Matches
Douglas Friedrich,br BRA,GK,29.0,26,2185.0,84.0,63.9,24.3,26,84.0,22.0,0,,3,1.27,24.0,26.0,-2.0,-0.08,-0.08,Matches
Élber,br BRA,"FW,MF",25.0,29,1993.0,69.0,58.3,22.1,23,82.0,14.0,6,20.0,4,1.21,23.0,28.0,-5.0,-0.23,-0.41,Matches
Tiago Pagnussat,br BRA,DF,27.0,20,1759.0,88.0,51.4,19.5,20,88.0,18.0,0,,5,1.25,21.0,20.0,1.0,0.05,0.21,Matches
Vinícius,br BRA,"FW,MF",26.0,29,1752.0,60.0,51.2,19.5,20,77.0,3.0,9,24.0,6,1.03,16.0,25.0,-9.0,-0.46,-0.84,Matches
Edigar Junio,br BRA,FW,26.0,27,1731.0,64.0,50.6,19.2,20,79.0,7.0,7,21.0,4,1.33,21.0,19.0,2.0,0.1,0.32,Matches
Nino Paraíba,br BRA,DF,32.0,22,1712.0,78.0,50.1,19.0,19,86.0,17.0,3,25.0,6,1.09,13.0,25.0,-12.0,-0.63,-1.16,Matches
Gilberto,br BRA,FW,28.0,21,1528.0,73.0,44.7,17.0,18,81.0,9.0,3,23.0,0,1.38,18.0,11.0,7.0,0.41,0.84,Matches
Bruno Vieira,br BRA,DF,32.0,16,1259.0,79.0,36.8,14.0,15,80.0,7.0,1,64.0,4,1.5,17.0,10.0,7.0,0.5,0.88,Matches
Eric Ramires,br BRA,MF,17.0,15,1254.0,84.0,36.7,13.9,15,84.0,10.0,0,,1,1.53,16.0,12.0,4.0,0.29,0.54,Matches
Anderson,br BRA,GK,34.0,14,1128.0,81.0,33.0,12.5,12,90.0,12.0,2,23.0,19,1.29,14.0,11.0,3.0,0.24,0.44,Matches
Douglas Grolli,br BRA,DF,28.0,12,994.0,83.0,29.1,11.0,11,86.0,9.0,1,45.0,18,1.25,11.0,12.0,-1.0,-0.09,-0.05,Matches
Nílton,br BRA,MF,30.0,11,760.0,69.0,22.2,8.4,9,84.0,6.0,2,3.0,25,1.45,10.0,7.0,3.0,0.36,0.52,Matches
Flávio,br BRA,MF,21.0,19,863.0,45.0,25.2,9.6,8,91.0,8.0,11,12.0,17,1.55,10.0,6.0,4.0,0.42,0.63,Matches
Everson,br BRA,DF,20.0,10,633.0,63.0,18.5,7.0,6,91.0,6.0,4,23.0,11,0.9,6.0,12.0,-6.0,-0.85,-0.98,Matches
Paulinho,br BRA,"DF,MF",23.0,7,481.0,69.0,14.1,5.3,6,77.0,3.0,1,20.0,14,1.86,6.0,2.0,4.0,0.75,0.93,Matches
Marco Antônio,br BRA,MF,20.0,10,433.0,43.0,12.7,4.8,5,67.0,0.0,5,19.0,7,1.5,3.0,3.0,0.0,0.0,0.06,Matches
Jackson de Souza,br BRA,DF,27.0,6,421.0,70.0,12.3,4.7,5,81.0,3.0,1,18.0,10,1.67,5.0,3.0,2.0,0.43,0.55,Matches
Régis,br BRA,MF,25.0,18,582.0,32.0,17.0,6.5,4,81.0,2.0,14,19.0,2,1.17,8.0,10.0,-2.0,-0.31,-0.31,Matches
Júnior Brumado,br BRA,FW,18.0,14,443.0,32.0,13.0,4.9,4,70.0,0.0,10,17.0,16,1.07,3.0,8.0,-5.0,-1.02,-1.11,Matches
João Pedro,br BRA,DF,21.0,3,270.0,90.0,7.9,3.0,3,90.0,3.0,0,,4,1.33,5.0,4.0,1.0,0.33,0.42,Matches
Eugenio Mena,cl CHI,"DF,MF",29.0,5,243.0,49.0,7.1,2.7,2,91.0,2.0,3,20.0,9,1.6,5.0,4.0,1.0,0.37,0.46,Matches
