Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2020-02-12,21:30,Sudamericana,First stage,Wed,Home,W,3,0,py Nacional,,,52,,Lucas Fonseca,4-2-3-1,4-1-4-1,Roberto Tobar,Match Report,Leg 1 of 2
2020-02-26,19:15,Sudamericana,First stage,Wed,Away,W,3,1,py Nacional,,,54,,Lucas Fonseca,4-3-3,4-4-2,Patricio Loustau,Match Report,Leg 2 of 2; Bahia won
2020-08-12,20:30,Série A,Matchweek 2,Wed,Home,W,1,0,Coritiba,2.3,0.9,46,,Ernando,4-1-2-1-2◆,4-2-3-1,Flavio Rodrigues De Souza,Match Report,
2020-08-16,16:00,Série A,Matchweek 3,Sun,Home,W,2,1,RB Bragantino,1.2,1.5,43,,Ernando,4-2-3-1,4-1-4-1,Felipe Fernandes de Lima,Match Report,
2020-08-20,20:00,Série A,Matchweek 4,Thu,Away,D,1,1,São Paulo,1.8,2.2,32,,Ernando,4-2-3-1,4-2-3-1,Rodrigo Carvalhaes de Miranda,Match Report,
2020-08-23,20:00,Série A,Matchweek 5,Sun,Away,L,0,2,Ceará,0.8,2.0,61,,Ernando,4-2-3-1,4-2-3-1,Wagner do Nascimento Magalhaes,Match Report,
2020-08-29,19:00,Série A,Matchweek 6,Sat,Home,D,1,1,Palmeiras,0.4,1.5,49,,Lucas Fonseca,4-2-3-1,4-2-3-1,Bruno Arleu de Araujo,Match Report,
2020-09-02,20:30,Série A,Matchweek 7,Wed,Home,L,3,5,Flamengo,0.9,3.1,42,,Lucas Fonseca,4-2-3-1,4-2-3-1,Savio Pereira,Match Report,
2020-09-06,16:00,Série A,Matchweek 8,Sun,Away,D,2,2,Internacional,1.7,1.2,39,,Gilberto,4-1-2-1-2◆,4-3-1-2,Braulio da Silva Machado,Match Report,
2020-09-10,19:15,Série A,Matchweek 9,Thu,Home,L,0,2,Grêmio,1.2,2.0,50,,Gilberto,4-3-1-2,4-2-3-1,Jose Mendonca da Silva Junior,Match Report,
2020-09-13,18:00,Série A,Matchweek 10,Sun,Home,L,0,1,Atl Goianiense,0.4,0.9,53,,Gilberto,4-1-4-1,4-2-3-1,Vinicius Gomes do Amaral,Match Report,
2020-09-16,21:30,Série A,Matchweek 11,Wed,Away,L,2,3,Corinthians,2.6,1.7,66,,Gregore,4-2-3-1,4-2-3-1,Wagner do Nascimento Magalhaes,Match Report,
2020-09-26,19:00,Série A,Matchweek 12,Sat,Away,L,0,1,Ath Paranaense,1.3,1.1,45,,Gregore,4-4-2,4-3-3,Ricardo Marques Ribeiro,Match Report,
2020-09-30,21:30,Série A,Matchweek 1,Wed,Away,W,2,1,Botafogo (RJ),1.9,1.8,39,,Gregore,4-4-2,3-4-1-2,Savio Pereira,Match Report,
2020-10-04,18:15,Série A,Matchweek 13,Sun,Home,L,1,2,Sport Recife,3.3,1.0,59,,Gregore,4-4-2,4-2-3-1,Rafael Traci,Match Report,
2020-10-07,19:15,Série A,Matchweek 14,Wed,Home,W,3,0,Vasco da Gama,1.8,0.3,47,,Gregore,4-2-3-1,4-2-3-1,Jean Pierre Goncalves Lima,Match Report,
2020-10-11,16:00,Série A,Matchweek 15,Sun,Away,L,0,1,Fluminense,0.6,1.1,52,,Gregore,4-2-3-1,4-2-3-1,Jose Mendonca da Silva Junior,Match Report,
2020-10-16,20:00,Série A,Matchweek 16,Fri,Away,D,1,1,Goiás,1.3,1.2,51,,Gregore,4-2-3-1,4-2-3-1,Rodrigo Carvalhaes de Miranda,Match Report,
2020-10-19,20:00,Série A,Matchweek 17,Mon,Home,W,3,1,Atlético Mineiro,3.2,2.0,34,,Gregore,4-4-2,4-1-4-1,Anderson Daronco,Match Report,
2020-10-29,19:30,Sudamericana,Second stage,Thu,Away,L,0,1,pe Melgar,,,57,,Gregore,4-3-3,4-2-3-1,Carlos Betancourt,Match Report,Leg 1 of 2
2020-11-01,18:15,Série A,Matchweek 19,Sun,Away,L,1,3,Santos,2.0,1.1,45,,Gregore,4-2-3-1,4-3-3,Heber Roberto Lopes,Match Report,
2020-11-05,21:30,Sudamericana,Second stage,Thu,Home,W,4,0,pe Melgar,,,51,,Gregore,4-2-3-1,4-2-3-1,Cristián Garay,Match Report,Leg 2 of 2; Bahia won
2020-11-08,18:15,Série A,Matchweek 20,Sun,Home,W,1,0,Botafogo (RJ),1.6,0.5,58,,Gregore,4-2-3-1,4-3-3,Jefferson Ferreira de Moraes,Match Report,
2020-11-11,18:45,Série A,Matchweek 18,Wed,Home,W,2,1,Fortaleza,1.9,1.4,33,,Lucas Fonseca,4-2-3-1,4-4-2,Wagner do Nascimento Magalhaes,Match Report,
2020-11-16,18:00,Série A,Matchweek 21,Mon,Away,W,2,1,Coritiba,0.8,2.3,47,,Gregore,4-2-3-1,4-3-3,Igor Junior Benevenuto,Match Report,
2020-11-20,20:00,Série A,Matchweek 22,Fri,Away,L,0,4,RB Bragantino,0.5,1.7,48,,Gregore,4-2-3-1,4-4-2,Anderson Daronco,Match Report,
2020-11-24,19:15,Sudamericana,Round of 16,Tue,Home,W,1,0,ar Unión,,,47,,Gregore,4-2-3-1,3-4-3,Kevin Ortega,Match Report,Leg 1 of 2
2020-11-28,19:00,Série A,Matchweek 23,Sat,Home,L,1,3,São Paulo,1.1,1.8,38,,Gregore,4-3-3,4-4-2,Leandro Pedro Vuaden,Match Report,
2020-12-01,19:15,Sudamericana,Round of 16,Tue,Away,D,0,0,ar Unión,,,36,,Gregore,4-5-1,4-3-3,John J. Ospina,Match Report,Leg 2 of 2; Bahia won
2020-12-05,19:00,Série A,Matchweek 24,Sat,Home,L,0,2,Ceará,1.0,1.4,53,,Gregore,4-2-3-1,4-2-3-1,Jean Pierre Goncalves Lima,Match Report,
2020-12-09,19:15,Sudamericana,Quarter-finals,Wed,Home,L,2,3,ar Defensa y Just,,,53,,Juninho,4-2-3-1,3-4-3,Guillermo Guerrero,Match Report,Leg 1 of 2
2020-12-12,19:00,Série A,Matchweek 25,Sat,Away,L,0,3,Palmeiras,1.2,2.3,41,,Gregore,4-4-2,4-2-3-1,Rafael Traci,Match Report,
2020-12-16,19:15,Sudamericana,Quarter-finals,Wed,Away,L,0,1,ar Defensa y Just,,,49,,Gregore,4-2-3-1,3-4-3,Eber Aguino,Match Report,Leg 2 of 2; Defensa y Just won
2020-12-20,18:15,Série A,Matchweek 26,Sun,Away,L,3,4,Flamengo,1.1,2.9,52,,Gregore,4-1-4-1,4-4-2,Flavio Rodrigues De Souza,Match Report,
2020-12-27,16:00,Série A,Matchweek 27,Sun,Home,L,1,2,Internacional,1.1,3.4,51,,Gregore,4-2-3-1,4-1-4-1,Paulo Roberto Alves Júnior,Match Report,
2021-01-06,19:15,Série A,Matchweek 28,Wed,Away,L,1,2,Grêmio,1.3,0.6,52,,Gilberto,4-1-4-1,4-2-3-1,Ramon Abatti Abel,Match Report,
2021-01-10,18:15,Série A,Matchweek 29,Sun,Away,D,1,1,Atl Goianiense,1.7,0.9,57,,Gregore,4-1-4-1,4-2-3-1,Anderson Daronco,Match Report,
2021-01-20,18:00,Série A,Matchweek 31,Wed,Home,W,1,0,Ath Paranaense,1.6,0.6,41,,Gregore,4-2-3-1,4-2-3-1,Luiz Flávio de Oliveira,Match Report,
