Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Nino Paraíba,br BRA,DF,35.0,31.7,58,30,38,16,4,26,55,47.3,29,23,6,17,60,118,65,1,Matches
Luiz Otávio,br BRA,DF,28.0,29.7,25,18,23,2,0,14,22,63.6,8,36,25,11,20,45,167,0,Matches
Gilberto,br BRA,FW,31.0,28.3,10,6,4,5,1,5,26,19.2,21,16,5,11,6,16,30,0,Matches
Patrick de Lucca,br BRA,MF,20.0,27.5,53,38,29,18,6,23,64,35.9,41,29,7,22,31,84,51,0,Matches
Germán Conti,ar ARG,DF,26.0,27.2,20,14,17,2,1,11,23,47.8,12,32,26,6,59,79,135,0,Matches
Matheus Bahia,br BRA,DF,21.0,25.4,56,34,36,15,5,27,49,55.1,22,26,7,19,45,101,62,1,Matches
Danielzinho,br BRA,MF,25.0,23.8,36,18,17,17,2,22,55,40.0,33,13,4,9,11,47,8,0,Matches
Rodriguinho Marinho,br BRA,"FW,MF",32.0,21.0,16,5,3,5,8,4,30,13.3,26,10,0,10,10,26,4,0,Matches
Juninho Capixaba,br BRA,"DF,FW",23.0,21.0,43,23,27,11,5,21,44,47.7,23,25,6,19,38,81,32,1,Matches
Rossi,br BRA,"FW,MF",27.0,18.8,27,17,11,9,7,11,26,42.3,15,14,0,14,6,33,11,0,Matches
Lucas Mugni,ar ARG,"MF,FW",29.0,17.8,63,35,24,29,10,37,78,47.4,41,21,3,18,25,88,8,0,Matches
Danilo Fernandes,br BRA,GK,32.0,16.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,0,Matches
Matheus Teixeira,br BRA,GK,21.0,16.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,8,2,Matches
Raí Nascimento,br BRA,"FW,MF",22.0,12.2,14,10,4,6,4,5,19,26.3,14,13,2,11,11,25,4,0,Matches
Thaciano,br BRA,"MF,FW",25.0,7.8,9,6,4,5,0,2,6,33.3,4,5,3,2,12,21,7,0,Matches
Juninho,br BRA,DF,25.0,9.0,7,3,4,2,1,5,7,71.4,2,10,3,7,13,20,44,0,Matches
Jonas,br BRA,MF,29.0,6.2,20,11,8,9,3,5,13,38.5,8,10,4,6,15,35,16,0,Matches
Hugo Rodallega,co COL,FW,35.0,10.1,1,0,0,0,1,0,6,0.0,6,9,4,5,1,2,7,0,Matches
Renan Guedes,br BRA,DF,23.0,6.4,22,14,12,10,0,14,20,70.0,6,6,3,3,9,31,15,0,Matches
Mateus Claus,br BRA,GK,26.0,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Thonny Anderson,br BRA,"MF,FW",23.0,5.2,8,6,5,3,0,3,12,25.0,9,12,2,10,2,10,11,0,Matches
Edson,br BRA,MF,22.0,5.2,7,6,2,4,1,3,9,33.3,6,3,3,0,12,19,7,0,Matches
Lucas Araujo,br BRA,MF,21.0,5.1,6,4,3,3,0,1,4,25.0,3,6,1,5,15,21,10,0,Matches
Maycon Douglas,br BRA,"FW,MF",24.0,6.5,9,5,3,5,1,2,10,20.0,8,6,1,5,3,12,0,0,Matches
Óscar Ruiz,py PAR,"FW,MF",29.0,5.5,3,0,2,0,1,0,2,0.0,2,4,0,4,5,8,5,0,Matches
Gustavo Henrique,br BRA,DF,21.0,4.2,4,2,3,1,0,1,3,33.3,2,3,3,0,12,16,19,0,Matches
Ligger,br BRA,DF,32.0,3.0,0,0,0,0,0,0,0,,0,3,2,1,2,2,15,0,Matches
Lucas Fonseca,br BRA,DF,35.0,2.9,0,0,0,0,0,0,4,0.0,4,6,4,2,3,3,10,0,Matches
Eugenio Isnaldo,ar ARG,"MF,FW",27.0,2.8,8,6,2,3,3,3,5,60.0,2,2,0,2,6,14,3,0,Matches
Matheus Galdezani,br BRA,MF,28.0,3.5,6,5,1,4,1,1,9,11.1,8,6,2,4,9,15,2,0,Matches
Ronaldo Cesar,br BRA,"FW,MF",20.0,4.0,13,8,8,4,1,7,12,58.3,5,1,0,1,1,14,7,0,Matches
Raniele,br BRA,MF,24.0,3.2,14,12,4,10,0,5,10,50.0,5,3,2,1,8,22,10,0,Matches
Luizão,br BRA,MF,22.0,1.2,1,1,1,0,0,1,3,33.3,2,4,2,2,1,2,2,0,Matches
Juan Pablo Ramírez,co COL,"MF,FW",23.0,0.7,1,0,1,0,0,0,2,0.0,2,0,0,0,1,2,0,0,Matches
Pablo Roberto,br BRA,"FW,MF",21.0,0.5,1,0,0,1,0,0,3,0.0,3,0,0,0,1,2,0,0,Matches
Raí Soares,br BRA,MF,19.0,0.4,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,Matches
Douglas Borel,br BRA,"DF,MF",18.0,0.3,0,0,0,0,0,0,0,,0,3,0,3,1,1,0,0,Matches
Alesson,br BRA,MF,21.0,0.2,2,1,1,1,0,0,0,,0,0,0,0,0,2,0,0,Matches
Squad Total,,,27.2,38.0,563,338,297,200,66,259,631,41.0,372,362,130,232,454,1017,784,5,
Opponent Total,,,27.1,38.0,538,324,251,209,78,226,529,42.7,303,374,113,261,391,929,749,7,
