Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Nino Paraíba,br BRA,DF,35.0,31.7,1511,1193,317,36,1,14,165,275,6,0,6,0,1087,1,47,Matches
Luiz Otávio,br BRA,DF,28.0,29.7,1240,1191,48,41,1,21,0,2,0,0,0,0,986,1,4,Matches
Gilberto,br BRA,FW,31.0,28.3,568,493,72,4,1,2,27,12,0,0,0,0,406,3,15,Matches
Patrick de Lucca,br BRA,MF,20.0,27.5,1495,1425,69,61,2,5,15,8,0,0,0,0,1251,1,15,Matches
Germán Conti,ar ARG,DF,26.0,27.2,1210,1163,44,35,0,7,0,9,0,0,0,0,1013,3,4,Matches
Matheus Bahia,br BRA,DF,21.0,25.4,1206,980,226,18,2,6,70,203,5,1,0,0,920,0,27,Matches
Danielzinho,br BRA,MF,25.0,23.8,1536,1451,74,54,4,8,18,14,5,1,3,0,1324,11,19,Matches
Rodriguinho Marinho,br BRA,"FW,MF",32.0,21.0,686,612,66,23,8,3,58,0,35,16,11,0,484,8,22,Matches
Juninho Capixaba,br BRA,"DF,FW",23.0,21.0,1131,928,201,45,0,6,118,116,40,18,20,0,845,2,30,Matches
Rossi,br BRA,"FW,MF",27.0,18.8,599,512,82,17,2,6,161,19,46,7,36,0,294,5,38,Matches
Lucas Mugni,ar ARG,"MF,FW",29.0,17.8,669,619,50,10,2,2,47,16,19,12,3,0,480,0,23,Matches
Danilo Fernandes,br BRA,GK,32.0,16.0,413,242,171,50,0,0,0,0,0,0,0,0,302,0,0,Matches
Matheus Teixeira,br BRA,GK,21.0,16.0,445,292,152,43,0,0,0,0,0,0,0,0,357,1,1,Matches
Raí Nascimento,br BRA,"FW,MF",22.0,12.2,360,314,45,8,1,1,55,3,34,15,15,0,240,1,12,Matches
Thaciano,br BRA,"MF,FW",25.0,7.8,171,168,3,1,0,0,3,2,0,0,0,0,133,0,4,Matches
Juninho,br BRA,DF,25.0,9.0,467,441,26,26,0,2,2,0,0,0,0,0,404,0,3,Matches
Jonas,br BRA,MF,29.0,6.2,317,303,14,10,0,8,0,0,0,0,0,0,274,0,4,Matches
Hugo Rodallega,co COL,FW,35.0,10.1,225,206,17,3,1,0,8,1,0,0,0,0,160,2,3,Matches
Renan Guedes,br BRA,DF,23.0,6.4,231,152,79,3,0,0,17,76,0,0,0,0,151,0,15,Matches
Mateus Claus,br BRA,GK,26.0,6.0,142,79,63,10,0,0,0,0,0,0,0,0,102,0,0,Matches
Thonny Anderson,br BRA,"MF,FW",23.0,5.2,165,161,3,0,0,1,3,1,0,0,0,0,123,1,4,Matches
Edson,br BRA,MF,22.0,5.2,226,211,15,11,0,0,4,3,0,0,0,0,193,0,2,Matches
Lucas Araujo,br BRA,MF,21.0,5.1,175,169,5,5,1,0,1,0,0,0,0,0,141,1,6,Matches
Maycon Douglas,br BRA,"FW,MF",24.0,6.5,157,155,2,0,1,0,19,2,0,0,0,0,107,0,11,Matches
Óscar Ruiz,py PAR,"FW,MF",29.0,5.5,116,114,2,0,0,0,10,1,0,0,0,0,83,0,3,Matches
Gustavo Henrique,br BRA,DF,21.0,4.2,156,141,15,15,0,2,0,0,0,0,0,0,116,0,0,Matches
Ligger,br BRA,DF,32.0,3.0,96,89,7,6,0,1,1,1,0,0,0,0,78,0,3,Matches
Lucas Fonseca,br BRA,DF,35.0,2.9,154,147,7,7,0,1,0,0,0,0,0,0,126,0,0,Matches
Eugenio Isnaldo,ar ARG,"MF,FW",27.0,2.8,77,74,3,0,0,0,8,1,2,0,2,0,50,0,3,Matches
Matheus Galdezani,br BRA,MF,28.0,3.5,268,232,36,20,0,0,25,2,14,10,3,0,218,0,4,Matches
Ronaldo Cesar,br BRA,"FW,MF",20.0,4.0,92,88,3,1,0,0,2,2,0,0,0,0,64,1,4,Matches
Raniele,br BRA,MF,24.0,3.2,179,178,1,1,1,1,1,0,0,0,0,0,133,0,4,Matches
Luizão,br BRA,MF,22.0,1.2,41,40,1,1,0,0,3,0,0,0,0,0,30,0,2,Matches
Juan Pablo Ramírez,co COL,"MF,FW",23.0,0.7,48,44,4,2,0,0,2,2,0,0,0,0,41,0,0,Matches
Pablo Roberto,br BRA,"FW,MF",21.0,0.5,17,17,0,0,0,1,0,0,0,0,0,0,15,0,0,Matches
Raí Soares,br BRA,MF,19.0,0.4,12,12,0,0,0,0,1,0,0,0,0,0,9,0,1,Matches
Douglas Borel,br BRA,"DF,MF",18.0,0.3,16,14,2,0,0,0,2,2,0,0,0,0,14,0,0,Matches
Alesson,br BRA,MF,21.0,0.2,4,2,2,1,0,0,2,0,1,1,0,0,2,0,1,Matches
Squad Total,,,27.2,38.0,16621,14652,1927,568,28,98,848,773,207,81,99,0,12756,42,334,
Opponent Total,,,27.1,38.0,18649,16674,1905,581,38,178,794,753,209,87,64,0,14748,70,297,
