Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Gabriel,br BRA,DF,22.0,35.0,20,0.57,17,1,1,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Luciano Juba,br BRA,DF,24.0,34.6,81,2.34,64,13,0,2,2,0,4,0.12,4,0,0,0,0,0,Matches
Jean Lucas,br BRA,MF,25.0,32.2,78,2.42,64,1,2,5,4,2,9,0.28,9,0,0,0,0,0,Matches
Caio Alexandre,br BRA,MF,24.0,30.8,80,2.6,76,1,1,1,1,0,3,0.1,3,0,0,0,0,0,Matches
Marcos Felipe,br BRA,GK,27.0,33.3,6,0.18,5,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
Everton Ribeiro,br BRA,MF,34.0,29.8,122,4.1,103,11,1,2,4,1,13,0.44,13,0,0,0,0,0,Matches
Cauly Oliveira Souza,br BRA,"MF,FW",28.0,29.7,139,4.67,95,21,11,2,8,2,12,0.4,8,1,1,0,2,0,Matches
Thaciano,br BRA,"FW,MF",28.0,26.0,56,2.15,38,2,4,7,5,0,5,0.19,3,0,0,2,0,0,Matches
Kanu,br BRA,DF,26.0,30.0,9,0.3,9,0,0,0,0,0,2,0.07,2,0,0,0,0,0,Matches
Everaldo Stum,br BRA,FW,32.0,22.8,44,1.93,29,1,3,10,1,0,6,0.26,3,0,1,2,0,0,Matches
Santiago Arias,co COL,DF,32.0,20.9,53,2.53,44,2,1,3,2,1,3,0.14,1,0,1,1,0,0,Matches
Gilberto,br BRA,DF,30.0,15.2,36,2.37,34,1,0,1,0,0,2,0.13,2,0,0,0,0,0,Matches
Ademir Santos,br BRA,"FW,MF",28.0,12.6,48,3.81,34,1,6,4,3,0,8,0.64,5,0,1,2,0,0,Matches
Luciano Rodríguez,uy URU,"FW,MF",20.0,10.0,38,3.8,23,1,3,4,7,0,5,0.5,2,0,2,0,1,0,Matches
Víctor Cuesta,ar ARG,DF,35.0,5.6,1,0.18,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Biel,br BRA,"FW,MF",22.0,10.0,44,4.39,31,4,2,2,4,1,5,0.5,4,0,1,0,0,0,Matches
Carlos de Pena,uy URU,MF,31.0,7.6,40,5.26,22,13,2,2,1,0,5,0.66,3,2,0,0,0,0,Matches
Rezende,br BRA,"MF,DF",29.0,6.4,4,0.63,2,1,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Iago,br BRA,"DF,MF",26.0,4.5,8,1.76,8,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Adriel,br BRA,GK,23.0,3.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
David Duarte,br BRA,DF,29.0,2.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Nicolás Acevedo,uy URU,"MF,DF",24.0,3.0,5,1.68,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Oscar Estupiñan,co COL,"FW,MF",27.0,2.8,8,2.86,7,0,0,0,0,1,1,0.36,1,0,0,0,0,0,Matches
Danilo Fernandes,br BRA,GK,35.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Cicinho,bg BUL,"DF,FW",35.0,0.9,3,3.18,3,0,0,0,0,0,1,1.06,1,0,0,0,0,0,Matches
Rafael Ratão,br BRA,"FW,MF",28.0,4.9,21,4.32,14,0,3,4,0,0,5,1.03,2,0,2,1,0,0,Matches
Yago,br BRA,MF,28.0,0.8,1,1.32,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Tiago,br BRA,"FW,MF",18.0,0.7,1,1.48,1,0,0,0,0,0,1,1.48,1,0,0,0,0,0,Matches
Vitor Hugo,br BRA,DF,32.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ruan Pablo,br BRA,MF,15.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,27.7,38.0,946,24.89,730,75,40,51,42,8,91,2.39,68,3,9,8,3,0,
Opponent Total,,,27.6,38.0,837,22.03,602,63,52,55,48,17,84,2.21,57,5,4,9,8,1,
