Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Gabriel,br BRA,DF,22.0,35,3150.0,90.0,92.1,35.0,35,90.0,35,0,,1,1.51,47.0,44.0,3.0,0.09,1.09,48.7,38.7,9.9,0.28,0.87,Matches
Luciano Juba,br BRA,DF,24.0,37,3114.0,84.0,91.1,34.6,35,88.0,32,2,12.0,1,1.43,47.0,45.0,2.0,0.06,0.65,45.9,39.7,6.2,0.18,-0.38,Matches
Jean Lucas,br BRA,MF,25.0,36,2901.0,81.0,84.8,32.2,35,82.0,19,1,45.0,0,1.44,40.0,40.0,0.0,0.0,0.0,41.1,34.6,6.5,0.2,-0.08,Matches
Caio Alexandre,br BRA,MF,24.0,36,2774.0,77.0,81.1,30.8,35,79.0,9,1,15.0,0,1.42,38.0,39.0,-1.0,-0.03,-0.17,39.1,32.2,6.9,0.22,0.05,Matches
Marcos Felipe,br BRA,GK,27.0,34,2996.0,88.0,87.6,33.3,34,88.0,33,0,,3,1.35,43.0,43.0,0.0,0.0,0.0,43.4,37.8,5.5,0.17,-0.39,Matches
Everton Ribeiro,br BRA,MF,34.0,37,2681.0,72.0,78.4,29.8,34,76.0,12,3,35.0,0,1.43,36.0,38.0,-2.0,-0.07,-0.31,40.5,30.2,10.3,0.35,0.6,Matches
Cauly Oliveira Souza,br BRA,"MF,FW",28.0,38,2676.0,70.0,78.2,29.7,34,75.0,8,4,28.0,0,1.39,32.0,38.0,-6.0,-0.2,-0.93,29.8,34.1,-4.3,-0.14,-1.66,Matches
Thaciano,br BRA,"FW,MF",28.0,35,2343.0,67.0,68.5,26.0,32,71.0,5,3,25.0,1,1.4,33.0,31.0,2.0,0.08,0.24,29.6,27.4,2.2,0.08,-0.42,Matches
Kanu,br BRA,DF,26.0,30,2700.0,90.0,78.9,30.0,30,90.0,30,0,,2,1.48,39.0,36.0,3.0,0.1,0.47,41.7,33.4,8.3,0.28,0.29,Matches
Everaldo Stum,br BRA,FW,32.0,37,2056.0,56.0,60.1,22.8,27,69.0,2,10,21.0,0,1.43,26.0,30.0,-4.0,-0.18,-0.44,29.2,23.2,6.0,0.26,0.12,Matches
Santiago Arias,co COL,DF,32.0,23,1884.0,82.0,55.1,20.9,21,86.0,18,2,36.0,3,1.35,25.0,27.0,-2.0,-0.1,-0.21,25.3,22.8,2.5,0.12,-0.21,Matches
Gilberto,br BRA,DF,30.0,19,1367.0,72.0,40.0,15.2,16,79.0,8,3,35.0,16,1.32,18.0,19.0,-1.0,-0.07,-0.11,21.0,16.5,4.6,0.3,0.14,Matches
Ademir Santos,br BRA,"FW,MF",28.0,31,1131.0,36.0,33.1,12.6,10,63.0,0,21,24.0,1,1.42,19.0,16.0,3.0,0.24,0.36,21.6,14.7,6.9,0.55,0.5,Matches
Luciano Rodríguez,uy URU,"FW,MF",20.0,19,900.0,47.0,26.3,10.0,8,81.0,4,11,23.0,0,1.16,13.0,16.0,-3.0,-0.3,-0.41,17.3,12.6,4.6,0.46,0.34,Matches
Víctor Cuesta,ar ARG,DF,35.0,7,506.0,72.0,14.8,5.6,7,72.0,2,0,,23,0.86,6.0,11.0,-5.0,-0.89,-1.04,3.8,7.2,-3.4,-0.6,-0.96,Matches
Biel,br BRA,"FW,MF",22.0,26,904.0,35.0,26.4,10.0,4,64.0,0,22,30.0,0,1.56,16.0,9.0,7.0,0.7,0.95,16.1,11.3,4.8,0.48,0.36,Matches
Carlos de Pena,uy URU,MF,31.0,30,683.0,23.0,20.0,7.6,4,56.0,0,26,18.0,7,1.4,14.0,9.0,5.0,0.66,0.82,13.7,10.9,2.8,0.37,0.19,Matches
Rezende,br BRA,"MF,DF",29.0,18,574.0,32.0,16.8,6.4,4,90.0,4,14,15.0,7,1.61,10.0,8.0,2.0,0.31,0.38,9.5,9.5,0.0,0.0,-0.26,Matches
Iago,br BRA,"DF,MF",26.0,13,408.0,31.0,11.9,4.5,3,90.0,3,10,14.0,2,1.0,5.0,7.0,-2.0,-0.44,-0.5,8.5,5.8,2.7,0.6,0.43,Matches
Adriel,br BRA,GK,23.0,4,334.0,84.0,9.8,3.7,3,90.0,3,1,64.0,17,1.4,6.0,6.0,0.0,0.0,0.0,5.1,4.6,0.5,0.14,-0.08,Matches
David Duarte,br BRA,DF,29.0,3,255.0,85.0,7.5,2.8,3,85.0,2,0,,28,0.33,3.0,4.0,-1.0,-0.35,-0.38,2.7,3.5,-0.7,-0.26,-0.51,Matches
Nicolás Acevedo,uy URU,"MF,DF",24.0,8,268.0,34.0,7.8,3.0,1,90.0,1,7,25.0,1,0.88,3.0,7.0,-4.0,-1.34,-1.46,4.4,4.7,-0.3,-0.1,-0.34,Matches
Oscar Estupiñan,co COL,"FW,MF",27.0,11,252.0,23.0,7.4,2.8,1,45.0,0,10,21.0,4,1.36,6.0,1.0,5.0,1.79,1.93,6.2,3.5,2.7,0.97,0.81,Matches
Danilo Fernandes,br BRA,GK,35.0,1,90.0,90.0,2.6,1.0,1,90.0,1,0,,19,3.0,5.0,1.0,4.0,4.0,4.11,2.8,0.8,2.1,2.09,1.92,Matches
Cicinho,bg BUL,"DF,FW",35.0,6,85.0,14.0,2.5,0.9,1,45.0,0,5,8.0,27,2.14,3.0,3.0,0.0,0.0,0.0,2.2,2.1,0.1,0.06,-0.16,Matches
Rafael Ratão,br BRA,"FW,MF",28.0,19,438.0,23.0,12.8,4.9,0,,0,19,23.0,17,1.32,8.0,9.0,-1.0,-0.21,-0.24,10.1,7.2,2.9,0.6,0.44,Matches
Yago,br BRA,MF,28.0,8,68.0,9.0,2.0,0.8,0,,0,8,9.0,30,2.0,1.0,1.0,0.0,0.0,0.0,2.6,2.4,0.2,0.33,0.11,Matches
Tiago,br BRA,"FW,MF",18.0,4,60.0,15.0,1.8,0.7,0,,0,4,15.0,9,0.5,2.0,3.0,-1.0,-1.5,-1.53,1.5,1.9,-0.4,-0.57,-0.8,Matches
Vitor Hugo,br BRA,DF,32.0,1,15.0,15.0,0.4,0.2,0,,0,1,15.0,17,1.0,0.0,1.0,-1.0,-6.0,-6.03,0.6,0.8,-0.2,-1.44,-1.67,Matches
Ruan Pablo,br BRA,MF,15.0,1,6.0,6.0,0.2,0.1,0,,0,1,6.0,3,1.0,1.0,0.0,1.0,15.0,15.03,0.5,0.1,0.5,7.22,7.02,Matches
Marcos Victor,br BRA,DF,22.0,0,,,0.0,0.0,0,,0,0,,10,3.0,3.0,1.0,2.0,,,,,,,,Matches
Ryan Carlos,br BRA,DF,21.0,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches
Roger,br BRA,MF,16.0,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Sidney,br BRA,MF,17.0,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,27.7,38,3420.0,90.0,100.0,38.0,418,80.0,231,189,21.0,260,1.39,49.0,49.0,0.0,0.0,,51.3,43.2,8.2,0.21,,
Opponent Total,,,27.6,38,3420.0,90.0,100.0,38.0,418,80.0,227,186,20.0,259,1.39,49.0,49.0,0.0,0.0,,43.2,51.3,-8.2,-0.21,,
