Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Gabriel,br BRA,DF,22.0,35.0,2641,304,1357,1211,81,33,2641,7,4,57.1,1,14.3,1513,6919,4026,20,15,1,8,4,1808,5,Matches
Luciano Juba,br BRA,DF,24.0,34.6,2492,131,823,1203,495,22,2492,25,10,40.0,13,52.0,1377,5792,3300,46,34,3,15,6,1628,107,Matches
Jean Lucas,br BRA,MF,25.0,32.2,1597,26,245,872,498,58,1597,70,36,51.4,28,40.0,990,5464,2157,53,56,14,54,51,1181,149,Matches
Caio Alexandre,br BRA,MF,24.0,30.8,2581,40,522,1680,397,20,2581,30,17,56.7,11,36.7,1748,9533,5528,80,68,7,39,30,2102,52,Matches
Marcos Felipe,br BRA,GK,27.0,33.3,1367,1054,1354,13,0,0,1367,0,0,,0,,782,3422,2146,0,0,0,2,1,706,0,Matches
Everton Ribeiro,br BRA,MF,34.0,29.8,2144,13,263,1143,762,40,2144,70,29,41.4,36,51.4,1409,6868,3839,85,87,9,57,44,1704,162,Matches
Cauly Oliveira Souza,br BRA,"MF,FW",28.0,29.7,1564,9,94,789,707,69,1564,96,44,45.8,44,45.8,987,4844,2326,65,51,20,77,38,1286,179,Matches
Thaciano,br BRA,"FW,MF",28.0,26.0,777,36,140,344,300,94,777,20,10,50.0,9,45.0,430,1759,756,20,15,5,29,12,530,124,Matches
Kanu,br BRA,DF,26.0,30.0,2076,262,1020,1027,33,6,2076,11,4,36.4,4,36.4,1346,7022,4252,18,8,0,9,6,1572,1,Matches
Everaldo Stum,br BRA,FW,32.0,22.8,683,22,65,255,371,105,682,35,11,31.4,20,57.1,425,2306,867,40,22,10,43,31,538,166,Matches
Santiago Arias,co COL,DF,32.0,20.9,1465,61,386,652,433,31,1465,17,7,41.2,8,47.1,784,3434,2047,57,34,5,10,11,949,185,Matches
Gilberto,br BRA,DF,30.0,15.2,1235,46,303,560,379,29,1235,53,28,52.8,20,37.7,751,4115,2301,62,39,5,25,17,864,125,Matches
Ademir Santos,br BRA,"FW,MF",28.0,12.6,606,5,61,221,341,66,606,63,27,42.9,30,47.6,415,3369,1812,66,26,26,32,13,439,147,Matches
