Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Gabriel,br BRA,DF,22.0,35.0,0,24,7,29.2,0.69,0.2,0.0,0.0,11.9,0,0,0,1.4,1.4,0.06,-1.4,-1.4,Matches
Luciano Juba,br BRA,DF,24.0,34.6,3,23,7,30.4,0.66,0.2,0.13,0.43,22.5,9,0,0,1.2,1.2,0.05,1.8,1.8,Matches
Jean Lucas,br BRA,MF,25.0,32.2,3,66,21,31.8,2.05,0.65,0.05,0.14,22.6,1,0,0,5.4,5.4,0.08,-2.4,-2.4,Matches
Caio Alexandre,br BRA,MF,24.0,30.8,2,22,4,18.2,0.71,0.13,0.09,0.5,24.7,0,0,0,1.1,1.1,0.05,0.9,0.9,Matches
Marcos Felipe,br BRA,GK,27.0,33.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Everton Ribeiro,br BRA,MF,34.0,29.8,2,24,11,45.8,0.81,0.37,0.08,0.18,24.9,1,0,0,1.5,1.5,0.06,0.5,0.5,Matches
Cauly Oliveira Souza,br BRA,"MF,FW",28.0,29.7,4,47,14,29.8,1.58,0.47,0.09,0.29,19.0,4,0,0,3.5,3.5,0.07,0.5,0.5,Matches
Thaciano,br BRA,"FW,MF",28.0,26.0,7,54,16,29.6,2.07,0.61,0.13,0.44,13.5,0,0,0,5.7,5.7,0.11,1.3,1.3,Matches
Kanu,br BRA,DF,26.0,30.0,0,5,1,20.0,0.17,0.03,0.0,0.0,12.2,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Everaldo Stum,br BRA,FW,32.0,22.8,8,66,25,37.9,2.89,1.09,0.11,0.28,14.7,1,1,1,7.2,6.4,0.1,0.8,0.6,Matches
Santiago Arias,co COL,DF,32.0,20.9,0,11,2,18.2,0.53,0.1,0.0,0.0,15.6,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
Gilberto,br BRA,DF,30.0,15.2,1,12,4,33.3,0.79,0.26,0.08,0.25,19.2,0,0,0,1.4,1.4,0.12,-0.4,-0.4,Matches
Ademir Santos,br BRA,"FW,MF",28.0,12.6,3,29,13,44.8,2.31,1.03,0.1,0.23,16.0,0,0,0,3.6,3.6,0.13,-0.6,-0.6,Matches
Luciano Rodríguez,uy URU,"FW,MF",20.0,10.0,6,37,16,43.2,3.7,1.6,0.14,0.31,17.2,4,1,1,5.8,5.0,0.14,0.2,0.0,Matches
Víctor Cuesta,ar ARG,DF,35.0,5.6,0,2,1,50.0,0.36,0.18,0.0,0.0,20.1,0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches
Biel,br BRA,"FW,MF",22.0,10.0,5,28,10,35.7,2.79,1.0,0.18,0.5,16.7,0,0,0,4.5,4.5,0.16,0.5,0.5,Matches
Carlos de Pena,uy URU,MF,31.0,7.6,0,18,2,11.1,2.37,0.26,0.0,0.0,21.4,3,0,0,1.0,1.0,0.06,-1.0,-1.0,Matches
Rezende,br BRA,"MF,DF",29.0,6.4,0,4,0,0.0,0.63,0.0,0.0,,7.3,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches
Iago,br BRA,"DF,MF",26.0,4.5,0,3,2,66.7,0.66,0.44,0.0,0.0,10.1,0,0,0,0.8,0.8,0.27,-0.8,-0.8,Matches
Adriel,br BRA,GK,23.0,3.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
David Duarte,br BRA,DF,29.0,2.8,1,2,1,50.0,0.71,0.35,0.5,1.0,9.4,0,0,0,0.2,0.2,0.08,0.8,0.8,Matches
Nicolás Acevedo,uy URU,"MF,DF",24.0,3.0,0,5,2,40.0,1.68,0.67,0.0,0.0,23.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
