Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Sidão,br BRA,GK,33.0,32,32,2880.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bruno Silva,br BRA,MF,29.0,31,31,2697.0,30.0,4.0,2.0,6.0,4.0,0.0,0.0,14.0,0.0,0.13,0.07,0.2,0.13,0.2,Matches
Neílton,br BRA,"FW,MF",21.0,35,29,2537.0,28.2,8.0,2.0,10.0,8.0,0.0,1.0,3.0,0.0,0.28,0.07,0.35,0.28,0.35,Matches
Emerson Santos,br BRA,"DF,MF",20.0,30,28,2537.0,28.2,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
Fernando Camilo Farias,br BRA,"FW,MF",29.0,28,28,2419.0,26.9,6.0,6.0,12.0,5.0,1.0,1.0,1.0,0.0,0.22,0.22,0.45,0.19,0.41,Matches
Diogo Barbosa,br BRA,DF,23.0,26,25,2197.0,24.4,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,0.08,0.04,0.12,0.08,0.12,Matches
Rodrigo Lindoso,br BRA,MF,26.0,25,22,1971.0,21.9,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches
Airton,br BRA,"DF,MF",25.0,21,21,1500.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Victor Luis,br BRA,DF,22.0,22,20,1836.0,20.4,0.0,3.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.15,0.15,0.0,0.15,Matches
Emerson,br BRA,DF,32.0,21,20,1809.0,20.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luis Ricardo,br BRA,DF,32.0,20,20,1791.0,19.9,0.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.3,0.0,0.3,Matches
Renan Fonseca,br BRA,DF,25.0,17,17,1530.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Joel Carli,ar ARG,DF,29.0,16,16,1410.0,15.7,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches
Sassá,br BRA,FW,22.0,26,13,1302.0,14.5,12.0,0.0,12.0,8.0,4.0,4.0,5.0,0.0,0.83,0.0,0.83,0.55,0.55,Matches
Fernandes,br BRA,MF,20.0,19,13,1119.0,12.4,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,0.16,0.08,0.24,0.16,0.24,Matches
