Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Igor Rabello,br BRA,DF,22.0,37,3330.0,90.0,97.4,37.0,37,90.0,37.0,0,,0,1.38,38.0,42.0,-4.0,-0.11,3.89,Matches
Rodrigo Lindoso,br BRA,MF,28.0,32,2805.0,88.0,82.0,31.2,32,88.0,27.0,0,,0,1.41,33.0,32.0,1.0,0.03,1.35,Matches
Marcinho,br BRA,"DF,MF",21.0,32,2802.0,88.0,81.9,31.1,32,88.0,29.0,0,,2,1.47,35.0,37.0,-2.0,-0.06,0.81,Matches
Joel Carli,ar ARG,DF,31.0,29,2587.0,89.0,75.6,28.7,29,89.0,28.0,0,,0,1.45,29.0,35.0,-6.0,-0.21,0.01,Matches
Matheus Fernandes,br BRA,MF,19.0,33,2453.0,74.0,71.7,27.3,28,82.0,22.0,5,29.0,1,1.33,23.0,32.0,-9.0,-0.33,-0.42,Matches
Luiz Fernando,br BRA,"FW,MF",21.0,32,2206.0,69.0,64.5,24.5,26,80.0,10.0,6,20.0,0,1.25,25.0,32.0,-7.0,-0.29,-0.21,Matches
Leonardo Valencia,cl CHI,"FW,MF",26.0,27,2094.0,78.0,61.2,23.3,25,82.0,11.0,2,17.0,3,1.52,24.0,25.0,-1.0,-0.04,0.43,Matches
Moisés,br BRA,DF,22.0,27,2156.0,80.0,63.0,24.0,24,88.0,22.0,3,13.0,3,1.33,26.0,32.0,-6.0,-0.25,-0.11,Matches
Kieza,br BRA,FW,31.0,27,1855.0,69.0,54.2,20.6,20,86.0,13.0,7,18.0,1,1.3,24.0,23.0,1.0,0.05,0.57,Matches
Saulo,br BRA,GK,22.0,17,1514.0,89.0,44.3,16.8,16,90.0,16.0,1,73.0,16,0.88,12.0,24.0,-12.0,-0.71,-0.9,Matches
Brenner Marlos,br BRA,FW,23.0,24,1380.0,58.0,40.4,15.3,16,80.0,5.0,8,13.0,10,1.38,15.0,16.0,-1.0,-0.07,0.24,Matches
Erik Lima,br BRA,"FW,MF",23.0,17,1323.0,78.0,38.7,14.7,15,84.0,10.0,2,33.0,0,1.71,19.0,16.0,3.0,0.2,0.68,Matches
Gustavo Bochecha,br BRA,MF,21.0,17,1171.0,69.0,34.2,13.0,15,74.0,5.0,2,30.0,16,0.94,12.0,16.0,-4.0,-0.31,-0.15,Matches
Gilson,br BRA,DF,31.0,16,1261.0,79.0,36.9,14.0,14,87.0,11.0,2,21.0,13,1.41,14.0,14.0,0.0,0.0,0.33,Matches
Rodrigo Pimpão,br BRA,"FW,MF",30.0,31,1425.0,46.0,41.7,15.8,13,75.0,4.0,18,25.0,4,1.45,11.0,16.0,-5.0,-0.32,-0.18,Matches
Jefferson,br BRA,GK,35.0,13,1096.0,84.0,32.0,12.2,13,84.0,12.0,0,,6,1.38,16.0,17.0,-1.0,-0.08,0.19,Matches
Jean,br BRA,MF,23.0,15,930.0,62.0,27.2,10.3,13,71.0,6.0,2,4.0,10,1.47,13.0,19.0,-6.0,-0.58,-0.51,Matches
Gatito Fernández,py PAR,GK,29.0,8,720.0,90.0,21.1,8.0,8,90.0,8.0,0,,1,1.88,8.0,5.0,3.0,0.37,0.74,Matches
Marcelo,br BRA,DF,22.0,9,685.0,76.0,20.0,7.6,7,90.0,7.0,2,27.0,20,1.0,7.0,10.0,-3.0,-0.39,-0.23,Matches
