Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
João Paulo Mior,br BRA,MF,27.0,32.8,1821,1642,171,92,2,11,92,14,48,20,26,0,1464,8,22,Matches
Gabriel,br BRA,DF,23.0,33.4,1905,1850,54,51,1,22,1,3,0,0,0,0,1685,1,8,Matches
Cícero Santos,br BRA,MF,34.0,31.1,1676,1584,88,86,1,7,6,2,0,0,0,0,1480,4,7,Matches
Gatito Fernández,py PAR,GK,30.0,29.5,926,507,417,97,0,0,0,0,0,0,0,0,686,2,1,Matches
Diego Souza,br BRA,"FW,MF",33.0,29.1,778,723,53,11,1,2,10,6,1,0,0,0,601,2,24,Matches
Luiz Fernando,br BRA,"MF,FW",22.0,23.5,607,586,16,5,2,4,56,6,2,1,0,0,456,5,21,Matches
Joel Carli,ar ARG,DF,32.0,25.0,1226,1175,50,49,0,2,2,1,0,0,0,0,1020,1,4,Matches
Marcinho,br BRA,"DF,MF",22.0,23.4,1287,1049,234,43,0,7,128,157,33,16,12,1,975,4,35,Matches
Alex Santana,br BRA,MF,23.0,18.7,596,578,17,12,1,4,3,5,0,0,0,0,522,1,10,Matches
Fernando Costanza,br BRA,DF,20.0,18.7,857,705,152,10,0,3,41,142,0,0,0,0,656,0,28,Matches
Gilson,br BRA,DF,32.0,16.7,870,729,141,25,0,3,59,102,14,9,4,0,725,0,18,Matches
Gustavo Bochecha,br BRA,MF,22.0,16.6,1086,1028,57,47,1,4,5,6,3,0,0,0,947,1,9,Matches
Marcelo,br BRA,DF,23.0,16.1,806,772,31,30,0,2,5,1,0,0,0,0,686,3,1,Matches
Yuri,br BRA,DF,23.0,12.0,476,380,96,4,1,0,21,86,6,1,0,0,379,0,15,Matches
Rodrigo Pimpão,br BRA,"MF,FW",31.0,11.2,323,311,12,0,0,3,33,7,3,2,1,0,207,0,12,Matches
Erik Lima,br BRA,"MF,FW",24.0,9.1,220,214,6,2,1,1,6,0,0,0,0,0,179,0,1,Matches
Leonardo Valencia,cl CHI,"MF,FW",27.0,10.5,411,336,72,34,0,3,55,4,32,13,16,0,279,3,7,Matches
Diego Cavalieri,br BRA,GK,36.0,8.5,218,110,108,31,0,2,0,0,0,0,0,0,166,0,0,Matches
Igor Cássio,br BRA,"FW,MF",20.0,7.0,148,145,2,0,0,0,9,1,0,0,0,0,93,1,8,Matches
Rhuan Silveira,br BRA,"MF,FW",19.0,6.6,112,110,1,1,0,1,12,0,0,0,0,0,76,1,4,Matches
Victor Rangel,br BRA,FW,28.0,6.2,92,82,10,0,0,1,2,0,0,0,0,0,64,0,0,Matches
Lucas Barros,br BRA,DF,19.0,6.2,275,227,48,5,0,0,12,42,1,0,0,0,207,0,6,Matches
Jonathan,br BRA,DF,20.0,4.1,171,135,35,5,0,0,14,27,3,2,0,0,134,1,6,Matches
Lucas Campos,br BRA,"FW,MF",21.0,4.1,113,113,0,0,0,1,1,0,0,0,0,0,94,0,4,Matches
Vinicius Tanque,br BRA,FW,23.0,4.0,94,88,6,0,0,0,2,0,0,0,0,0,65,0,4,Matches
Rickson,br BRA,"MF,DF",20.0,2.6,79,69,10,0,0,0,2,10,0,0,0,0,63,0,3,Matches
Wenderson,br BRA,MF,20.0,1.8,75,72,3,3,0,0,0,0,0,0,0,0,63,0,0,Matches
Jean,br BRA,MF,24.0,2.0,66,65,1,1,0,1,2,0,0,0,0,0,55,0,1,Matches
Luis Henrique,br BRA,"FW,MF",17.0,1.4,29,29,0,0,0,0,1,0,0,0,0,0,23,0,1,Matches
Alan Santos,br BRA,MF,27.0,1.3,51,51,0,0,0,1,0,0,0,0,0,0,43,0,1,Matches
Marcos Vinícius,br BRA,MF,24.0,1.2,39,38,1,0,1,2,0,1,0,0,0,0,34,0,0,Matches
Kanu,br BRA,DF,21.0,1.5,79,76,3,2,0,0,1,1,0,0,0,0,66,0,2,Matches
Gustavo Ferrareis,br BRA,MF,23.0,0.7,38,37,1,0,0,0,2,1,0,0,0,0,30,0,0,Matches
Squad Total,,,26.9,38.0,17550,15616,1896,646,12,87,583,625,146,64,59,1,14223,38,263,
Opponent Total,,,27.5,38.0,17824,15966,1780,475,23,118,848,692,262,113,107,2,14367,78,285,
