Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
João Paulo Mior,br BRA,MF,27.0,32.8,2164,90,455,1305,419,19,2164,33,21,63.6,12,36.4,1195,5856,3136,44,43,1,18,24,1445,47,Matches
Gabriel,br BRA,DF,23.0,33.4,2248,466,1317,910,30,22,2248,3,3,100.0,0,0.0,1409,7159,4565,21,6,1,6,2,1630,3,Matches
Cícero Santos,br BRA,MF,34.0,31.1,1944,146,535,1291,131,25,1944,16,12,75.0,4,25.0,1229,6191,3051,21,24,1,19,11,1433,18,Matches
Gatito Fernández,py PAR,GK,30.0,29.5,1005,922,1002,3,0,0,1005,0,0,,0,,430,2495,2056,0,0,0,0,0,302,0,Matches
Diego Souza,br BRA,"FW,MF",33.0,29.1,973,21,71,546,366,90,970,46,28,60.9,18,39.1,635,3561,1810,44,41,12,43,25,786,143,Matches
Luiz Fernando,br BRA,"MF,FW",22.0,23.5,890,22,149,398,367,56,890,91,53,58.2,38,41.8,625,5081,2342,85,61,24,48,31,622,183,Matches
Joel Carli,ar ARG,DF,32.0,25.0,1435,216,728,683,38,18,1435,7,5,71.4,2,28.6,900,5558,3788,25,6,0,3,3,1003,3,Matches
Marcinho,br BRA,"DF,MF",22.0,23.4,1525,89,405,676,461,20,1525,26,10,38.5,16,61.5,775,4271,2131,55,31,5,19,20,926,137,Matches
Alex Santana,br BRA,MF,23.0,18.7,785,28,138,511,163,20,785,56,36,64.3,20,35.7,571,4599,2401,46,42,1,32,29,592,50,Matches
Fernando Costanza,br BRA,DF,20.0,18.7,1080,91,365,524,202,15,1080,36,21,58.3,15,41.7,528,3089,1679,34,30,2,13,7,578,51,Matches
