Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Kanu,br BRA,DF,22.0,35,3142.0,90.0,91.9,34.9,35,90.0,34.0,0,,0,0.69,30.0,59.0,-29.0,-0.83,-0.51,47.1,61.4,-14.3,-0.41,-0.65,Matches
Caio Alexandre,br BRA,MF,20.0,34,2731.0,80.0,79.9,30.3,33,81.0,16.0,1,45.0,0,0.68,25.0,51.0,-26.0,-0.86,-0.33,39.4,50.8,-11.5,-0.38,-0.11,Matches
Kevin,br BRA,DF,22.0,33,2581.0,78.0,75.5,28.7,31,81.0,22.0,2,35.0,4,0.67,24.0,45.0,-21.0,-0.73,0.23,37.6,45.0,-7.4,-0.26,0.39,Matches
Marcelo,br BRA,DF,24.0,31,2605.0,84.0,76.2,28.9,30,87.0,28.0,1,7.0,1,0.81,23.0,40.0,-17.0,-0.59,0.85,36.8,46.3,-9.4,-0.33,0.13,Matches
Victor Luis,br BRA,DF,26.0,26,2181.0,84.0,63.8,24.2,26,84.0,20.0,0,,0,0.54,20.0,38.0,-18.0,-0.74,0.13,34.5,39.8,-5.3,-0.22,0.38,Matches
Diego Cavalieri,br BRA,GK,37.0,22,1980.0,90.0,57.9,22.0,22,90.0,22.0,0,,6,0.68,20.0,39.0,-19.0,-0.86,-0.18,32.0,38.0,-5.9,-0.27,0.2,Matches
Bruno Nazário,br BRA,"FW,MF",24.0,26,1809.0,70.0,52.9,20.1,22,77.0,9.0,4,29.0,1,0.58,16.0,28.0,-12.0,-0.6,0.41,25.8,31.6,-5.8,-0.29,0.14,Matches
Matheus Babi,br BRA,"FW,MF",22.0,34,2219.0,65.0,64.9,24.7,21,87.0,16.0,13,31.0,1,0.68,24.0,34.0,-10.0,-0.41,1.09,36.8,39.1,-2.3,-0.09,0.74,Matches
Pedro Raul,br BRA,FW,23.0,25,1742.0,70.0,50.9,19.4,19,83.0,10.0,6,28.0,0,0.72,18.0,34.0,-16.0,-0.83,-0.08,28.3,33.0,-4.7,-0.24,0.23,Matches
Rafael Forster,br BRA,"DF,MF",29.0,22,1488.0,68.0,43.5,16.5,19,75.0,8.0,3,21.0,6,1.0,16.0,22.0,-6.0,-0.36,0.76,23.5,27.2,-3.7,-0.22,0.23,Matches
José Welison,br BRA,MF,24.0,17,1212.0,71.0,35.4,13.5,16,75.0,6.0,1,14.0,0,0.29,6.0,26.0,-20.0,-1.49,-1.08,13.7,23.6,-9.9,-0.73,-0.58,Matches
Keisuke Honda,jp JPN,MF,33.0,18,1289.0,72.0,37.7,14.3,15,79.0,7.0,3,33.0,1,0.94,12.0,16.0,-4.0,-0.28,0.82,16.3,19.7,-3.4,-0.23,0.2,Matches
