Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Gatito Fernández,py PAR,GK,33.0,31.2,1,0,0,0,6,0,0,2,1,0,0,0,28,5,0,100.0,Matches
Víctor Cuesta,ar ARG,DF,33.0,28.5,8,0,0,28,11,2,8,59,29,0,0,0,153,67,27,71.3,Matches
Tchê Tchê,br BRA,MF,29.0,25.7,3,0,0,39,43,0,6,27,18,1,0,0,128,7,16,30.4,Matches
Daniel Borges,br BRA,DF,28.0,20.8,4,1,1,21,13,1,115,17,18,0,0,0,118,12,20,37.5,Matches
Renzo Saravia,ar ARG,"DF,MF",28.0,20.2,10,0,0,36,42,0,46,32,31,0,0,0,137,26,36,41.9,Matches
Victor Sá,br BRA,FW,27.0,20.4,3,0,0,20,31,3,37,16,25,0,0,0,83,12,32,27.3,Matches
Lucas Fernandes,br BRA,MF,24.0,18.6,3,0,0,30,29,0,63,8,10,0,0,0,92,9,13,40.9,Matches
Jeffinho,br BRA,FW,22.0,17.8,3,0,0,23,34,1,12,12,16,0,0,0,111,10,17,37.0,Matches
Fernando Marçal,br BRA,DF,32.0,17.1,6,0,0,26,18,0,124,34,21,0,0,0,119,30,14,68.2,Matches
Erison,br BRA,FW,22.0,16.5,2,0,0,29,25,13,10,1,3,0,0,0,26,26,80,24.5,Matches
Kanu,br BRA,DF,24.0,16.1,5,0,0,15,11,0,1,23,10,0,0,0,73,42,25,62.7,Matches
Adryelson,br BRA,DF,23.0,16.1,1,0,0,10,4,2,0,22,12,0,0,1,56,76,34,69.1,Matches
Tiquinho Soares,br BRA,FW,31.0,13.7,1,0,0,21,41,12,6,2,4,0,0,0,45,39,51,43.3,Matches
Philipe Sampaio,br BRA,DF,27.0,12.5,4,2,1,19,8,2,1,27,8,0,1,0,63,36,17,67.9,Matches
Luis Oyama,br BRA,MF,25.0,12.0,1,0,0,21,21,0,1,17,17,0,0,0,86,9,7,56.3,Matches
Júnior Santos,br BRA,"FW,MF",27.0,11.9,1,0,0,20,12,4,15,2,13,0,1,0,49,19,16,54.3,Matches
Carlos Eduardo,br BRA,MF,32.0,12.2,3,0,0,21,28,0,11,10,10,0,0,0,56,16,18,47.1,Matches
Patrick de Paula,br BRA,MF,22.0,11.3,4,0,0,12,25,0,14,17,7,0,1,0,71,11,12,47.8,Matches
Hugo,br BRA,"DF,MF",20.0,12.2,3,1,0,18,12,0,35,20,19,0,0,0,57,13,14,48.1,Matches
Vinícius,br BRA,FW,22.0,9.7,3,0,0,19,26,3,10,11,10,0,0,0,45,14,20,41.2,Matches
Lucas Piazon,br BRA,"FW,MF",28.0,8.3,2,0,0,7,6,1,23,2,9,0,0,0,41,10,19,34.5,Matches
Gabriel,br BRA,MF,28.0,8.3,3,0,0,13,11,0,11,17,9,0,1,0,41,17,6,73.9,Matches
Chayene Santos,br BRA,"MF,FW",31.0,6.5,3,0,0,10,18,0,17,5,9,0,0,0,33,3,14,17.6,Matches
Matheus Nascimento,br BRA,"FW,MF",17.0,6.8,1,0,0,11,11,1,1,1,4,1,0,0,13,17,30,36.2,Matches
Diego Gonçalves,br BRA,FW,27.0,4.7,1,0,0,8,6,2,21,2,3,0,0,0,23,11,12,47.8,Matches
Joel Carli,ar ARG,DF,35.0,4.1,3,0,0,3,1,0,0,5,2,0,0,0,11,12,6,66.7,Matches
Gustavo Sauer,br BRA,"FW,MF",28.0,3.2,1,0,0,5,4,0,7,1,3,0,0,0,13,4,3,57.1,Matches
Del Piage,br BRA,MF,21.0,5.7,3,0,0,16,14,0,5,7,13,1,0,0,27,6,5,54.5,Matches
Lucas Perri,br BRA,GK,24.0,3.8,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,100.0,Matches
Kayque,br BRA,MF,21.0,3.1,3,0,0,8,11,1,2,2,5,0,0,0,22,3,5,37.5,Matches
Rafael,br BRA,DF,31.0,3.1,1,0,0,7,3,0,9,9,7,0,0,0,10,1,4,20.0,Matches
Lucas Mezenga,br BRA,DF,20.0,3.1,1,0,0,5,1,1,0,8,4,0,1,0,21,11,4,73.3,Matches
Diego,br BRA,GK,23.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Luis Henrique,br BRA,"FW,MF",20.0,2.9,1,0,0,4,3,2,6,3,1,0,0,0,17,2,0,100.0,Matches
Danilo Barbosa,br BRA,MF,25.0,1.8,1,0,0,4,4,0,0,5,3,0,0,0,11,2,0,100.0,Matches
Willian Klaus,br BRA,DF,28.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,100.0,Matches
Douglas Borges,br BRA,GK,31.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
DG,br BRA,DF,20.0,0.7,1,0,0,0,1,0,1,0,0,0,0,0,2,1,1,50.0,Matches
Jonathan,br BRA,DF,23.0,0.5,0,0,0,1,0,0,0,1,1,0,0,0,2,1,4,20.0,Matches
Jacob Montes,ni NCA,MF,23.0,1.0,0,0,0,0,1,0,0,1,1,0,0,0,3,0,0,,Matches
Barreto,br BRA,MF,26.0,0.3,0,0,0,1,1,0,0,0,2,0,0,0,2,1,0,100.0,Matches
Daniel Cruz,br BRA,"FW,DF",20.0,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,50.0,Matches
Rikelmi,br BRA,DF,20.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
