Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2022-04-10,16:00,Série A,Matchweek 1,Sun,Home,L,1,3,Corinthians,1.5,2.1,56,36898.0,Kanu,4-3-3,4-3-3,Wilton Sampaio,Match Report,
2022-04-17,19:00,Série A,Matchweek 2,Sun,Away,W,3,1,Ceará,1.6,1.2,35,33734.0,Kanu,4-2-3-1,4-3-3,Raphael Claus,Match Report,
2022-04-24,18:30,Série A,Matchweek 3,Sun,Away,D,1,1,Atl Goianiense,0.8,1.0,62,4427.0,Kanu,4-2-3-1,4-2-3-1,Luiz Flávio de Oliveira,Match Report,
2022-05-01,11:00,Série A,Matchweek 4,Sun,Home,D,1,1,Juventude,2.0,0.6,59,34734.0,Gatito Fernández,4-2-3-1,4-2-3-1,Braulio da Silva Machado,Match Report,
2022-05-08,11:00,Série A,Matchweek 5,Sun,Away,W,1,0,Flamengo,0.8,1.7,47,54981.0,Kanu,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,
2022-05-15,18:00,Série A,Matchweek 6,Sun,Home,W,3,1,Fortaleza,1.3,1.3,62,23616.0,Kanu,4-2-3-1,3-4-1-2,Jefferson Ferreira de Moraes,Match Report,
2022-05-21,21:00,Série A,Matchweek 7,Sat,Away,D,1,1,América (MG),0.6,0.9,57,4236.0,Kanu,4-2-3-1,4-4-2,Raphael Claus,Match Report,
2022-05-29,16:00,Série A,Matchweek 8,Sun,Away,L,0,1,Coritiba,1.2,2.5,72,20302.0,Kanu,4-2-3-1,4-2-3-1,Braulio da Silva Machado,Match Report,
2022-06-06,20:00,Série A,Matchweek 9,Mon,Home,L,1,2,Goiás,0.6,1.9,62,30954.0,Kanu,4-3-3,5-4-1,Paulo Henrique Schleinch Vollkopf,Match Report,
2022-06-09,19:00,Série A,Matchweek 10,Thu,Away,L,0,4,Palmeiras,0.5,2.7,53,33431.0,Kanu,4-1-4-1,4-2-3-1,Anderson Daronco,Match Report,
2022-06-13,19:00,Série A,Matchweek 11,Mon,Home,L,0,1,Avaí,1.6,0.3,51,12627.0,Kanu,4-2-3-1,4-1-4-1,Flavio Rodrigues De Souza,Match Report,
2022-06-16,16:00,Série A,Matchweek 12,Thu,Home,W,1,0,São Paulo,1.4,0.4,33,18677.0,Joel Carli,3-4-3,3-4-1-2,Wilton Sampaio,Match Report,
2022-06-19,18:00,Série A,Matchweek 13,Sun,Away,W,3,2,Internacional,1.5,3.1,23,26219.0,Joel Carli,3-4-3,4-1-2-1-2,Savio Pereira,Match Report,
2022-06-26,16:00,Série A,Matchweek 14,Sun,Home,L,0,1,Fluminense,0.7,0.8,21,29791.0,Joel Carli,3-4-3,4-2-3-1,Anderson Daronco,Match Report,
2022-07-04,20:00,Série A,Matchweek 15,Mon,Away,W,1,0,RB Bragantino,1.0,1.9,36,4509.0,Kanu,3-4-1-2,4-2-3-1,Ramon Abatti Abel,Match Report,
2022-07-10,18:00,Série A,Matchweek 16,Sun,Away,L,0,2,Cuiabá,0.2,1.2,53,14719.0,Joel Carli,3-4-3,4-1-4-1,Jefferson Ferreira de Moraes,Match Report,
2022-07-17,18:00,Série A,Matchweek 17,Sun,Home,L,0,1,Atlético Mineiro,0.9,1.6,38,8678.0,Kanu,4-2-3-1,4-2-3-1,Raphael Claus,Match Report,
2022-07-20,21:30,Série A,Matchweek 18,Wed,Away,L,0,2,Santos,1.4,1.8,64,8453.0,Kanu,4-2-3-1,4-2-3-1,Ramon Abatti Abel,Match Report,
