Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Lucas Perri,br BRA,GK,25.0,37.5,4,0.11,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Víctor Cuesta,ar ARG,DF,34.0,35.0,26,0.74,23,0,0,2,0,1,2,0.06,1,0,0,1,0,0,Matches
Adryelson,br BRA,DF,24.0,33.3,13,0.39,12,0,0,0,0,1,2,0.06,1,0,0,0,0,1,Matches
Marlon Freitas,br BRA,MF,27.0,32.3,80,2.48,70,1,1,6,1,1,5,0.15,4,0,0,1,0,0,Matches
Carlos Eduardo,br BRA,MF,33.0,29.7,84,2.83,57,10,5,3,9,0,10,0.34,7,3,0,0,0,0,Matches
Tchê Tchê,br BRA,"MF,DF",30.0,29.5,92,3.12,65,8,7,6,6,0,10,0.34,8,1,1,0,0,0,Matches
Tiquinho Soares,br BRA,FW,32.0,27.1,80,2.96,46,2,5,15,10,2,10,0.37,5,0,0,5,0,0,Matches
Júnior Santos,br BRA,FW,28.0,24.0,74,3.08,42,1,16,8,7,0,7,0.29,2,0,2,1,2,0,Matches
Victor Sá,br BRA,FW,28.0,23.6,72,3.05,54,1,8,3,5,1,11,0.47,5,1,2,1,2,0,Matches
Leonel Di Plácido,ar ARG,DF,29.0,26.2,83,3.17,56,12,9,1,1,4,7,0.27,5,1,1,0,0,0,Matches
Fernando Marçal,br BRA,DF,33.0,18.1,51,2.82,21,28,0,1,0,1,7,0.39,3,4,0,0,0,0,Matches
Hugo,br BRA,DF,21.0,15.5,36,2.32,25,11,0,0,0,0,2,0.13,2,0,0,0,0,0,Matches
Luis Henrique,br BRA,"FW,MF",21.0,15.3,61,3.96,50,0,9,1,1,0,8,0.52,4,0,3,0,1,0,Matches
Danilo Barbosa,br BRA,"MF,DF",26.0,11.2,13,1.16,13,0,0,0,0,0,3,0.27,3,0,0,0,0,0,Matches
Gabriel,br BRA,MF,29.0,9.6,33,3.3,24,1,3,3,0,2,2,0.2,2,0,0,0,0,0,Matches
Rafael,br BRA,DF,32.0,5.4,7,1.31,6,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lucas Fernandes,br BRA,MF,25.0,5.3,19,3.62,7,7,0,4,1,0,1,0.19,1,0,0,0,0,0,Matches
Philipe Sampaio,br BRA,DF,28.0,5.5,1,0.18,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Gustavo Sauer,br BRA,"FW,MF",29.0,2.9,12,4.17,8,2,1,0,1,0,2,0.69,0,1,0,0,1,0,Matches
Diego Costa,es ESP,FW,34.0,5.7,12,2.09,7,0,1,1,3,0,2,0.35,1,0,0,1,0,0,Matches
Matias Segovia,py PAR,FW,20.0,7.2,32,4.43,26,1,3,1,1,0,3,0.42,3,0,0,0,0,0,Matches
Janderson,br BRA,"FW,MF",23.0,4.6,17,3.7,15,0,2,0,0,0,2,0.43,2,0,0,0,0,0,Matches
JP Galvão,br BRA,DF,21.0,2.2,6,2.69,4,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Bastos,ao ANG,DF,31.0,1.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Carlos Alberto,br BRA,"FW,MF",20.0,3.3,9,2.73,6,0,1,0,2,0,3,0.91,1,0,1,0,1,0,Matches
Matheus Nascimento,br BRA,"FW,MF",18.0,1.1,2,1.84,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Luis Segovia,ec ECU,DF,25.0,1.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Daniel Borges,br BRA,DF,29.0,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Gatito Fernández,py PAR,GK,34.0,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Diego Hernández,uy URU,FW,22.0,0.5,1,2.2,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Kayque,br BRA,MF,22.0,0.3,2,6.67,2,0,0,0,0,0,1,3.33,1,0,0,0,0,0,Matches
Mateo Ponte,uy URU,DF,19.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lucas Piazon,br BRA,FW,29.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Breno,br BRA,MF,22.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Newton,br BRA,MF,22.0,0.1,1,11.25,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Rai,br BRA,MF,20.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,28.5,38.0,923,24.29,647,88,71,56,48,13,100,2.63,61,11,10,10,7,1,
Opponent Total,,,27.4,38.0,867,22.82,631,68,58,51,47,12,63,1.66,42,3,8,7,2,1,
