Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Lucas Perri,br BRA,GK,25.0,37.5,704,1071,65.7,22215,16823,118,118,100.0,255,260,98.1,325,682,47.7,0,0.1,0.0,-0.1,1,18,0,0,2,Matches
Víctor Cuesta,ar ARG,DF,34.0,35.0,1438,1734,82.9,26296,10764,542,588,92.2,763,858,88.9,112,250,44.8,1,0.8,1.2,0.2,12,136,14,8,120,Matches
Adryelson,br BRA,DF,24.0,33.3,1303,1524,85.5,25681,9385,417,470,88.7,727,818,88.9,148,211,70.1,1,0.3,0.5,0.7,2,33,1,0,56,Matches
Marlon Freitas,br BRA,MF,27.0,32.3,1638,1893,86.5,33308,8462,577,644,89.6,757,830,91.2,275,350,78.6,2,2.2,2.8,-0.2,27,211,26,4,203,Matches
Carlos Eduardo,br BRA,MF,33.0,29.7,928,1142,81.3,17526,4728,367,422,87.0,404,474,85.2,131,185,70.8,6,6.0,3.8,0.0,42,133,19,4,156,Matches
Tchê Tchê,br BRA,"MF,DF",30.0,29.5,1115,1297,86.0,19518,5064,497,530,93.8,485,546,88.8,108,167,64.7,5,3.5,4.1,1.5,36,160,19,5,168,Matches
Tiquinho Soares,br BRA,FW,32.0,27.1,476,672,70.8,7455,1354,267,355,75.2,139,184,75.5,43,61,70.5,4,2.7,2.3,1.3,32,42,12,3,52,Matches
Júnior Santos,br BRA,FW,28.0,24.0,533,729,73.1,7748,1651,324,386,83.9,164,224,73.2,29,53,54.7,1,2.3,2.3,-1.3,21,28,21,9,48,Matches
Victor Sá,br BRA,FW,28.0,23.6,581,726,80.0,8688,1809,330,380,86.8,203,245,82.9,31,46,67.4,4,1.9,2.2,2.1,37,34,23,8,42,Matches
Leonel Di Plácido,ar ARG,DF,29.0,26.2,1058,1328,79.7,17434,7181,538,588,91.5,417,520,80.2,83,150,55.3,4,2.4,2.2,1.6,38,89,30,20,106,Matches
Fernando Marçal,br BRA,DF,33.0,18.1,794,1070,74.2,14180,6308,367,416,88.2,327,404,80.9,85,198,42.9,3,1.3,1.6,1.7,27,69,7,4,83,Matches
Hugo,br BRA,DF,21.0,15.5,607,788,77.0,9797,3725,323,357,90.5,212,268,79.1,50,115,43.5,2,1.6,1.5,0.4,19,61,11,8,69,Matches
Luis Henrique,br BRA,"FW,MF",21.0,15.3,487,624,78.0,8053,1889,257,301,85.4,172,210,81.9,44,73,60.3,2,1.6,1.7,0.4,32,32,23,4,63,Matches
Danilo Barbosa,br BRA,"MF,DF",26.0,11.2,381,480,79.4,6831,2682,156,190,82.1,178,207,86.0,36,54,66.7,0,0.1,0.3,-0.1,3,57,3,0,54,Matches
Gabriel,br BRA,MF,29.0,9.6,397,541,73.4,7390,2603,190,233,81.5,137,178,77.0,61,99,61.6,1,1.5,1.5,-0.5,17,52,13,6,56,Matches
Rafael,br BRA,DF,32.0,5.4,184,243,75.7,2786,1188,104,113,92.0,69,98,70.4,8,24,33.3,0,0.2,0.4,-0.2,5,12,4,2,10,Matches
Lucas Fernandes,br BRA,MF,25.0,5.3,209,255,82.0,3605,1079,93,99,93.9,93,107,86.9,19,37,51.4,0,0.5,0.6,-0.5,7,21,4,0,35,Matches
Philipe Sampaio,br BRA,DF,28.0,5.5,270,309,87.4,5268,1794,73,80,91.3,168,182,92.3,24,39,61.5,0,0.0,0.1,0.0,1,11,1,1,16,Matches
Gustavo Sauer,br BRA,"FW,MF",29.0,2.9,72,91,79.1,1108,328,42,46,91.3,23,26,88.5,4,11,36.4,1,0.4,0.3,0.6,4,6,4,1,13,Matches
Diego Costa,es ESP,FW,34.0,5.7,82,128,64.1,1341,306,41,60,68.3,34,44,77.3,5,8,62.5,0,0.1,0.2,-0.1,1,5,3,1,14,Matches
Matias Segovia,py PAR,FW,20.0,7.2,253,328,77.1,4175,1072,140,160,87.5,79,107,73.8,25,41,61.0,1,1.5,1.4,-0.5,16,25,14,5,33,Matches
Janderson,br BRA,"FW,MF",23.0,4.6,75,110,68.2,1068,144,37,48,77.1,26,35,74.3,4,6,66.7,1,0.9,0.5,0.1,8,3,4,2,7,Matches
JP Galvão,br BRA,DF,21.0,2.2,67,87,77.0,1381,456,27,31,87.1,31,40,77.5,9,15,60.0,0,0.0,0.0,0.0,0,6,1,1,6,Matches
Bastos,ao ANG,DF,31.0,1.3,62,71,87.3,1224,347,23,26,88.5,30,32,93.8,9,12,75.0,0,0.0,0.0,0.0,0,8,0,0,4,Matches
Carlos Alberto,br BRA,"FW,MF",20.0,3.3,63,75,84.0,947,216,33,36,91.7,24,29,82.8,4,5,80.0,0,0.2,0.8,-0.2,2,2,4,1,9,Matches
Matheus Nascimento,br BRA,"FW,MF",18.0,1.1,12,17,70.6,143,29,8,9,88.9,2,2,100.0,0,0,,0,0.4,0.0,-0.4,2,1,0,0,2,Matches
Luis Segovia,ec ECU,DF,25.0,1.1,36,43,83.7,710,292,12,13,92.3,18,19,94.7,6,11,54.5,0,0.0,0.0,0.0,0,1,0,0,2,Matches
Daniel Borges,br BRA,DF,29.0,0.5,10,14,71.4,162,55,5,5,100.0,5,6,83.3,0,3,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Gatito Fernández,py PAR,GK,34.0,0.5,11,13,84.6,259,166,4,4,100.0,4,4,100.0,3,5,60.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Diego Hernández,uy URU,FW,22.0,0.5,9,13,69.2,118,14,5,5,100.0,2,5,40.0,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Kayque,br BRA,MF,22.0,0.3,20,22,90.9,338,159,10,11,90.9,7,7,100.0,2,3,66.7,1,0.4,0.2,0.6,1,7,0,0,7,Matches
Mateo Ponte,uy URU,DF,19.0,0.2,8,10,80.0,147,71,3,4,75.0,4,4,100.0,1,2,50.0,0,0.0,0.0,0.0,0,2,0,0,0,Matches
Lucas Piazon,br BRA,FW,29.0,0.2,6,6,100.0,88,45,3,3,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Breno,br BRA,MF,22.0,0.1,4,6,66.7,38,19,4,5,80.0,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Newton,br BRA,MF,22.0,0.1,7,7,100.0,142,7,2,2,100.0,5,5,100.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,1,Matches
Rai,br BRA,MF,20.0,0.0,5,5,100.0,80,12,3,3,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,28.5,38.0,13905,17472,79.6,257248,92227,5942,6741,88.1,5966,6980,85.5,1687,2921,57.8,40,33.1,32.6,6.9,394,1266,261,97,1438,
Opponent Total,,,27.4,38.0,15120,18892,80.0,269804,93592,6593,7403,89.1,6555,7620,86.0,1565,2834,55.2,28,37.0,30.5,-9.0,369,1260,259,76,1525,
